query_index,facts_file,task,baseline_refs,diverse_refs,changed_order,changed_reference_set,top1_preserved,baseline_top_similarity,diverse_top_similarity,baseline_mean_similarity,diverse_mean_similarity,baseline_unique_models,diverse_unique_models,baseline_has_duplicate_models,diverse_has_duplicate_models,baseline_intra_list_dissimilarity,diverse_intra_list_dissimilarity
12,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.591,0.591,0.5851999999999999,0.5851999999999999,5,5,0,0,0.3490736383442266,0.3655148148148148
13,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl,Fault identification,"255,210,48,50,49","255,216,13,201,246",True,True,True,0.527,0.527,0.5126,0.5102,5,5,0,0,0.5451870578084556,0.6176765447667087
14,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl,Fault detection,"20,175,72,195,42","20,44,34,195,33",True,True,True,0.589,0.589,0.5835999999999999,0.5833999999999999,5,5,0,0,0.34420448679288984,0.5023265854420493
15,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
16,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
17,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
18,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
19,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
20,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
21,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl,Remaining useful life estimation,"225,172,155,51,53","225,222,126,55,53",True,True,True,0.523,0.523,0.5146000000000001,0.5134000000000001,5,5,0,0,0.4250524064171123,0.43797631487286665
22,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl,Fault detection,"209,211,230,191,19","209,42,211,215,72",True,True,True,0.516,0.516,0.5154,0.5119999999999999,5,5,0,0,0.48677655677655673,0.5960707847636602
23,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl,Fault feature extraction,"32,253,198,229,190","32,190,229,198,235",True,True,True,0.532,0.532,0.5236,0.5187999999999999,5,5,0,0,0.6079609279609279,0.5967863247863248
24,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
25,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl,Remaining useful life estimation,"68,67,197,35,37","68,197,120,30,36",True,True,True,0.536,0.536,0.5312,0.5288,4,5,1,0,0.49052959188421974,0.5162971659919029
26,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3a301111e1fe.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
27,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_40a36423982c.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
28,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4660ee2adb7e.ttl,Fault feature extraction,"32,253,198,18,235","32,190,198,229,253",True,True,True,0.671,0.671,0.6404,0.639,5,5,0,0,0.4523768115942029,0.607960927960928
29,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4abf47988e1b.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.588,0.588,0.5838,0.5838,5,5,0,0,0.3490736383442266,0.3655148148148148
30,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4b28dc65fe44.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
31,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4ef590c98f1b.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
32,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5250ed7e7ce4.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
33,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_550b300f2513.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
34,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55a5963df187.ttl,One step future state forecast,"10,106,131,132,135","10,134,132,106,135",True,True,True,0.51,0.51,0.5031999999999999,0.5032,5,5,0,0,0.3490736383442266,0.3655148148148148
35,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55e23d1ad9f5.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.635,0.635,0.635,0.635,4,5,1,0,0.3189603238866397,0.5494555202976256
36,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5d3461a99457.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
37,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5dec38f8cc66.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
38,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f139e146360.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
39,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f2bc68116b8.ttl,Fault feature extraction,"18,229,32,253,198","18,229,70,190,235",True,True,True,0.53,0.53,0.5184000000000001,0.5130000000000001,5,5,0,0,0.5450682168073472,0.599411467177837
40,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_623ac38deaa2.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
41,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6269de1ae371.ttl,Fault feature extraction,"32,27,235,17,18","32,190,229,198,235",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.4246031746031746,0.5967863247863248
42,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_64dc30950f8c.ttl,Multiple steps future state forecast,"11,130,129,183,102","11,183,140,129,141",True,True,True,0.514,0.514,0.5114,0.5105999999999999,5,5,0,0,0.5068599844599845,0.5031315301404293
43,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6e7c4f90a8d7.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
44,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_73e4a95e45ca.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
45,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_772695bf4051.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.816,0.816,0.8160000000000001,0.8160000000000001,4,5,1,0,0.3189603238866397,0.5494555202976256
46,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7893f607735e.ttl,Fault identification,"210,201,202,203,48","210,48,247,212,243",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5280894698410694,0.6597099496709253
47,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7e8b13361693.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.3189603238866397,0.5494555202976256
48,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7ecb8b8f68bb.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
49,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7f3c89f45832.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.582,0.582,0.5793999999999999,0.5793999999999999,5,5,0,0,0.3490736383442266,0.3655148148148148
50,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8068c91cfcfb.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
51,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8477986e81ed.ttl,Health assessment,"173,2,221,239,153","173,213,221,193,38",True,True,True,0.589,0.589,0.5864,0.5835999999999999,5,5,0,0,0.41702167182662536,0.58329435537216
52,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8a2e7a6c3819.ttl,Fault feature extraction,"70,190,27,235,231","70,190,229,198,235",True,True,True,0.513,0.513,0.5084,0.5067999999999999,5,5,0,0,0.5554281889462611,0.605755152478044
53,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8bb32487bd90.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
54,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8c97841ffeb0.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
55,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d2f5e129936.ttl,Fault feature extraction,"32,27,235,17,18","32,190,229,198,235",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.4246031746031746,0.5967863247863248
56,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d8a5b72c774.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
57,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8ff4d31a1511.ttl,Fault feature extraction,"70,235,229,18,231","70,190,229,198,235",True,True,True,0.52,0.52,0.5112000000000001,0.5104,5,5,0,0,0.5301972380683748,0.605755152478044
58,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_93799b400c86.ttl,Remaining useful life estimation,"204,157,158,156,92","204,157,21,92,97",True,True,True,0.523,0.523,0.5166000000000001,0.5158,3,5,1,0,0.38776662950575996,0.4904687229035055
59,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9a39f3592864.ttl,Fault feature extraction,"70,231,190,17,235","70,190,229,198,235",True,True,True,0.52,0.52,0.5105999999999999,0.5065999999999999,5,5,0,0,0.5515028561450772,0.605755152478044
60,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b451b7f7ee0.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
61,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b53e6caba2d.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
62,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a012354ab36b.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
63,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a258a3b603ad.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
64,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a933cf332592.ttl,Remaining useful life estimation,"127,69,226,157,158","127,69,226,60,157",True,True,True,0.79,0.79,0.6886,0.6872,4,5,1,0,0.45314167826362955,0.5422490924320192
65,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_aca7906e2b63.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
66,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b594a9ee5cb2.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
67,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b60ff608bd4b.ttl,Remaining useful life estimation,"225,127,226,172,75","225,69,30,226,172",True,True,True,0.598,0.598,0.5955999999999999,0.5946,5,5,0,0,0.4988858088858089,0.5103866305329718
68,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ba25cb3a823e.ttl,One step future state forecast,"131,132,135,133,134","131,10,135,132,133",True,True,True,0.508,0.508,0.508,0.5067999999999999,5,5,0,0,0.24191316526610646,0.32854030501089326
69,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_bac0845f495f.ttl,Health assessment,"239,153,154,193,227","239,153,193,104,7",True,True,True,0.689,0.689,0.6542,0.6171999999999999,4,5,1,0,0.3726143790849673,0.582898609016256
70,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_be7e6c23b016.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
71,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c27ab4671a29.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
72,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c6db65a6433b.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
73,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c72bcc7ff5df.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
74,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c755cd0572dd.ttl,Remaining useful life estimation,"226,127,69,157,158","226,157,55,69,127",True,True,True,0.645,0.645,0.6374,0.6328,4,5,1,0,0.45314167826362944,0.51993281085964
75,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c7f80acd8249.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
76,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c8939242503a.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
77,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cb41385fe115.ttl,One step future state forecast,"106,131,132,135,133","106,132,135,10,134",True,True,True,0.51,0.51,0.5076,0.5072,5,5,0,0,0.2995798319327731,0.3655148148148148
78,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ccf62781b4c5.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
79,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cfc179a146da.ttl,One step future state forecast,"131,132,135,133,134","131,10,135,132,133",True,True,True,0.597,0.597,0.597,0.5944,5,5,0,0,0.24191316526610646,0.32854030501089326
80,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_d8bff7381708.ttl,Remaining useful life estimation,"204,97,108,127,226","204,69,226,55,127",True,True,True,0.518,0.518,0.5144,0.5118,5,5,0,0,0.5082097482097483,0.5847351516619809
81,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_db4c696f6545.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
82,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_de5ca28afd63.ttl,Fault feature extraction,"32,27,18,253,229","32,190,229,198,235",True,True,True,0.504,0.504,0.504,0.5034000000000001,5,5,0,0,0.525294579816319,0.5967863247863248
83,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_df8ade058f3c.ttl,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.504,0.504,0.5025999999999999,0.5025999999999999,5,5,0,0,0.3490736383442266,0.3655148148148148
84,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e339faccffb2.ttl,Fault feature extraction,"231,70,27,235,190","231,190,229,198,235",True,True,True,0.533,0.533,0.5146000000000001,0.5096,5,5,0,0,0.5554281889462613,0.6022783882783883
85,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e3fe4a88d35e.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
86,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e6e38ea99070.ttl,Fault identification,"196,13,246,243,244","196,216,247,13,243",True,True,True,0.607,0.607,0.5318,0.5287999999999999,4,5,1,0,0.4764780219780219,0.6744193121693121
87,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e70725b3b5d6.ttl,Fault detection,"209,211,175,191,215","209,166,211,215,175",True,True,True,0.513,0.513,0.5124000000000001,0.5112,5,5,0,0,0.5329652014652014,0.6026370296370296
88,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e86e97063e64.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
89,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ea20ed52a8e1.ttl,Remaining useful life estimation,"22,21,24,23,26","22,15,242,122,232",True,True,True,0.513,0.513,0.513,0.513,3,5,1,0,0.16684210526315785,0.5206693526830827
90,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ea68a5c8efe4.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
91,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_eebe82604414.ttl,Fault detection,"215,218,230,19,245","215,200,166,218,19",True,True,True,0.543,0.543,0.5244,0.5214,5,5,0,0,0.39573015873015877,0.5840332985727723
92,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_eee19782a44b.ttl,Fault detection,"20,166,167,200,42","20,166,34,200,33",True,True,True,0.611,0.611,0.6003999999999999,0.5993999999999999,4,5,1,0,0.4702791068580542,0.48291578947368424
93,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_efdcb1f88fec.ttl,Remaining useful life estimation,"59,58,60,35,37","59,60,120,30,36",True,True,True,0.525,0.525,0.5226000000000001,0.5214000000000001,5,5,0,0,0.3644955547307812,0.43304453441295543
94,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f1592c013293.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
95,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f2edcbd552fb.ttl,Remaining useful life estimation,"155,204,234,232,233","155,122,249,16,128",True,True,True,0.517,0.517,0.5146000000000001,0.5146000000000001,5,5,0,0,0.3502353810948777,0.5664559944559944
96,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f47994220d2b.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
97,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fa4fa2d69a6d.ttl,Remaining useful life estimation,"92,204,97,127,75","92,204,69,36,97",True,True,True,0.579,0.579,0.525,0.5248,5,5,0,0,0.504124894124894,0.5045299145299146
98,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fa83aff3fe09.ttl,Health assessment,"239,153,154,193,221","239,221,7,153,38",True,True,True,0.543,0.543,0.5406000000000001,0.526,4,5,1,0,0.43527210182318543,0.5435769525017683
99,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fb9baedee0bb.ttl,Remaining useful life estimation,"155,51,53,52,55","155,223,4,53,169",True,True,True,0.513,0.513,0.513,0.513,4,5,1,0,0.35719191919191917,0.5095496360417077
100,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ff6a373cd570.ttl,Health assessment,"227,7,177,188,221","227,213,221,193,104",True,True,True,0.522,0.522,0.5166000000000001,0.5096,4,5,1,0,0.4686313569208306,0.603223926999382
101,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_01ed610980f6.ttl,Fault feature extraction,"18,235,70,32,253","18,229,70,190,235",True,True,True,0.53,0.53,0.5186000000000001,0.516,5,5,0,0,0.4278531267928858,0.599411467177837
102,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0274d4e4b6b4.ttl,Remaining useful life estimation,"59,58,60,226,207","59,15,208,242,122",True,True,True,0.6,0.6,0.599,0.5948,5,5,0,0,0.4591863664790495,0.5851738929930717
103,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02b1e1db1ebc.ttl,Remaining useful life estimation,"172,207,208,226,92","172,208,204,21,92",True,True,True,0.527,0.527,0.5206,0.5178,5,5,0,0,0.5044973325833888,0.5740405404457907
104,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02cb90b55b51.ttl,Remaining useful life estimation,"197,169,107,92,108","197,51,126,107,92",True,True,True,0.527,0.527,0.5193999999999999,0.5174,4,5,1,0,0.4566448570586502,0.547553947967741
105,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02fa479982bb.ttl,Fault detection,"215,166,167,72,209","215,200,166,218,211",True,True,True,0.518,0.518,0.5114,0.509,4,5,1,0,0.5281532918301212,0.6198774544169281
106,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_036cad9d17bd.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.689,0.689,0.689,0.689,4,5,1,0,0.3189603238866397,0.5494555202976256
107,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0427cffaf5f0.ttl,Fault detection,"20,42,41,44,43","20,44,34,33,230",True,True,True,0.53,0.53,0.5252000000000001,0.5238,5,5,0,0,0.3828822055137845,0.45906280386280385
108,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0565684ca025.ttl,One step future state forecast,"10,106,131,132,135","10,134,132,106,135",True,True,True,0.51,0.51,0.5058,0.5058,5,5,0,0,0.3490736383442266,0.3655148148148148
