lambda_relevance,query_index,task,baseline_refs,reranked_refs,changed_order,changed_reference_set,top1_preserved,baseline_top_similarity,diverse_top_similarity,baseline_mean_similarity,diverse_mean_similarity,baseline_unique_models,diverse_unique_models,baseline_has_duplicate_models,diverse_has_duplicate_models,baseline_intra_list_dissimilarity,diverse_intra_list_dissimilarity
0.5,29,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.588,0.588,0.5838,0.5838,5,5,0,0,0.3490736383442266,0.3655148148148148
0.5,30,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,31,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,32,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,33,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,34,One step future state forecast,"10,106,131,132,135","10,104,134,132,106",True,True,True,0.51,0.51,0.5031999999999999,0.4492,5,5,0,0,0.3490736383442266,0.5144912087912089
0.5,35,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.635,0.635,0.635,0.635,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,36,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,37,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,38,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,39,Fault feature extraction,"18,229,32,253,198","18,229,70,190,235",True,True,True,0.53,0.53,0.5184000000000001,0.5130000000000001,5,5,0,0,0.5450682168073472,0.599411467177837
0.5,40,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,41,Fault feature extraction,"32,27,235,17,18","32,190,229,198,235",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.4246031746031746,0.5967863247863248
0.5,42,Multiple steps future state forecast,"11,130,129,183,102","11,183,140,129,141",True,True,True,0.514,0.514,0.5114,0.5105999999999999,5,5,0,0,0.5068599844599845,0.5031315301404293
0.5,43,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,44,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,45,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.816,0.816,0.8160000000000001,0.8160000000000001,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,46,Fault identification,"210,201,202,203,48","210,48,247,212,243",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5280894698410694,0.6597099496709253
0.5,47,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,48,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,49,One step future state forecast,"106,10,131,132,135","106,132,135,10,134",True,True,True,0.582,0.582,0.5793999999999999,0.5793999999999999,5,5,0,0,0.3490736383442266,0.3655148148148148
0.5,50,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,51,Health assessment,"173,2,221,239,153","173,213,221,193,38",True,True,True,0.589,0.589,0.5864,0.5835999999999999,5,5,0,0,0.41702167182662536,0.58329435537216
0.5,52,Fault feature extraction,"70,190,27,235,231","70,190,229,198,235",True,True,True,0.513,0.513,0.5084,0.5067999999999999,5,5,0,0,0.5554281889462611,0.605755152478044
0.5,53,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,54,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,55,Fault feature extraction,"32,27,235,17,18","32,190,229,198,235",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.4246031746031746,0.5967863247863248
0.5,56,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,57,Fault feature extraction,"70,235,229,18,231","70,190,229,198,235",True,True,True,0.52,0.52,0.5112000000000001,0.5104,5,5,0,0,0.5301972380683748,0.605755152478044
0.5,58,Remaining useful life estimation,"204,157,158,156,92","204,157,21,92,97",True,True,True,0.523,0.523,0.5166000000000001,0.5158,3,5,1,0,0.38776662950575996,0.4904687229035055
0.5,59,Fault feature extraction,"70,231,190,17,235","70,190,229,198,235",True,True,True,0.52,0.52,0.5105999999999999,0.5065999999999999,5,5,0,0,0.5515028561450772,0.605755152478044
0.5,60,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,61,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,62,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,63,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,64,Remaining useful life estimation,"127,69,226,157,158","127,226,69,60,157",True,True,True,0.79,0.79,0.6886,0.6872,4,5,1,0,0.45314167826362955,0.5422490924320192
0.5,65,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,66,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,67,Remaining useful life estimation,"225,127,226,172,75","225,69,30,226,172",True,True,True,0.598,0.598,0.5955999999999999,0.5946,5,5,0,0,0.4988858088858089,0.5103866305329718
0.5,68,One step future state forecast,"131,132,135,133,134","131,10,135,132,133",True,True,True,0.508,0.508,0.508,0.5067999999999999,5,5,0,0,0.24191316526610646,0.32854030501089326
0.5,69,Health assessment,"239,153,154,193,227","239,104,153,7,193",True,True,True,0.689,0.689,0.6542,0.6172,4,5,1,0,0.3726143790849673,0.582898609016256
0.5,70,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,71,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,72,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,73,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,74,Remaining useful life estimation,"226,127,69,157,158","226,157,55,69,127",True,True,True,0.645,0.645,0.6374,0.6328,4,5,1,0,0.45314167826362944,0.51993281085964
0.5,75,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,76,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,77,One step future state forecast,"106,131,132,135,133","106,132,135,213,10",True,True,True,0.51,0.51,0.5076,0.4326,5,5,0,0,0.2995798319327731,0.5285281145991426
0.5,78,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,79,One step future state forecast,"131,132,135,133,134","131,10,135,132,133",True,True,True,0.597,0.597,0.597,0.5944,5,5,0,0,0.24191316526610646,0.32854030501089326
0.5,80,Remaining useful life estimation,"204,97,108,127,226","204,69,226,55,127",True,True,True,0.518,0.518,0.5144,0.5118,5,5,0,0,0.5082097482097483,0.5847351516619809
0.5,81,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,82,Fault feature extraction,"32,27,18,253,229","32,190,229,198,235",True,True,True,0.504,0.504,0.504,0.5034000000000001,5,5,0,0,0.525294579816319,0.5967863247863248
0.5,83,One step future state forecast,"106,10,131,132,135","106,104,132,135,10",True,True,True,0.504,0.504,0.5025999999999999,0.446,5,5,0,0,0.3490736383442266,0.5240660968660968
0.5,84,Fault feature extraction,"231,70,27,235,190","231,190,229,198,235",True,True,True,0.533,0.533,0.5146000000000001,0.5096,5,5,0,0,0.5554281889462613,0.6022783882783883
0.5,85,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,86,Fault identification,"196,13,246,243,244","196,216,247,13,49",True,True,True,0.607,0.607,0.5318,0.5276,4,5,1,0,0.4764780219780219,0.6906088726088726
0.5,87,Fault detection,"209,211,175,191,215","209,166,211,215,175",True,True,True,0.513,0.513,0.5124000000000001,0.5112,5,5,0,0,0.5329652014652014,0.6026370296370296
0.5,88,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,89,Remaining useful life estimation,"22,21,24,23,26","22,15,242,122,232",True,True,True,0.513,0.513,0.513,0.513,3,5,1,0,0.16684210526315785,0.5206693526830827
0.5,90,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,91,Fault detection,"215,218,230,19,245","215,200,166,218,19",True,True,True,0.543,0.543,0.5244,0.5214,5,5,0,0,0.39573015873015877,0.5840332985727723
0.5,92,Fault detection,"20,166,167,200,42","20,44,34,200,33",True,True,True,0.611,0.611,0.6003999999999999,0.5983999999999999,4,5,1,0,0.4702791068580542,0.48381148325358847
0.5,93,Remaining useful life estimation,"59,58,60,35,37","59,60,120,30,36",True,True,True,0.525,0.525,0.5226000000000001,0.5214000000000001,5,5,0,0,0.3644955547307812,0.43304453441295543
0.5,94,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,95,Remaining useful life estimation,"155,204,234,232,233","155,122,249,16,128",True,True,True,0.517,0.517,0.5146000000000001,0.5146000000000001,5,5,0,0,0.3502353810948777,0.5664559944559944
0.5,96,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,97,Remaining useful life estimation,"92,204,97,127,75","92,204,69,36,97",True,True,True,0.579,0.579,0.525,0.5248,5,5,0,0,0.504124894124894,0.5045299145299146
0.5,98,Health assessment,"239,153,154,193,221","239,221,7,173,38",True,True,True,0.543,0.543,0.5406000000000001,0.5194000000000001,4,5,1,0,0.43527210182318543,0.5614555886910697
0.5,99,Remaining useful life estimation,"155,51,53,52,55","155,223,4,53,169",True,True,True,0.513,0.513,0.513,0.513,4,5,1,0,0.35719191919191917,0.5095496360417077
0.5,100,Health assessment,"227,7,177,188,221","227,213,221,193,104",True,True,True,0.522,0.522,0.5166000000000001,0.5096,4,5,1,0,0.4686313569208306,0.603223926999382
0.5,101,Fault feature extraction,"18,235,70,32,253","18,229,70,190,235",True,True,True,0.53,0.53,0.5186000000000001,0.516,5,5,0,0,0.4278531267928858,0.599411467177837
0.5,102,Remaining useful life estimation,"59,58,60,226,207","59,15,208,242,122",True,True,True,0.6,0.6,0.599,0.5948,5,5,0,0,0.4591863664790495,0.5851738929930717
0.5,103,Remaining useful life estimation,"172,207,208,226,92","172,208,204,21,92",True,True,True,0.527,0.527,0.5206,0.5178,5,5,0,0,0.5044973325833888,0.5740405404457907
0.5,104,Remaining useful life estimation,"197,169,107,92,108","197,51,126,107,55",True,True,True,0.527,0.527,0.5193999999999999,0.5166,4,5,1,0,0.4566448570586502,0.5278165742303673
0.5,105,Fault detection,"215,166,167,72,209","215,200,166,218,211",True,True,True,0.518,0.518,0.5114,0.509,4,5,1,0,0.5281532918301212,0.6198774544169281
0.5,106,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.689,0.689,0.689,0.689,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,107,Fault detection,"20,42,41,44,43","20,44,34,33,230",True,True,True,0.53,0.53,0.5252000000000001,0.5238,5,5,0,0,0.3828822055137845,0.45906280386280385
0.5,108,One step future state forecast,"10,106,131,132,135","10,134,132,106,135",True,True,True,0.51,0.51,0.5058,0.5058,5,5,0,0,0.3490736383442266,0.3655148148148148
0.5,109,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.3189603238866397,0.5494555202976256
0.5,110,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,111,Fault identification,"247,203,189,216,196","247,201,189,255,176",True,True,True,0.524,0.524,0.5174000000000001,0.5136000000000001,5,5,0,0,0.5942891488316017,0.678322134150003
0.5,112,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,113,Fault detection,"42,41,44,43,46","42,34,44,41,98",True,True,True,0.546,0.546,0.546,0.544,5,5,0,0,0.2967919799498747,0.35107389686337054
0.5,114,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,115,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,116,Health assessment,"31,38,104,7,177","31,213,239,221,104",True,True,True,0.501,0.501,0.501,0.5004,4,5,1,0,0.4953851679929266,0.5927769588210243
0.5,117,Fault detection,"166,167,98,42,41","166,34,98,42,44",True,True,True,0.655,0.655,0.5852,0.5589999999999999,4,5,1,0,0.28563530037214246,0.3562519936204147
0.5,118,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,119,Health assessment,"221,31,38,104,239","221,239,7,104,31",True,True,True,0.519,0.519,0.515,0.5136000000000001,5,5,0,0,0.5456848485867531,0.5903500277562428
0.5,120,One step future state forecast,"10,131,132,135,133","10,134,132,226,106",True,True,True,0.508,0.508,0.5048,0.454,5,5,0,0,0.32854030501089326,0.472492328042328
0.5,121,One step future state forecast,"131,132,135,133,134","131,10,213,135,132",True,True,True,0.506,0.506,0.506,0.4348000000000001,5,5,0,0,0.24191316526610646,0.5294772808076821
0.5,122,Remaining useful life estimation,"226,59,58,60,127","226,60,69,55,127",True,True,True,0.664,0.664,0.6038,0.5846,5,5,0,0,0.4646996887279301,0.575651336139141
0.5,123,Fault identification,"13,246,196,203,189","13,247,202,255,216",True,True,True,0.517,0.517,0.5146000000000001,0.5095999999999999,5,5,0,0,0.4371305204229733,0.6911682993097819
0.5,124,Fault feature extraction,"32,253,198,190,70","32,190,229,198,235",True,True,True,0.524,0.524,0.5222,0.5178,5,5,0,0,0.5374717919296232,0.5967863247863248
0.5,125,Fault detection,"72,245,166,167,200","72,218,166,211,215",True,True,True,0.598,0.598,0.5908,0.5892000000000001,4,5,1,0,0.48313338202234224,0.6168215422788594
0.5,126,Health modelling,"57,205,206,240,236","57,217,160,224,241",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4206502177068215,0.5495947206297596
0.5,127,Health assessment,"221,239,153,154,193","221,239,7,104,227",True,True,True,0.536,0.536,0.52,0.5166,4,5,1,0,0.43527210182318543,0.610850839706103
0.5,128,Remaining useful life estimation,"204,108,97,22,21","204,68,184,97,21",True,True,True,0.596,0.596,0.5446,0.5386,5,5,0,0,0.47665645067704554,0.5412355153956985
0.5,129,Fault detection,"166,167,98,20,42","166,20,34,33,44",True,True,True,0.533,0.533,0.5258,0.5212,4,5,1,0,0.352869750132908,0.43890909090909097
0.5,130,Fault detection,"19,72,209,211,215","19,211,44,215,46",True,True,True,0.524,0.524,0.5098,0.5088,5,5,0,0,0.5188329461866047,0.5735546398046398
0.5,131,Fault detection,"42,41,44,43,46","42,215,34,44,41",True,True,True,0.59,0.59,0.59,0.5755999999999999,5,5,0,0,0.2967919799498747,0.44770641639062686
0.5,132,Fault detection,"200,230,19,20,166","200,44,230,211,19",True,True,True,0.527,0.527,0.5174000000000001,0.5154,4,5,1,0,0.4226502883081831,0.5505706574127627
0.5,133,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,134,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,135,Remaining useful life estimation,"127,69,226,59,58","127,208,60,108,69",True,True,True,0.552,0.552,0.536,0.532,5,5,0,0,0.41334325596456534,0.5817877583572555
0.5,136,Fault feature extraction,"70,18,229,17,235","70,190,229,198,235",True,True,True,0.52,0.52,0.5109999999999999,0.5086,4,5,1,0,0.5089645807309505,0.605755152478044
0.5,137,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.707,0.707,0.707,0.707,4,5,1,0,0.28709160571229536,0.541168684973563
0.5,138,Health assessment,"188,31,38,104,2","188,227,104,193,38",True,True,True,0.534,0.534,0.5184,0.5160000000000001,5,5,0,0,0.5176489761461331,0.5954527733967389
0.5,139,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,140,Fault detection,"209,211,191,42,41","209,33,211,34,44",True,True,True,0.604,0.604,0.6035999999999999,0.6033999999999999,5,5,0,0,0.5749542767174346,0.5761606060606062
0.5,141,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.5,0.5,0.5,0.5,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,142,Remaining useful life estimation,"181,234,232,233,15","181,249,233,128,122",True,True,True,0.544,0.544,0.5351999999999999,0.5351999999999999,5,5,0,0,0.34178785425101216,0.5624635404635405
0.5,143,Fault detection,"42,41,44,43,46","42,195,19,34,44",True,True,True,0.534,0.534,0.534,0.5288,5,5,0,0,0.2967919799498747,0.5054089511501338
0.5,144,Health assessment,"221,213,239,153,154","221,239,7,104,227",True,True,True,0.519,0.519,0.5174,0.5109999999999999,4,5,1,0,0.5267071805035912,0.610850839706103
0.5,145,Remaining useful life estimation,"22,21,24,23,26","22,107,51,55,56",True,True,True,0.609,0.609,0.609,0.6060000000000001,3,5,1,0,0.16684210526315785,0.3759436469962786
0.5,146,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,147,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,148,Health assessment,"213,31,38,227,104","213,173,193,38,104",True,True,True,0.595,0.595,0.591,0.5893999999999999,5,5,0,0,0.5594998638752882,0.6117605715175003
0.5,149,Fault detection,"215,175,20,245,166","215,209,166,175,33",True,True,True,0.595,0.595,0.5902,0.5882,5,5,0,0,0.4536479353979354,0.5496615717615717
0.5,150,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463
0.5,151,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5621461887290472,0.5927769588210243
0.5,152,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326
0.5,153,Fault detection,"230,209,211,191,19","230,211,41,218,209",True,True,True,0.519,0.519,0.517,0.5124000000000001,5,5,0,0,0.48677655677655673,0.5916379731379732
0.5,154,Remaining useful life estimation,"127,226,97,69,169","127,208,69,237,226",True,True,True,0.519,0.519,0.5188,0.5172000000000001,5,5,0,0,0.4224377059986816,0.526709867384971
0.5,155,Fault detection,"200,72,195,42,41","200,44,34,33,41",True,True,True,0.517,0.517,0.5162000000000001,0.5154000000000001,5,5,0,0,0.4600711988671704,0.4612727272727272
0.5,156,Fault detection,"42,41,44,43,46","42,20,34,44,41",True,True,True,0.54,0.54,0.54,0.5354,5,5,0,0,0.2967919799498747,0.4329744816586921
0.5,157,Health modelling,"71,91,168,236,174","71,260,179,79,236",True,True,True,0.6,0.6,0.593,0.591,5,5,0,0,0.39880134680134677,0.5586030889188783
0.5,158,Remaining useful life estimation,"223,222,184,35,37","223,222,184,120,30",True,True,True,0.6,0.6,0.5979999999999999,0.5979999999999999,5,5,0,0,0.5334716487909892,0.562199951306398
0.5,159,Fault detection,"72,215,166,167,98","72,218,166,211,230",True,True,True,0.527,0.527,0.5102,0.5075999999999999,4,5,1,0,0.4303553952822245,0.6071577880114465
