query_index,facts_file,case_count,additional_cases_not_used,triples_after_cleanup,rdfstar_reification_blocks_removed,explicit_task_evidence,Reference,informative__Reference,Publication Year,informative__Publication Year,Task,informative__Task,Case study,informative__Case study,Case study type,informative__Case study type,Input for the model,informative__Input for the model,Number of input variables,informative__Number of input variables,Input type,informative__Input type,Data Pre-processing,informative__Data Pre-processing,Model Approach,informative__Model Approach,Model Type,informative__Model Type,Models,informative__Models,Online/Off-line,informative__Online/Off-line,Number of failure modes,informative__Number of failure modes,Performance indicator,informative__Performance indicator,Performance,informative__Performance,Complementary notes,informative__Complementary notes,Study title,informative__Study title,Publication identifier,informative__Publication identifier
11,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_14cabde81b60.ttl,3,2,191,176,True,1,True,2026,True,Fault identification,True,modeled pipeline segment,True,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,Predictive Maintenance Article,True,FEA pipeline model (this study),True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Factsdesigndetail_ToF1,True,FactsArticleLambWaves,False,urn:ontocast:facts:FactsArticleLambWaves,False
12,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1a71ce029db3.ttl,2,1,238,222,False,1,True,2021,False,One step future state forecast,False,real aircraft composite structure (subject under test),True,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Multi model,True,Algorithm,True,"GCV-based impact load history reconstruction method using FBG sensing, Kalhori et al. algorithm [17] (cosine similarity matching of frequency response), Seno et al. method [18] (data-driven stochastic Kriging with feature-space interpolation and UQ), Tian et al. method [19] (load feature identification with PSO + BPNN), Zhou et al. method [16] (Lp-norm minimization + forward structural dynamics model)",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Keywords: impact load history reconstruction,True,FactsArticleAnImpactLoadHistoryReconstructionMethod,False,urn:ontocast:facts:FactsArticleAnImpactLoadHistoryReconstructionMethod,False
13,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1f647e26aadf.ttl,3,2,164,148,True,1,True,2021,False,Fault identification,True,cutter c4,True,Maintainable item,False,Not reported,False,8,True,"FactsAcousticData, FactsDenoising, FactsMultiSensorData, FactsPrimaryCuttingForce, FactsTemperatureData, FactsTimeFrequencyInputs, FactsToolVibrations, Factsscalogram1",False,yes,True,Single model,True,"Algorithm, Predictive Maintenance Article",True,CSA-optimized InceptionResNetv2,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsKuoDesignDetail,True,CSA-optimized InceptionResNetv2,True,urn:ontocast:facts:FactsYangHybridModel,False
14,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl,1,0,191,174,True,1,True,2026,True,Fault detection,True,44.10 kWp array,True,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsDesignDetailHuawei,True,Factsarticle1_18,False,urn:ontocast:facts:Factsarticle1_18,False
15,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl,1,0,175,159,True,1,True,2021,False,Remaining useful life estimation,True,FactsWindTurbineBlade,False,Maintainable item,False,Not reported,False,5,True,"FactsIsolationForestFeature, FactsNoveltyFeature, FactsThermalImaging, FactsUavImages, FactsVibrationData",False,yes,True,Multi model,True,"Algorithm, Predictive maintenance system module, Model configuration",True,"FactsAcousticResidualNetwork, FactsPgiCrackNet, FactsRandomForest_1, Artificial Neural Network (ANN), FactsRocketStackModel",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsKeywords1,True,FactsArticle1_3,False,urn:ontocast:facts:FactsArticle1_3,False
16,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl,1,0,118,102,False,1,True,2026,True,One step future state forecast,False,FactsCoolingSystem,False,Maintainable item,False,Not reported,False,2,True,"FactsTimeFrequencyFeature, Factsvibrationsignal_1",False,yes,True,Single model,True,Predictive maintenance system module,True,FactsMfafeNet,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsBranchAttention, FactsEca, FactsSpindleDesignDetail",True,FactsArticleMfafeNet,False,urn:ontocast:facts:FactsArticleMfafeNet,False
17,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl,1,0,161,145,True,1,True,2021,False,Fault detection,True,FactsIndustrialEquipment,False,Maintainable item,False,Not reported,False,3,True,"FactsTemperatureSpike, FactsVoltageAnomaly, Factsdataset1_2",False,yes,True,Multi model,True,"Model type, Predictive maintenance system module",True,"FactsLightGbm, FactsPdM_1, FactsRandomForest_9, FactsSvm_9, FactsXgBoost_3",False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsBlackBoxIssue, FactsLackOfTransparency",True,Factsarticle1_29,False,urn:ontocast:facts:Factsarticle1_29,False
18,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl,1,0,187,172,True,1,True,2026,True,One step future state forecast,True,Not reported,False,Maintainable item,False,Not reported,False,1,True,FactsInputChannelCwt,False,yes,True,Multi model,True,Predictive maintenance system module,True,"Customised Load Adaptive Framework (CLAF), LD-MVSEFF",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Parallel multichannel architecture and multimodal fusion strategy, Continuous Wavelet Transform (CWT) representation used as a 2D signal encoding, Gramian Angular Difference Field (GADF) encoding, Time and frequency domain (TFD) handcrafted features",True,FactsArticleLdMvseff,False,urn:ontocast:facts:FactsArticleLdMvseff,False
19,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl,1,0,175,160,False,1,True,2021,False,One step future state forecast,False,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
20,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl,2,1,269,254,False,1,True,2021,False,One step future state forecast,False,FactstoolInsert,False,Maintainable item,False,Not reported,False,1,True,Factscomparison1_1,False,yes,True,Multi model,True,"Predictive maintenance system module, predictive maintenance module function",True,"condition-based and predictive maintenance, Yang et al. unified prediction framework (22)",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsCntMqlEffect, Factsdesign1_2",True,Factsarticle1_21,False,urn:ontocast:facts:Factsarticle1_21,False
21,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl,2,1,199,183,True,1,True,2021,False,Remaining useful life estimation,True,compressor (data-center refrigeration component),True,Maintainable item,False,Not reported,False,2,True,"electric current, vibration",True,yes,True,Multi model,True,"deviation detection, Predictive maintenance system module, Fault detection, predictive maintenance module function",True,"hybrid anomaly detection (Z-score + moving-average prediction error), condition monitoring",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsDesignDetailMonitoring, explicit maintenance actions for six operating conditions",True,This work (article describing the framework and experiments),True,urn:ontocast:facts:FactsThisWork,False
22,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl,5,4,178,161,True,1,True,2026,True,Fault detection,True,hydraulic directional control valve,True,Maintainable item,False,Not reported,False,3,True,"inter-port pressure difference features, inter-sensor pressure difference, FactshydraulicPressureSignal",True,yes,True,Multi model,True,Information Processing Artifact,True,"hybrid model-data-driven diagnostic approach, physics-informed deep learning models, physical simulation model",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsDesignDetail1, simulation as mechanism-analysis tool, statistical descriptors, time-series distance measures",True,FactsArticle1_1,False,urn:ontocast:facts:FactsArticle1_1,False
23,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl,1,0,284,268,True,1,True,2021,False,Fault feature extraction,True,Ball bearing (generic),True,Maintainable item,False,Not reported,False,2,True,"AR coefficient vector (theta), Number of Intrinsic Mode Functions (N)",True,no,False,Single model,True,Algorithm,True,Support Vector Machine classifier (linear kernel),True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Keywords: bearing fault diagnosis; nonstationary vibration signals; EEMD; autoregressive modeling; SVM; hyperparameter selection,True,Source article (extracted text),True,urn:ontocast:facts:Factsarticle1_20,False
24,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl,1,0,128,112,True,1,True,2021,False,Fault detection,True,FactsCoilSpring,False,Maintainable item,False,Not reported,False,3,True,"FactsdataVariableLateral, FactsdataVariableZBogie, FactstimeDomainFeatures",False,yes,True,Single model,True,Predictive maintenance system module,True,module used in the study integrating feature extraction and classification models,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: curved tracks increase lateral forces, coupled lateral-vertical vibrations and accelerate suspension degradation, Factsdesign_detail_1, operational variability (train speed, loading conditions, curve radius), progressive degradation of primary suspension on curved tracks: stiffness reduction and damping loss",True,factsarticleRailwaySuspension,False,urn:ontocast:facts:factsarticleRailwaySuspension,False
25,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl,2,1,142,126,True,1,True,2026,True,Remaining useful life estimation,True,ship shafting,True,Maintainable item,False,Not reported,False,3,True,"FactsalignmentDeviation, FactsvibrationEnergy, FactswearParticleConcentration",False,yes,True,Multi model,True,Not reported,False,"Asymmetric Distribution Bayesian Network (ADBN), FactsBnSymmetric",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactscomputationalComplexity,True,Factsarticle_Weiner2026,False,urn:ontocast:facts:Factsarticle_Weiner2026,False
26,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3a301111e1fe.ttl,1,0,124,108,False,1,True,2026,True,One step future state forecast,False,FactsTurbofanEngine_1,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Multi model,True,"Predictive maintenance system module, Algorithm, predictive maintenance module function",True,"Hybrid GAT-LSTM model for RUL prediction, Multi-Graph-Based Spatiotemporal Feature Fusion Model for RUL prediction",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Factsbf,True,FactsArticle1_5,False,urn:ontocast:facts:FactsArticle1_5,False
27,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_40a36423982c.ttl,1,0,170,155,True,1,True,2026,True,Fault detection,True,FactsBess,False,Maintainable item,False,Not reported,False,4,True,"cell temperature, full equivalent cycle (FEC) counter, depth of discharge (DOD), state of charge (SOC)",True,yes,True,Multi model,True,Predictive maintenance system module,True,"FactsFecModel, thermal-electrochemical coupling model used in dispatch",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: battery energy storage system; thermal-electrochemical coupling; semi-empirical degradation; Rainflow cycle counting; HVC-NSGA-III; four-objective optimisation; SOH-adaptive knee-point selection; day-ahead electricity market; Design details: FactsAgeingRates, irreversible electrochemical degradation (capacity fade and power capability loss), FactsEmpiricalStressFunctions, FactsIsothermalAssumption, thermal-electrochemical coupling design detail, FactsdesignSohAdaptive",True,FactsarticleHvcNsgaiii,False,urn:ontocast:facts:FactsarticleHvcNsgaiii,False
28,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4660ee2adb7e.ttl,1,0,241,226,True,1,True,2026,True,Fault feature extraction,True,Rolling bearing under study,True,Maintainable item,False,Not reported,False,1,True,FactsindicatorRms,False,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Analog Devices A2B bus detail, bearing housing acoustic shielding, Test bench design detail, fluid-dynamic noise, Sampling specification, SNR attenuation with distance",True,FactsarticleNonContactBearingFaultDiagnostics,False,urn:ontocast:facts:FactsarticleNonContactBearingFaultDiagnostics,False
29,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4abf47988e1b.ttl,2,1,157,142,False,1,True,2021,False,One step future state forecast,False,TK-type shell-and-tube heat exchanger,True,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,Not reported,False,simplified physical model of deposits,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: deposit removal; Design details: compacted deposit behaves as constrained heterogeneous solid with evolving stiffness and resistance to removal, deposit accumulation between tubes, FactsDeposits, fouling",True,FactsArticle1_15,False,urn:ontocast:facts:FactsArticle1_15,False
30,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4b28dc65fe44.ttl,2,1,155,140,True,1,True,2021,False,Fault detection,True,FactsCapAndPinInsulatorString,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsDesignDetailNoMetal,True,FactsArticleInsulatorFbg,False,urn:ontocast:facts:FactsArticleInsulatorFbg,False
31,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4ef590c98f1b.ttl,1,0,208,193,False,1,True,2021,False,One step future state forecast,False,FactsTurbofanEngine_2,False,Maintainable item,False,Not reported,False,10,True,"augmentor duct total pressure, augmentor light-off detector signal, burner pressure, fan turbine inlet temperature, low-pressure spool rotational speed N1, convergent exhaust nozzle controller position transmitter, main oil pressure and low oil pressure sensors, static pressure Ps2, CIVV resolver position transmitter, total temperature at engine inlet Tt2",True,yes,True,Multi model,True,Model type,True,"Bidirectional LSTM, Heterogeneous ensemble deep neural network (HEDNN), One-dimensional CNN",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactspreprocessingDesign, FactsqualityDataArtifacts, FactsqualitySensorNoise",True,Factspaper1,False,urn:ontocast:facts:Factspaper1,False
32,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5250ed7e7ce4.ttl,2,1,182,167,True,1,True,2026,True,One step future state forecast,True,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Multi model,True,Algorithm,True,"FactsCnnGruModel, CNN-GRU compact hybrid architecture",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: combinations of pruning, quantization, factorization, distillation, noticeable gap between deep-learning-based PHM and edge-oriented model compression, FactsInferenceMeasurement1, knowledge transfer through distillation, low-rank factorization, unstructured and structured pruning, quantization of weight and activation values, FactsSignalDecompositionTechniques, FactsVibrationBasedDiagnostics, many RUL models are too computationally complex to be deployed in real time on low-power edge devices, unstructured magnitude pruning with matched fine-tuning baseline (0.0 sparsity control)",True,FactsProvidingAccurateRul,False,urn:ontocast:facts:FactsProvidingAccurateRul,False
33,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_550b300f2513.ttl,1,0,240,225,False,1,True,2021,False,One step future state forecast,False,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
34,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55a5963df187.ttl,1,0,150,135,True,1,True,2021,False,One step future state forecast,True,Self-aligning ball bearing,True,Maintainable item,False,Not reported,False,3,True,"FactsBearSignal, FactsFaultFrequencyComponent, vibration signal",True,yes,True,Single model,True,"Predictive Maintenance Article, Predictive maintenance system module, Device",True,ResNet50,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsBiasAngleDetection, FactsChannelAttentionMechanism, channel-wise operation, FactsDeepHiddenLayers, FactsNormalizationPreprocess, FactsReducedMisalignment, FactsRewardBasedTraining, Selective Kernel attention module, FactsSelfDetectionOfRotationSpeed, input dimensionality",True,ResNet50,True,urn:ontocast:facts:FactsArticle1_10,False
35,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55e23d1ad9f5.ttl,3,2,162,147,True,1,True,2021,False,Remaining useful life estimation,True,UAV lithium-ion battery,True,Maintainable item,False,Not reported,False,4,True,"discharge C-rate (experimental range), humidity level (experimental range), wind speed (experimental range), FactstempLow",True,yes,True,Multi model,True,"Predictive Maintenance Article, Predictive maintenance system module",True,"GAN-based model (comparison), Onda et al. [21], Thermodynamic-fluid dynamic coupling model for UAV battery degradation, PIDNN",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: electrochemical degradation mechanisms, FactsHumidityEffect, FactsdesignDetail1_1",True,Onda et al. [21],True,urn:ontocast:facts:FactsOnda21,False
36,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5d3461a99457.ttl,2,1,295,277,True,1,True,2021,False,Fault detection,True,FactsAh36,False,Maintainable item,False,Not reported,False,1,True,factsMbnrms,False,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: 12-month immersion period, real Mediterranean seawater conditions, maximum pit depth, active pitting (T0-T3), mature corrosion equilibrium (T6-T12), transitional oxide formation (T3-T6), sulfate-reducing bacteria (SRB) fraction, Î³-FeOOH, Î²-FeOOH, Î±-FeOOH (paramagnetic corrosion product layers), Factsdesigndetail_1, monthly intervals",True,Factsarticle_1,False,urn:ontocast:facts:Factsarticle_1,False
37,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5dec38f8cc66.ttl,1,0,168,153,True,1,True,2026,True,Remaining useful life estimation,True,FactsCncMillingTestbed,False,Maintainable item,False,Not reported,False,2,True,"FactssensorVibration, Factsvibration",False,yes,True,Multi model,True,Not reported,False,"Kalman filter with innovation-driven noise adaptation, Factslstm",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsFusionLayer,True,Factsarticle1,False,urn:ontocast:facts:Factsarticle1,False
38,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f139e146360.ttl,1,0,301,286,False,1,True,2021,False,One step future state forecast,False,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
39,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f2bc68116b8.ttl,2,1,210,194,True,1,True,2021,False,Fault feature extraction,True,coaxial cable,True,Maintainable item,False,Not reported,False,7,True,"active pixel count, number of effective pixels, degree of red-blue aliasing, radial dispersion, reflection coefficient spectrum, red-blue overlap index, FactsWeakSignal",True,yes,True,Multi model,True,Not reported,False,"exponential model, power-law model, regression model based on SDP image patterns",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: shielding layer damage, thermal aging",True,FactsArticleIntroReflectionSymDot,False,urn:ontocast:facts:FactsArticleIntroReflectionSymDot,False
40,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_623ac38deaa2.ttl,1,0,125,109,True,1,True,2026,True,Health assessment,True,FactsSensorArray1,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,"Predictive maintenance system module, Predictive Maintenance Article",True,FactsThisArticle_1,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Keywords: prognostic health management; Design details: FactsEdgeDesignDetail1,True,FactsThisArticle_1,False,urn:ontocast:facts:FactsThisArticle_1,False
41,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6269de1ae371.ttl,2,1,172,156,True,1,True,2021,False,Fault feature extraction,True,FactsFixture,False,Maintainable item,False,FactsDataAcquisition,False,2,True,"Key product characteristics (KPCs), FactsOilAnalysisData",True,yes,True,Multi model,True,"predictive maintenance module function, Predictive maintenance system module",True,"FactsCbm_1, Proportional hazards model (PHM)",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Keywords: cost optimization; Design details: FactssimultaneousAcquisitionAnalysis; Instruments: FactsSensor_1,True,Factsarticle1_4,False,urn:ontocast:facts:Factsarticle1_4,False
42,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_64dc30950f8c.ttl,1,0,145,130,True,1,True,2021,False,Multiple steps future state forecast,True,Grid-connected inverter,True,Maintainable item,False,Not reported,False,4,True,"operating-state variable, power measurement, temperature measurement, FactsslidingWindow",True,yes,True,Single model,True,Predictive maintenance system module,True,PV inverter predictive maintenance system module,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Decision-level behavior consideration, FactsdesignDetail1",True,Factsstudy1,False,urn:ontocast:facts:Factsstudy1,False
