query_index,facts_file,raw_parse_expected_to_fail_due_rdfstar,rdfstar_reification_blocks_removed,triples_after_cleanup,invalid_typed_literals,opmad_canonical_uri_occurrences,opmad_seed_uri_occurrences
82,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_de5ca28afd63.ttl,True,148,163,0,0,43
83,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_df8ade058f3c.ttl,True,190,208,0,0,56
84,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e339faccffb2.ttl,True,237,253,0,0,33
85,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e3fe4a88d35e.ttl,True,179,196,0,0,35
86,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e6e38ea99070.ttl,True,226,242,0,0,57
87,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e70725b3b5d6.ttl,True,211,226,0,0,51
88,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e86e97063e64.ttl,True,121,138,0,0,53
89,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ea20ed52a8e1.ttl,True,192,209,0,0,38
90,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ea68a5c8efe4.ttl,True,132,147,0,0,52
91,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_eebe82604414.ttl,True,203,218,0,0,39
92,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_eee19782a44b.ttl,True,144,159,0,0,58
93,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_efdcb1f88fec.ttl,True,227,244,0,0,78
94,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f1592c013293.ttl,True,130,147,0,0,31
95,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f2edcbd552fb.ttl,True,148,163,0,0,63
96,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_f47994220d2b.ttl,True,246,261,0,0,79
97,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fa4fa2d69a6d.ttl,True,166,184,0,0,54
98,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fa83aff3fe09.ttl,True,143,158,0,0,66
99,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fb9baedee0bb.ttl,True,179,195,0,0,49
100,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ff6a373cd570.ttl,True,167,183,0,0,85
101,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_01ed610980f6.ttl,True,168,184,0,24,20
102,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0274d4e4b6b4.ttl,True,188,209,0,63,30
103,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02b1e1db1ebc.ttl,True,178,193,0,0,76
104,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02cb90b55b51.ttl,True,106,122,1,21,36
105,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02fa479982bb.ttl,True,134,149,0,0,69
106,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_036cad9d17bd.ttl,True,225,240,0,1,37
107,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0427cffaf5f0.ttl,True,325,343,0,31,11
108,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0565684ca025.ttl,True,313,328,0,0,69
109,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0569999cb923.ttl,True,148,164,1,0,95
110,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0593a9919b79.ttl,True,130,145,0,0,48
111,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_06390a092d7f.ttl,True,141,157,0,11,24
112,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_06c8822b55d2.ttl,True,267,282,0,0,0
113,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0761d601b305.ttl,True,217,232,0,0,57
114,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_08257ce5150f.ttl,True,233,249,0,0,61
115,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0c0922d4a23b.ttl,True,235,251,0,0,0
116,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0c556dd91c12.ttl,True,176,193,0,34,39
117,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0cf575569a46.ttl,True,208,222,0,0,46
118,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0d06342b9b75.ttl,True,147,162,0,0,105
119,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0e2936cf44a8.ttl,True,134,151,0,47,21
120,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0e472e57d26e.ttl,True,187,202,0,0,55
121,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0efdf6da33d6.ttl,True,130,145,0,0,45
122,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_10262fb0fde1.ttl,True,179,194,0,26,20
123,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_117847e3c530.ttl,True,221,236,0,0,89
124,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_12e0db15847a.ttl,True,182,199,0,46,57
125,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_12e4132d369b.ttl,True,130,145,0,0,53
126,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_13a2395c2081.ttl,True,115,130,0,26,24
127,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_13e24977c6b6.ttl,True,102,118,1,0,56
128,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1489f1caf7d4.ttl,True,217,232,0,0,71
129,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_14d4842dceea.ttl,True,183,201,0,9,53
130,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_150362587e21.ttl,True,209,225,0,53,54
131,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_159a8af82084.ttl,True,187,202,0,0,71
132,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_15d6e0f725e9.ttl,True,206,223,0,0,63
133,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_16259bb8b181.ttl,True,175,192,0,23,59
134,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1649303d03f5.ttl,True,135,151,0,0,42
135,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_164938fe194b.ttl,True,160,176,0,0,78
136,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_171b435bdf9e.ttl,True,154,173,0,0,36
137,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_173e989f42c4.ttl,True,148,163,0,0,70
138,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1762d3edd470.ttl,True,212,229,0,83,19
139,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_17792a3e16ba.ttl,True,112,127,0,0,39
140,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_17cd6a7ce0d1.ttl,True,175,192,0,0,73
141,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_184d608e1f84.ttl,True,179,195,0,16,44
142,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1850d37fbad4.ttl,True,226,243,0,0,118
143,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_18cf238441be.ttl,True,100,115,0,0,56
144,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1996f16e00b3.ttl,True,179,196,0,0,108
145,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1aa5b3e6f988.ttl,True,128,144,1,32,31
146,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1afce5a917c7.ttl,True,226,242,0,0,6
147,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1b8e16eda666.ttl,True,145,160,0,0,75
148,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1be481d41400.ttl,True,165,182,0,34,20
149,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1c251ba771a0.ttl,True,162,177,0,0,85
150,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1d38dce714eb.ttl,True,160,176,0,0,77
151,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1d50f4186005.ttl,True,207,225,0,34,77
152,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1de7d146cbcc.ttl,True,228,245,0,0,24
153,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1dfb91166b11.ttl,True,176,191,0,0,64
154,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1dfe564c9a8c.ttl,True,156,171,0,29,49
155,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1e325e1b6ca0.ttl,True,179,195,0,0,73
156,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1e54a6d33b60.ttl,True,131,147,0,0,79
157,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1e7646977023.ttl,True,106,122,0,0,26
158,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1ef6273f524a.ttl,True,143,158,1,20,20
159,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_200b31896355.ttl,True,198,214,0,0,68
160,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_207c2f61486e.ttl,True,152,169,0,40,9
161,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2087e3707b95.ttl,True,118,134,0,0,48
162,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2090c159abe1.ttl,True,153,168,0,3,17
163,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_20954c1af19d.ttl,True,150,165,0,0,44
164,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_209acc5bf5ca.ttl,True,152,168,0,0,57
165,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2188ec61f052.ttl,True,214,228,0,0,62
166,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_21b5422495b4.ttl,True,196,211,0,0,47
167,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_21bd9d788c78.ttl,True,153,169,0,0,43
168,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_21f5994b1922.ttl,True,155,170,0,0,71
169,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_22617f0051a2.ttl,True,86,101,0,0,0
170,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2313ca9c6aa6.ttl,True,212,227,0,2,53
171,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_23354065a3d2.ttl,True,143,159,0,8,44
172,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_24a3a2cce978.ttl,True,160,176,0,0,42
173,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_24b4f118581d.ttl,True,239,255,0,0,41
174,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_24ff1d69286e.ttl,True,166,182,0,0,60
175,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_258e3e8931aa.ttl,True,161,176,0,0,77
176,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_25ab5d9cebe4.ttl,True,137,152,0,0,44
177,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2676d75af134.ttl,True,199,214,0,20,36
178,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_274a592d6e6a.ttl,True,121,137,0,0,76
179,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_27ad2a70e827.ttl,True,182,197,0,0,42
180,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_27df4a5e3a93.ttl,True,135,151,0,0,34
181,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_282a78718eb1.ttl,True,206,221,0,0,48
182,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2881f791711d.ttl,True,190,206,0,0,68
183,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2904db2538a7.ttl,True,179,194,0,0,73
184,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_29117213505d.ttl,True,214,229,0,0,103
185,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_29f76b527a2b.ttl,True,179,197,0,0,77
186,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2b6e75ab029f.ttl,True,103,119,0,5,21
187,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2c4885be8796.ttl,True,71,87,0,11,16
188,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2cbf6784d2e3.ttl,True,163,181,0,26,21
189,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2cfb118e9d92.ttl,True,152,166,0,0,64
190,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2d91c598af4f.ttl,True,159,176,0,40,18
191,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2db1655d31a6.ttl,True,119,135,0,0,68
192,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_2f1204323191.ttl,True,224,239,0,0,53
193,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_30228a3c2349.ttl,True,179,194,0,0,51
194,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_30ddca7feb40.ttl,True,164,179,0,0,66
195,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3252fa8ca6bb.ttl,True,152,169,0,0,58
196,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_344967ac8b3f.ttl,True,172,188,0,0,12
197,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_34747f2051b2.ttl,True,101,116,0,0,50
198,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3586d03d85ef.ttl,True,176,191,0,0,45
199,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_359c9220d540.ttl,True,160,175,0,0,76
200,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_35ed82347e21.ttl,True,163,178,0,28,22
201,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_35eebb7b7afe.ttl,True,147,164,0,0,89
202,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3646b6f83eec.ttl,True,214,230,0,45,27
203,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_369aa98c1873.ttl,True,158,173,0,0,53
204,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_379d2a018523.ttl,True,220,238,0,0,100
205,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3802ef04d008.ttl,True,156,176,0,32,50
206,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3816e4cb701a.ttl,True,204,219,0,31,22
207,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_38b8482122f9.ttl,True,169,185,0,58,34
208,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_38f7a98014e5.ttl,True,301,316,0,0,101
209,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_391d81ab140b.ttl,True,238,255,0,0,103
210,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_395330d7af73.ttl,True,204,219,0,0,46
211,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3979e8861110.ttl,True,236,252,0,49,5
212,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3a29bbf81979.ttl,True,153,169,0,0,59
213,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3ab6eeca2c90.ttl,True,144,161,0,24,5
214,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3b389bcd8ccd.ttl,True,153,168,0,11,44
215,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3b442c32918c.ttl,True,202,218,0,48,11
216,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3bcaccb87e71.ttl,True,188,202,1,28,6
217,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3c088e509323.ttl,True,163,178,0,0,50
218,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3c5b1b15be09.ttl,True,187,203,0,0,24
219,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3c9ad7411517.ttl,True,8,23,0,0,1
220,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3cb79521fe2c.ttl,True,141,157,0,0,75
221,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3ccee18dcf6a.ttl,True,303,318,0,0,67
222,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3d5d8a11e245.ttl,True,108,123,0,28,35
223,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3db8aab0b0b7.ttl,True,152,167,0,0,42
224,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3db8faecfca0.ttl,True,134,149,0,0,67
225,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3e0ce37a59da.ttl,True,139,154,0,0,45
226,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3e441c612946.ttl,True,242,257,0,0,64
227,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3ee28dd4f49f.ttl,True,271,286,0,0,0
228,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_3ef3a4cd7be0.ttl,True,157,174,0,31,26
229,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_400bbf651a24.ttl,True,254,270,0,0,40
230,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_4157d44cf5d5.ttl,True,199,214,0,30,47
231,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_4170e8a6f8ef.ttl,True,141,156,0,0,82
232,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_419106279d06.ttl,True,134,149,0,0,51
233,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_4242b18c0aaa.ttl,True,175,190,0,0,87
234,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_426e03dc1501.ttl,True,149,164,0,16,35
235,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_427b95a7296e.ttl,True,140,155,0,0,65
236,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_4296efeaf057.ttl,True,254,268,0,0,27
237,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_4354e4134545.ttl,True,181,195,0,52,23
238,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_438feb0c3a8b.ttl,True,239,256,0,93,16
