query_index,normalized_task,normalized_case_study_type,normalized_case_study,normalized_online_offline,normalized_input_for_model,normalized_input_type,active__normalized_task,active__normalized_case_study_type,active__normalized_case_study,active__normalized_online_offline,active__normalized_input_for_model,active__normalized_input_type,active_content_fields,active_beyond_task,query_information_pattern
18,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
19,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
20,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
21,Remaining useful life estimation,,compressor (data-center refrigeration component),,,"electric current, vibration",True,False,True,False,False,True,3,2,task+case_study+input_type
22,Fault detection,,hydraulic directional control valve,,,"inter-port pressure difference features, inter-sensor pressure difference, FactshydraulicPressureSignal",True,False,True,False,False,True,3,2,task+case_study+input_type
23,Fault feature extraction,,Ball bearing (generic),,,"AR coefficient vector (theta), Number of Intrinsic Mode Functions (N)",True,False,True,False,False,True,3,2,task+case_study+input_type
24,Fault detection,,,,,"FactsdataVariableLateral, FactsdataVariableZBogie, FactstimeDomainFeatures",True,False,False,False,False,True,2,1,task+input_type
25,Remaining useful life estimation,,ship shafting,,,"FactsalignmentDeviation, FactsvibrationEnergy, FactswearParticleConcentration",True,False,True,False,False,True,3,2,task+case_study+input_type
26,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
27,Fault detection,,,,,"cell temperature, full equivalent cycle (FEC) counter, depth of discharge (DOD), state of charge (SOC)",True,False,False,False,False,True,2,1,task+input_type
28,Fault feature extraction,,Rolling bearing under study,,,,True,False,True,False,False,False,2,1,task+case_study
29,One step future state forecast,,TK-type shell-and-tube heat exchanger,,,,True,False,True,False,False,False,2,1,task+case_study
30,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
31,One step future state forecast,,,,,"augmentor duct total pressure, augmentor light-off detector signal, burner pressure, fan turbine inlet temperature, low-pressure spool rotational speed N1, convergent exhaust nozzle controller position transmitter, main oil pressure and low oil pressure sensors, static pressure Ps2, CIVV resolver position transmitter, total temperature at engine inlet Tt2",True,False,False,False,False,True,2,1,task+input_type
32,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
33,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
34,One step future state forecast,,Self-aligning ball bearing,,,"FactsBearSignal, FactsFaultFrequencyComponent, vibration signal",True,False,True,False,False,True,3,2,task+case_study+input_type
35,Remaining useful life estimation,,UAV lithium-ion battery,,,"discharge C-rate (experimental range), humidity level (experimental range), wind speed (experimental range), FactstempLow",True,False,True,False,False,True,3,2,task+case_study+input_type
36,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
37,Remaining useful life estimation,,,,,"FactssensorVibration, Factsvibration",True,False,False,False,False,True,2,1,task+input_type
38,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
39,Fault feature extraction,,coaxial cable,,,"active pixel count, number of effective pixels, degree of red-blue aliasing, radial dispersion, reflection coefficient spectrum, red-blue overlap index, FactsWeakSignal",True,False,True,False,False,True,3,2,task+case_study+input_type
40,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
41,Fault feature extraction,,,,,"Key product characteristics (KPCs), FactsOilAnalysisData",True,False,False,False,False,True,2,1,task+input_type
42,Multiple steps future state forecast,,Grid-connected inverter,,,"operating-state variable, power measurement, temperature measurement, FactsslidingWindow",True,False,True,False,False,True,3,2,task+case_study+input_type
43,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
44,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
45,Remaining useful life estimation,,Lithium-ion battery,,,,True,False,True,False,False,False,2,1,task+case_study
46,Fault identification,,,,,"FactsImpulsiveComponents, FactsIncipientWear, FactsSignalTransients, FactsVibrationMonitoring, FactsstrainMeasurement, FactssurfaceRoughnessMeasurement",True,False,False,False,False,True,2,1,task+input_type
47,Remaining useful life estimation,,Lithium-ion battery,,,"capacity degradation signals, operational parameters",True,False,True,False,False,True,3,2,task+case_study+input_type
48,Remaining useful life estimation,,,,,"Cumulative heating time, Cumulative water output (total purified volume), Flow rate (volume per minute), Inlet water pressure, Intelligent rinse cycles (cumulative count), Membrane Type, Operational days (aggregated daily), pH level, Remaining Useful Life (RUL), Total Dissolved Solids (TDS)",True,False,False,False,False,True,2,1,task+input_type
49,One step future state forecast,,hydraulic cylinder,,,,True,False,True,False,False,False,2,1,task+case_study
50,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
51,Health assessment,,smart home system,,,,True,False,True,False,False,False,2,1,task+case_study
52,Fault feature extraction,,face-milling tool,,,"cutting parameters, tool geometry, workpiece material properties, vibration signal acquired during drilling",True,False,True,False,False,True,3,2,task+case_study+input_type
53,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
54,Remaining useful life estimation,,,,,"Factshealth_indicator_1, temperature signal, vibration signal, factsTemperatureVar, factsVibrationVar",True,False,False,False,False,True,2,1,task+input_type
55,Fault feature extraction,,,,,"magnetic field phase, multiscale mutual information features extracted from the magnetostriction series, time-domain statistical features",True,False,False,False,False,True,2,1,task+input_type
56,One step future state forecast,,,,,"FactsGroundSpeed, FactsVerticalDistance, FactsWindShearSource",True,False,False,False,False,True,2,1,task+input_type
57,Fault feature extraction,,connector (component example),,,Noise factors,True,False,True,False,False,True,3,2,task+case_study+input_type
58,Remaining useful life estimation,,end mill,,,"FactscuttingForce, FactsdepthOfCut, FactsfeedRate, FactsmachinePowerSignal, FactsmachineVibrationSignal, wear area, FactswearAreaFeature",True,False,True,False,False,True,3,2,task+case_study+input_type
59,Fault feature extraction,,CNC cutting tool,,,"FactsForceSignal, FactsMicroGeometryOfCuttingEdge, FactsTemperature_3",True,False,True,False,False,True,3,2,task+case_study+input_type
60,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
61,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
62,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
63,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
64,Remaining useful life estimation,,turbofan engine,,,,True,False,True,False,False,False,2,1,task+case_study
65,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
66,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
67,Remaining useful life estimation,,large-scale mining equipment,,,,True,False,True,False,False,False,2,1,task+case_study
68,One step future state forecast,,Insulator,,,"Leakage current, Heavy (HP) pollution level",True,False,True,False,False,True,3,2,task+case_study+input_type
69,Health assessment,,lithium-ion battery,,,"FactsBatteryCurrent, factsBatterySoh, factsChargingCurveFeature3",True,False,True,False,False,True,3,2,task+case_study+input_type
70,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
71,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
72,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
73,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
74,Remaining useful life estimation,,aeroengines,,,,True,False,True,False,False,False,2,1,task+case_study
75,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
76,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
77,One step future state forecast,,ASTRI-Horn Cherenkov telescope,,,"FactsAstriHornMonitoringTimeSeries, Azimuth motor sensor measurements (aggregate), Elevation motor sensor measurements (aggregate)",True,False,True,False,False,True,3,2,task+case_study+input_type
78,One step future state forecast,,,,,"FactsbodyForcePerUnitMass, FactsfluidCauchyStress, FactssolidDensity",True,False,False,False,False,True,2,1,task+input_type
79,One step future state forecast,,Valve spool (spool),,,,True,False,True,False,False,False,2,1,task+case_study
80,Remaining useful life estimation,,DTU research turbine (Vestas V52),,,"FactsBladeRootStrainGauge, FactsScadaData",True,False,True,False,False,True,3,2,task+case_study+input_type
81,Fault detection,,,,,"kurtosis, quadratic mean, skewness",True,False,False,False,False,True,2,1,task+input_type
82,Fault feature extraction,,NP-27T emergency hydraulic pump,,,"particle count (ISO 4406), wear metal concentration (ICP-OES)",True,False,True,False,False,True,3,2,task+case_study+input_type
83,One step future state forecast,,bearing,,,"data partitioning methods, hyperparameter choices, network depth, vibration statistical features (time-domain, frequency-domain, time-frequency)",True,False,True,False,False,True,3,2,task+case_study+input_type
84,Fault feature extraction,,Induction motor,,,"12-dimensional feature space, stator currents",True,False,True,False,False,True,3,2,task+case_study+input_type
85,Remaining useful life estimation,,,,,"accelerated aging power cycling tests, variation of saturated voltage drop",True,False,False,False,False,True,2,1,task+input_type
86,Fault identification,,rotor shaft-disk,,,spectral features,True,False,True,False,False,True,3,2,task+case_study+input_type
87,Fault detection,,laboratory grid-connected PV system,,,"current, Histogram of Oriented Gradients features extracted from PV images, power, FactsScalogram, solar irradiance, temperature",True,False,True,False,False,True,3,2,task+case_study+input_type
88,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
89,Remaining useful life estimation,,stator winding (motor),,,"overload, torque (signal commonly available in SCADA), unbalanced supply voltage, power, speed, temperature, torque",True,False,True,False,False,True,3,2,task+case_study+input_type
90,Remaining useful life estimation,,,,,"Health Index, FactsHi1",True,False,False,False,False,True,2,1,task+input_type
91,Fault detection,,power electronic converter,,,"FactsDcLinkCapacitance, FactsstatorResistance, FactssynchronousInductance",True,False,True,False,False,True,3,2,task+case_study+input_type
92,Fault detection,,Oil and gas pipeline networks,,,,True,False,True,False,False,False,2,1,task+case_study
93,Remaining useful life estimation,,diagnostic imaging system,,,"atrial sensing amplitude, implant duration, output settings, RV/LV capture threshold, multivariate telemetry features (routinely collected)",True,False,True,False,False,True,3,2,task+case_study+input_type
94,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
95,Remaining useful life estimation,,Equipment (maintainable item),,,Sensor data stream,True,False,True,False,False,True,3,2,task+case_study+input_type
96,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
97,Remaining useful life estimation,,IGBT device,,,"blocking voltage (V), bond wire diameter (D), DC current (I), heating duration (t_on)",True,False,True,False,False,True,3,2,task+case_study+input_type
98,Health assessment,,induction motor,,,"FactsCurrentSignatureData, vibration signal, stator current signal",True,False,True,False,False,True,3,2,task+case_study+input_type
99,Remaining useful life estimation,,components operating under high temperatures,,,"Creep activation energy (Qc), Larson-Miller parameter (P_LM), Manson-Succop parameter (P_MS), Orr-Sherby-Dorn parameter (P_OSD), Rupture time (tr), Stress (Ï), Temperature (T)",True,False,True,False,False,True,3,2,task+case_study+input_type
100,Health assessment,,electric drive,,,"FactsTemperature, FactsVibration",True,False,True,False,False,True,3,2,task+case_study+input_type
101,Fault feature extraction,,switch machines,,,"empirical mode decomposition, time-domain features, kurtosis, degradation evolution of turnout machines, variance",True,False,True,False,False,True,3,2,task+case_study+input_type
102,Remaining useful life estimation,,distributed PV plants,,,,True,False,True,False,False,False,2,1,task+case_study
103,Remaining useful life estimation,,power electronic components,,,"AC output power, Factsfeature2_9",True,False,True,False,False,True,3,2,task+case_study+input_type
104,Remaining useful life estimation,,state of health,,,"FactsbatteryInternalResistance, state of health, FactsurbanTerrainRoads, FactszAxisVibrations",True,False,True,False,False,True,3,2,task+case_study+input_type
105,Fault detection,,induction motor,,,"time-domain features, Factsvariable_1",True,False,True,False,False,True,3,2,task+case_study+input_type
106,Remaining useful life estimation,,lithium-ion battery,,,"capacity degradation, capacity sequence",True,False,True,False,False,True,3,2,task+case_study+input_type
107,Fault detection,,analog gauge,,,"flow rate, pressure, temperature",True,False,True,False,False,True,3,2,task+case_study+input_type
108,One step future state forecast,,ultra-high voltage gas-insulated switchgear (GIS),,,"C (speed of propagation), SF6 gas temperature, T (absolute temperature), Î» (wavelength), Ï (angular frequency), SF6 gas density",True,False,True,False,False,True,3,2,task+case_study+input_type
109,Remaining useful life estimation,,Lithium-ion battery,,,InformationContentEntity,True,False,True,False,False,True,3,2,task+case_study+input_type
110,Health assessment,,,,,leakage current,True,False,False,False,False,True,2,1,task+input_type
111,Fault identification,,industrial systems,,,"vibration data, data from the different states, physics laws, simulations based on a physics model, nodes representing components, edges capturing physical interactions",True,False,True,False,False,True,3,2,task+case_study+input_type
112,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
113,Fault detection,,bearing,,,"time-domain features, acoustic signals, vibration data, Fourier transform-encoded representations, gray texture images, raw data",True,False,True,False,False,True,3,2,task+case_study+input_type
114,One step future state forecast,,,,,"SM capacitance, FactsEsr, FactsStandardElectricalMeasurements",True,False,False,False,False,True,2,1,task+input_type
115,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
116,Health assessment,,RSS,,,potential sensor signal,True,False,True,False,False,True,3,2,task+case_study+input_type
117,Fault detection,,wind turbine,,,SCADA data,True,False,True,False,False,True,3,2,task+case_study+input_type
118,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
119,Health assessment,,robotic arm,,,"telemetry, faults, network topology",True,False,True,False,False,True,3,2,task+case_study+input_type
120,One step future state forecast,,city bus engine,,,"Engine load variability, Environmental conditions, Maintenance histories, FactsNitration_1, Operating profiles, FactsOxidation_1, Prolonged idling, FactsSulfation, FactsTan, extreme contamination (oil), wear metals concentration (oil)",True,False,True,False,False,True,3,2,task+case_study+input_type
121,One step future state forecast,,industrial equipment,,,"nonlinear degradation patterns, domain knowledge, health information, multi-sensor information fusion, sensor data, training/testing data distributions",True,False,True,False,False,True,3,2,task+case_study+input_type
122,Remaining useful life estimation,,aircraft engine,,,"failure time, operational setting 1, sensor measurement, transformed target, feature value",True,False,True,False,False,True,3,2,task+case_study+input_type
123,Fault identification,,photovoltaic panels,,,"environmental conditions, infrared thermography, irradiation, radiometrically normalised thermal data",True,False,True,False,False,True,3,2,task+case_study+input_type
124,Fault feature extraction,,bearing data,,,"background noise, Factsfact6_45, vibration signals",True,False,True,False,False,True,3,2,task+case_study+input_type
125,Fault detection,,Pressure Sensor,,,,True,False,True,False,False,False,2,1,task+case_study
126,Health modelling,,,,,"Facts3d_2d_information, Factskeyword5_2, FactsrealAircraftData, inspection evidence, reliability parameters, contextual changes",True,False,False,False,False,True,2,1,task+input_type
127,Health assessment,,degradation dataset target item,,,"FactsvarPressure, FactsvarTemperature, FactsvarVibration",True,False,True,False,False,True,3,2,task+case_study+input_type
128,Remaining useful life estimation,,3 MW wind turbine,,,"SCADA data, gearbox temperature, calibrated wind speed",True,False,True,False,False,True,3,2,task+case_study+input_type
129,Fault detection,,industrial machines,,,"FactscurrentVar, failure modes",True,False,True,False,False,True,3,2,task+case_study+input_type
130,Fault detection,,cutter,,,"tip width, operating parameters, traverse speed, rotational speed, specific energy consumption",True,False,True,False,False,True,3,2,task+case_study+input_type
131,Fault detection,,rolling element bearings,,,"5-shot tasks, network architectures, engineering stability, industrial engineering environments, parameter selection, computational complexity, linear features, data scarcity, fault diagnosis",True,False,True,False,False,True,3,2,task+case_study+input_type
132,Fault detection,,blades,,,"SCADA variables, 10 min SCADA statistics",True,False,True,False,False,True,3,2,task+case_study+input_type
133,Fault detection,,,,,"FactsacousticEmissions, Factsforce, sensor data, Factstemperature_2",True,False,False,False,False,True,2,1,task+input_type
134,Remaining useful life estimation,,,,,"FactsacousticEmission, FactsmotorVoltage, tool wear, Factsvibrations",True,False,False,False,False,True,2,1,task+input_type
135,Remaining useful life estimation,,Eurotram bogie,,,virtual sensor (BIM-generated),True,False,True,False,False,True,3,2,task+case_study+input_type
136,Fault feature extraction,,contact system,,,"FactsEquipmentAging, operation records, sensor data, FactsnormalizedContactSystemData, pole number (index used to reorder maintenance data)",True,False,True,False,False,True,3,2,task+case_study+input_type
137,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
138,Health assessment,,engine,,,"faulty products, noise status, scheduling, highly compressed measurements, rolling element bearings signals datasets, shop floor scenarios, machinery performance, workstations, vibration level, Factsvisits",True,False,True,False,False,True,3,2,task+case_study+input_type
139,One step future state forecast,,MSS,,,,True,False,True,False,False,False,2,1,task+case_study
140,Fault detection,,insulation materials,,,,True,False,True,False,False,False,2,1,task+case_study
141,Health assessment,,FPGA,,,"gearbox bearing temperatures, GELU",True,False,True,False,False,True,3,2,task+case_study+input_type
142,Remaining useful life estimation,,battery,,,"charge/discharge rates, current, impedance metrics, temperature profiles, timestamped operating metrics, voltage",True,False,True,False,False,True,3,2,task+case_study+input_type
143,Fault detection,,tool wear,,,tool wear,True,False,True,False,False,True,3,2,task+case_study+input_type
144,Health assessment,,rotor system,,,"blade-root bending-moment measurements, R2, wind-speed profile",True,False,True,False,False,True,3,2,task+case_study+input_type
145,Remaining useful life estimation,,Fault_detection,,,,True,False,True,False,False,False,2,1,task+case_study
146,Fault detection,,HI,,,,True,False,True,False,False,False,2,1,task+case_study
147,Fault detection,,,,,"feature weight assignment, missing values",True,False,False,False,False,True,2,1,task+input_type
148,Health assessment,,Autonomous Mobile Robots,,,,True,False,True,False,False,False,2,1,task+case_study
149,Fault detection,,cutting tool with thin-film thermocouple,,,,True,False,True,False,False,False,2,1,task+case_study
150,Fault detection,,,,,"equipment vibration, monitoring data, monitoring data such as vibration and temperature",True,False,False,False,False,True,2,1,task+input_type
151,Health assessment,,,,,"temperature, pressure, vibration",True,False,False,False,False,True,2,1,task+input_type
152,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
153,Fault detection,,single-unit system,,,"sensors, reliability information, CM data, control policies, Remaining Life Distributions (RLDs), sensor data, training data",True,False,True,False,False,True,3,2,task+case_study+input_type
154,Remaining useful life estimation,,critical equipment,,,"condition monitoring data, degradation signal, failure data, fracture length, valve opening time, Factsvar1_6, vibration",True,False,True,False,False,True,3,2,task+case_study+input_type
155,Fault detection,,failure samples,,,"FactsheadLoadUnloadCycles, SMART indicators, SMART",True,False,True,False,False,True,3,2,task+case_study+input_type
156,Fault detection,,dynamically loaded bearings,,,"FactsmagneticFluxVariationMeasurement1, FactspadThermalLoad1, FactsstrainGauge1, probes",True,False,True,False,False,True,3,2,task+case_study+input_type
157,Health modelling,,industrial equipment,,,,True,False,True,False,False,False,2,1,task+case_study
158,Remaining useful life estimation,,bridge damage,,,,True,False,True,False,False,False,2,1,task+case_study
159,Fault detection,,DC motor,,,"voltage, environmental data, temperature, current, vibration",True,False,True,False,False,True,3,2,task+case_study+input_type
160,Fault detection,,ATP,,,failure rate series,True,False,True,False,False,True,3,2,task+case_study+input_type
161,Fault detection,,DCB,,,,True,False,True,False,False,False,2,1,task+case_study
162,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
163,Remaining useful life estimation,,Lithium-ion battery (LIB),,,"Current, Early Prediction Start Offset (EPSO), Temperature, Voltage",True,False,True,False,False,True,3,2,task+case_study+input_type
164,Fault detection,,rice seedling tray,,,,True,False,True,False,False,False,2,1,task+case_study
165,Fault detection,,elevator,,,"electrical current, fault data, inspectors' experience, noise, self-inspections, sensor signals, training data, vibration, visual checks",True,False,True,False,False,True,3,2,task+case_study+input_type
166,Fault detection,,turbocharged marine diesel engine,,,"Factsmulti_sensor_vibration_data1, Factsvibration_signal1_4",True,False,True,False,False,True,3,2,task+case_study+input_type
167,One step future state forecast,,DESMI NSLV-R 500-510,,,,True,False,True,False,False,False,2,1,task+case_study
168,Fault detection,,engine,,,"FactsAudioModalities, engine fault time-frequency features (audio), spatial features (image), FactsThermalImageModalities, FactsVibrationVisModalities",True,False,True,False,False,True,3,2,task+case_study+input_type
169,One step future state forecast,,,,,,True,False,False,False,False,False,1,0,task
170,Remaining useful life estimation,,mine hoisting equipment,,,large labeled datasets,True,False,True,False,False,True,3,2,task+case_study+input_type
171,Remaining useful life estimation,,,,,,True,False,False,False,False,False,1,0,task
172,Fault detection,,controllable distributed resources,,,,True,False,True,False,False,False,2,1,task+case_study
173,Fault detection,,sample,,,"capacitance change, resistance change, damage size, crack size, false positives",True,False,True,False,False,True,3,2,task+case_study+input_type
174,Fault detection,,brush,,,"Factsspeed_input1, thermal behavior assessment",True,False,True,False,False,True,3,2,task+case_study+input_type
175,Remaining useful life estimation,,gear,,,,True,False,True,False,False,False,2,1,task+case_study
176,Remaining useful life estimation,,CMAPSS dataset,,,,True,False,True,False,False,False,2,1,task+case_study
177,Fault detection,,ball bearing,,,"deep belief network, vibration data, actual plant conditions, signal-to-noise ratio, time-frequency-amplitude details, CWT signatures, kurtosis, fatigue, wear, stacked autoencoder, support vector machine, acoustic emission signals, scalogram, vibration signals, Factsvar5_19, accuracy",True,False,True,False,False,True,3,2,task+case_study+input_type
178,Health assessment,,,,,,True,False,False,False,False,False,1,0,task
179,Fault detection,,lithium-ion batteries,,,"performance degradation index, Factsperiodicity, FactstimeSeries",True,False,True,False,False,True,3,2,task+case_study+input_type
180,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
181,Fault detection,,gears,,,,True,False,True,False,False,False,2,1,task+case_study
182,Remaining useful life estimation,,enterprise print settings,,,"device health signals, historical print logs, toner consumption trends, user behaviors",True,False,True,False,False,True,3,2,task+case_study+input_type
183,Fault feature extraction,,gear,,,"input features, SEM images, wear particle analysis data, debris morphology, FactsscanningElectronMicroscopy, vibration signals, nanoparticle morphometrics, FactsvibrationSignalAnalysis",True,False,True,False,False,True,3,2,task+case_study+input_type
184,Fault feature extraction,,,,,Life Health Index Model,True,False,False,False,False,True,2,1,task+input_type
185,Fault feature extraction,,wind turbine gearbox,,,"Mean (TF-3), FactstimeDomainFeatures",True,False,True,False,False,True,3,2,task+case_study+input_type
186,Fault detection,,,,,,True,False,False,False,False,False,1,0,task
187,Fault detection,,bearings,,,,True,False,True,False,False,False,2,1,task+case_study
188,Remaining useful life estimation,,industrial assets,,,outliers,True,False,True,False,False,True,3,2,task+case_study+input_type
189,Fault detection,,bearings,,,signal,True,False,True,False,False,True,3,2,task+case_study+input_type
190,Fault detection,,cables,,,"RS, cross-excitation experiment, time-domain waveform, measurement noise, artifact response, temporal behavior, physically meaningful reflection",True,False,True,False,False,True,3,2,task+case_study+input_type
191,Remaining useful life estimation,,refrigeration equipment,,,"FactsCoolingLevel, FactsSamplingRate",True,False,True,False,False,True,3,2,task+case_study+input_type
192,Remaining useful life estimation,,equipment,,,,True,False,True,False,False,False,2,1,task+case_study
193,Remaining useful life estimation,,battery,,,"AC impedance, internal resistance changes, lithium iron phosphate, nickel manganese cobalt, incremental capacity curve features, IC curve area, temperature, discharge current",True,False,True,False,False,True,3,2,task+case_study+input_type
194,Health assessment,,air compressors,,,PdM systems,True,False,True,False,False,True,3,2,task+case_study+input_type
195,Fault detection,,bus air compressor unit,,,,True,False,True,False,False,False,2,1,task+case_study
196,Fault detection,,EV drive motors,,,,True,False,True,False,False,False,2,1,task+case_study
197,Remaining useful life estimation,,gearbox,,,,True,False,True,False,False,False,2,1,task+case_study
198,Health assessment,,modern machines,,,"electrical parameters, electrical signature, labelled fault datasets, FactsmultiModeProductionCycles, FactsvariableLoads",True,False,True,False,False,True,3,2,task+case_study+input_type
199,Fault detection,,,,,"acoustic signal (input variable for diagnostic models), FactsMfcc",True,False,False,False,False,True,2,1,task+input_type
200,Remaining useful life estimation,,Moulder,,,repair data,True,False,True,False,False,True,3,2,task+case_study+input_type
201,Fault feature extraction,,Brushless DC motor,,,"FactsMultiplePhysicalQuantities, Factsdataset1_1",True,False,True,False,False,True,3,2,task+case_study+input_type
202,Health assessment,,bearing,,,rotational speed,True,False,True,False,False,True,3,2,task+case_study+input_type
203,Health assessment,,engine,,,"time series, multivariate sensor trajectories",True,False,True,False,False,True,3,2,task+case_study+input_type
204,Health assessment,,internal combustion engine (vehicle),,,"FactsCombustionEfficiency, FactsLoadProfile, oil condition (diagnostic variable), FactsTemperatureFluctuations_1, Factsfinding2, Factsviscosity",True,False,True,False,False,True,3,2,task+case_study+input_type
205,Health assessment,,,,,"FactsCurrentData, Electrochemical impedance spectrum (EIS), FactsIncrementalCapacityFeature, FactsTemperatureData, FactsVoltageBasedFeature",True,False,False,False,False,True,2,1,task+input_type
206,Fault detection,,rolling bearings,,,"CWRUDataset, Time-domain features",True,False,True,False,False,True,3,2,task+case_study+input_type
207,Remaining useful life estimation,,electronic subsystems within biomedical devices,,,"safety, surface temperature, thermal anomalies",True,False,True,False,False,True,3,2,task+case_study+input_type
208,Health assessment,,transformers,,,"Factsdata6_1, diagnostic accuracy",True,False,True,False,False,True,3,2,task+case_study+input_type
209,Remaining useful life estimation,,,,,"FactsL0, leaking rate (ESN hyperparameter), regularization coefficient (ESN hyperparameter), reservoir size (ESN hyperparameter), spectral radius (ESN hyperparameter), L0 (initial crack length)",True,False,False,False,False,True,2,1,task+input_type
210,Fault detection,,gas pipeline,,,,True,False,True,False,False,False,2,1,task+case_study
211,Fault detection,,MV PLC equipment,,,,True,False,True,False,False,False,2,1,task+case_study
212,Fault detection,,hub,,,grid size,True,False,True,False,False,True,3,2,task+case_study+input_type
213,Fault detection,,marine shafting,,,"air-spring pressure, raft strain, bearing load",True,False,True,False,False,True,3,2,task+case_study+input_type
214,Health assessment,,bearing,,,"temperature profile, vibration signal, GLCM, LBP, feature",True,False,True,False,False,True,3,2,task+case_study+input_type
215,Remaining useful life estimation,,epoxy resin,,,"Arrhenius equation, oxidation, relaxation behavior, molecular chain segment motion, interfacial polarization, ion migration, energy barrier, diagnosis, epoxy resin systems, epoxy-insulated transformers, high-frequency transformers, dry-type transformers, internal microstructure, cross-linking, bond breakage, aging time, dielectric constant, loss, life prediction",True,False,True,False,False,True,3,2,task+case_study+input_type
