id,update_decision,new_reason_category,confidence,notes
paper-2547,keep,still_relevant_physical_asset_maintenance,medium,Solar systems predictive maintenance review
paper-2553,keep,still_relevant_physical_asset_maintenance,high,Industrial belt failure prediction
paper-2560,keep,still_relevant_physical_asset_maintenance,high,Pressure vessel fatigue PdM
paper-2563,newly_exclude,generic_structural_material,high,Post failure boiler metallurgy study
paper-2569,newly_exclude,generic_nonmaintenance,medium,Transformer GIC coupling lacks maintenance
paper-2573,keep,still_relevant_physical_asset_maintenance,high,Planetary gearbox health monitoring
paper-2580,keep,still_relevant_physical_asset_maintenance,high,Rolling bearing RUL prediction
paper-2587,keep,still_relevant_physical_asset_maintenance,high,Machine condition monitoring system
paper-2588,newly_exclude,generic_structural_material,medium,Transformer oil material aging study
paper-2591,keep,still_relevant_physical_asset_maintenance,medium,Manufacturing FMEA maintenance risk prediction
paper-2602,newly_exclude,other_nonmaintenance,high,Medical implant failure prediction
paper-2604,newly_exclude,generic_structural_material,high,Pipeline steel embrittlement mechanics
paper-2610,keep,still_relevant_physical_asset_maintenance,high,Induction motor fault diagnosis
paper-2617,keep,still_relevant_physical_asset_maintenance,medium,Toll OBU equipment status monitoring
paper-2619,keep,still_relevant_physical_asset_maintenance,high,PHM RUL prediction framework
paper-2622,newly_exclude,generic_nonmaintenance,high,Microfluidic clogging lab study
paper-2631,keep,still_relevant_physical_asset_maintenance,high,Manufacturing asset failure prediction
paper-2634,newly_exclude,geotechnical_natural_hazard,high,Hydraulic fracturing geomechanics not maintenance
paper-2638,keep,still_relevant_physical_asset_maintenance,high,Tool wear monitoring and replacement
paper-2640,keep,still_relevant_physical_asset_maintenance,medium,Edge AI framework for PdM
paper-2643,keep,still_relevant_physical_asset_maintenance,high,BLDC motor fault detection
paper-2649,keep,still_relevant_physical_asset_maintenance,high,Bearing fault diagnosis
paper-2651,newly_exclude,generic_nonmaintenance,medium,Manufacturing process monitoring not maintenance
paper-2659,keep,still_relevant_physical_asset_maintenance,high,PHM maintenance work order NLP
paper-2662,keep,still_relevant_physical_asset_maintenance,high,Motor condition monitoring sensor
paper-2664,keep,still_relevant_physical_asset_maintenance,high,Battery RUL prediction
paper-2665,newly_exclude,generic_nonmaintenance,medium,Robot control paper with incidental maintenance
paper-2667,keep,still_relevant_physical_asset_maintenance,medium,Rotor bearing condition monitoring
paper-2671,newly_exclude,generic_structural_material,high,Insulation design reliability study
paper-2672,keep,still_relevant_physical_asset_maintenance,medium,Railway adhesion condition monitoring
paper-2676,keep,still_relevant_physical_asset_maintenance,medium,Industrial PdM economic impact
paper-2679,keep,still_relevant_physical_asset_maintenance,medium,UPFC condition data restoration
paper-2683,keep,still_relevant_physical_asset_maintenance,high,Bearing RUL under unknown conditions
paper-2686,newly_exclude,generic_nonmaintenance,high,Generic FBG demodulation hardware
paper-2690,newly_exclude,generic_nonmaintenance,high,Welding quality inspection not maintenance
paper-2698,keep,still_relevant_physical_asset_maintenance,medium,Structural damage identification for maintenance
paper-2699,keep,still_relevant_physical_asset_maintenance,high,Online tool wear monitoring
paper-2703,keep,still_relevant_physical_asset_maintenance,high,Industrial asset predictive maintenance
paper-2710,keep,still_relevant_physical_asset_maintenance,medium,Combustible gas leak condition monitoring
paper-2711,keep,still_relevant_physical_asset_maintenance,medium,Grid reliability and maintenance framework
paper-2715,keep,still_relevant_physical_asset_maintenance,medium,Aeroengine clearance condition measurement
paper-2717,newly_exclude,generic_nonmaintenance,high,PV dust power prediction only
paper-2723,keep,still_relevant_physical_asset_maintenance,high,Bearing health indicators for PdM
paper-2726,newly_exclude,generic_nonmaintenance,medium,Grounding meter validation not maintenance
paper-2727,keep,still_relevant_physical_asset_maintenance,high,CNC equipment failure prediction
paper-2734,keep,still_relevant_physical_asset_maintenance,high,Water pipe failure prediction
paper-2736,keep,still_relevant_physical_asset_maintenance,high,IT equipment prescriptive maintenance
paper-2750,newly_exclude,generic_nonmaintenance,medium,Iron bird simulation model validation
paper-2754,keep,still_relevant_physical_asset_maintenance,high,Pipeline corrosion maintenance prediction
paper-2755,keep,still_relevant_physical_asset_maintenance,high,Water pipe risk based maintenance
paper-2759,keep,still_relevant_physical_asset_maintenance,high,Wind turbine bearing diagnostics
paper-2772,keep,still_relevant_physical_asset_maintenance,high,Rotating shaft RUL monitoring
paper-2781,keep,still_relevant_physical_asset_maintenance,medium,Power equipment pressure condition sensor
paper-2782,keep,still_relevant_physical_asset_maintenance,high,Aeroengine RUL prediction
paper-2786,keep,still_relevant_physical_asset_maintenance,high,Machine tool RUL prediction
paper-2791,newly_exclude,generic_structural_material,high,Generic material failure report generation
paper-2792,keep,still_relevant_physical_asset_maintenance,medium,RC beam SHM supports inspection
paper-2799,keep,still_relevant_physical_asset_maintenance,high,Expressway equipment operation maintenance
paper-2805,keep,still_relevant_physical_asset_maintenance,high,Transformer winding fault detection
paper-2807,keep,still_relevant_physical_asset_maintenance,high,Assembly line failure prediction PdM
paper-2809,keep,still_relevant_physical_asset_maintenance,high,Rolling bearing fault diagnosis
paper-2814,keep,still_relevant_physical_asset_maintenance,high,NGL pump maintenance optimization
paper-2820,keep,still_relevant_physical_asset_maintenance,high,Machine health monitoring prognostics
paper-2821,keep,still_relevant_physical_asset_maintenance,high,Wind turbine gearbox diagnostics
paper-2822,keep,still_relevant_physical_asset_maintenance,high,Concreting equipment reliability maintenance
paper-2851,keep,still_relevant_physical_asset_maintenance,high,HVAC fault diagnosis maintenance
paper-2859,keep,still_relevant_physical_asset_maintenance,medium,Fatigue crack detection and prognosis
paper-2861,keep,still_relevant_physical_asset_maintenance,medium,Maritime maintenance decision support
paper-2869,keep,still_relevant_physical_asset_maintenance,high,Server memory failure prediction
paper-2871,keep,still_relevant_physical_asset_maintenance,high,Semiconductor ageing health monitoring
paper-2875,newly_exclude,generic_nonmaintenance,high,Circular end of life product sorting
paper-2880,keep,still_relevant_physical_asset_maintenance,high,Battery SOH RUL for WSN
paper-2886,keep,still_relevant_physical_asset_maintenance,high,Federated learning for industrial PdM
paper-2888,keep,still_relevant_physical_asset_maintenance,medium,Reactor monitoring data imputation
paper-2891,keep,still_relevant_physical_asset_maintenance,high,Pavement cracking maintenance prediction
paper-2894,keep,still_relevant_physical_asset_maintenance,medium,Combustion fault diagnosis
paper-2899,keep,still_relevant_physical_asset_maintenance,high,Steel corrosion predictive maintenance
paper-2900,keep,still_relevant_physical_asset_maintenance,high,IGBT PHM failure prediction
paper-2903,newly_exclude,generic_nonmaintenance,high,Circular electronics passport not PdM
paper-2915,newly_exclude,geotechnical_natural_hazard,high,Railway ground subsidence monitoring
paper-2917,keep,still_relevant_physical_asset_maintenance,high,SSD failure prediction
paper-2918,keep,still_relevant_physical_asset_maintenance,high,Aircraft systems RUL prognostics
paper-2924,keep,still_relevant_physical_asset_maintenance,medium,Aerospace bearing degradation model
paper-2938,keep,still_relevant_physical_asset_maintenance,medium,Tire pressure condition monitoring
paper-2943,keep,still_relevant_physical_asset_maintenance,high,Water pipeline failure prediction
paper-2945,keep,still_relevant_physical_asset_maintenance,high,Gear transmission condition monitoring
paper-2950,keep,still_relevant_physical_asset_maintenance,high,Transformer winding deformation detection
paper-2953,newly_exclude,heritage_culture_building,high,Apartment lifecycle energy study
paper-2960,newly_exclude,heritage_culture_building,high,School building condition assessment
paper-2962,keep,still_relevant_physical_asset_maintenance,high,Shaft bearing condition monitoring
paper-2965,newly_exclude,generic_structural_material,high,Bridge construction vibration monitoring
paper-2975,keep,still_relevant_physical_asset_maintenance,medium,Flash burner anomaly monitoring
paper-2995,newly_exclude,generic_nonmaintenance,medium,Railway hygiene maintenance center operations
paper-2996,keep,still_relevant_physical_asset_maintenance,high,Mandrel RUL prediction
