batch_index,corpus_id,source_pdf,facts_file,status
26,paper-0348,extraction_papers/paper-0348_a_serverless_automated_mlops_framework_for_scalable_industrial_predictive_maintenance.pdf,facts_5d3a0c7776f1.ttl,extracted
27,paper-0352,extraction_papers/paper-0352_proactive_engine_maintenance_in_aviation_using_data_driven_remaining_useful_life_estimation.pdf,facts_efa87c7b41b2.ttl,extracted
28,paper-0355,extraction_papers/paper-0355_enhanced_remaining_useful_life_prediction_of_lithium_ion_battery_based_on_a_dual_attention_h.pdf,facts_d65633e07130.ttl,extracted
29,paper-0357,extraction_papers/paper-0357_numerical_and_acoustic_investigation_of_cavitation_phenomena_in_centrifugal_hydraulic_pumps.pdf,facts_afa13d08ad1f.ttl,extracted
30,paper-0359,extraction_papers/paper-0359_engine_remaining_useful_life_prediction_method_based_on_deep_residual_network_and_attention.pdf,facts_6ae9f9262bd0.ttl,extracted
31,paper-0361,extraction_papers/paper-0361_tabeng_qlora_criticality_aware_tabular_to_text_adaptation_of_large_language_models_via_salie.pdf,facts_99607645a252.ttl,extracted
32,paper-0363,extraction_papers/paper-0363_prediction_of_the_remaining_useful_life_of_lithium_ion_batteries_based_on_health_features_ex.pdf,facts_71c28b6582e1.ttl,extracted
33,paper-0365,extraction_papers/paper-0365_turbofan_engine_remaining_useful_life_prediction_with_reliable_prediction_intervals_via_lstm.pdf,facts_4500579a6de3.ttl,extracted
34,paper-0366,extraction_papers/paper-0366_anomaly_characterization_for_the_condition_monitoring_of_rotating_shafts_exploiting_data_fus.pdf,facts_d47e94f453f3.ttl,extracted
35,paper-0370,extraction_papers/paper-0370_soiling_status_detection_in_photovoltaic_energy_systems_using_machine_learning_and_weather_d.pdf,facts_ca0301374e51.ttl,extracted
36,paper-0373,extraction_papers/paper-0373_fault_prediction_method_of_boost_converter_based_on_multi_modal_components_and_temporal_conv.pdf,facts_dd3e1f396fa8.ttl,extracted
37,paper-0374,extraction_papers/paper-0374_bridging_diagnostic_condition_monitoring_and_nvh_tonal_excitation_through_frequency_domain_s.pdf,facts_900a40a30ff4.ttl,extracted
38,paper-0375,extraction_papers/paper-0375_crack_propagation_mechanism_and_life_prediction_of_liner_under_thermal_fatigue_loads.pdf,facts_391d81ab140b.ttl,extracted
39,paper-0378,extraction_papers/paper-0378_intelligent_information_fusion_for_safety_critical_icing_detection_via_machine_learning_and.pdf,facts_3cb79521fe2c.ttl,extracted
40,paper-0380,extraction_papers/paper-0380_enhanced_temporal_convolutional_network_based_approach_for_degradation_prediction_of_reverse.pdf,facts_48359801c85a.ttl,extracted
41,paper-0383,extraction_papers/paper-0383_application_of_infrared_thermography_on_bus_air_compressor_units_for_preventive_fault_detect.pdf,facts_3252fa8ca6bb.ttl,extracted
42,paper-0386,extraction_papers/paper-0386_spatio_temporal_joint_network_for_coupler_anomaly_detection_under_complex_working_conditions.pdf,facts_a6d1d2f03a02.ttl,extracted
43,paper-0387,extraction_papers/paper-0387_remaining_useful_life_prediction_and_early_warning_model_for_high_speed_railway_contact_syst.pdf,facts_171b435bdf9e.ttl,extracted
44,paper-0392,extraction_papers/paper-0392_performance_analysis_of_algorithms_for_treating_outliers_in_pdm_from_uavs.pdf,facts_8be8523cfa78.ttl,extracted
45,paper-0393,extraction_papers/paper-0393_laboratory_diagnostics_of_engine_oils_as_a_tool_for_identifying_mechanical_faults_and_suppor.pdf,facts_379d2a018523.ttl,extracted
46,paper-0396,extraction_papers/paper-0396_subway_door_fault_prediction_employing_stacking_ensemble_learning.pdf,facts_921333765975.ttl,extracted
47,paper-0398,extraction_papers/paper-0398_spht_lstm_a_novel_industrial_equipment_condition_prediction_method.pdf,facts_4a2c4d4e2396.ttl,extracted
48,paper-0400,extraction_papers/paper-0400_a_sparrow_search_algorithm_optimized_lstm_framework_with_emd_denoising_for_rolling_element_b.pdf,facts_aefd7037fa6c.ttl,extracted
49,paper-0402,extraction_papers/paper-0402_development_and_simulation_of_a_novel_mathematical_model_for_an_intelligent_tire_system_towa.pdf,facts_f3d29489b5d9.ttl,extracted
50,paper-0403,extraction_papers/paper-0403_proactive_fault_prediction_in_marine_diesel_engines_using_multivariate_machine_learning.pdf,facts_d223bbaa9246.ttl,extracted
51,paper-0405,extraction_papers/paper-0405_3d_railway_modelling_for_extending_the_remaining_useful_life_of_a_bogie.pdf,facts_164938fe194b.ttl,extracted
52,paper-0406,extraction_papers/paper-0406_research_on_the_diagnosis_of_abnormal_sound_defects_in_automobile_engines_based_on_fusion_of.pdf,facts_21f5994b1922.ttl,extracted
53,paper-0416,extraction_papers/paper-0416_thermal_intelligence_for_hydro_generators_data_driven_prediction_of_stator_winding_temperatu.pdf,facts_a62f445003bb.ttl,extracted
54,paper-0418,extraction_papers/paper-0418_predicting_stator_winding_short_circuit_faults_in_induction_motors_using_machine_learning_a.pdf,facts_fe823ec368d7.ttl,extracted
55,paper-0419,extraction_papers/paper-0419_early_fault_severity_prediction_in_digital_twin_enabled_industrial_systems_using_imbalance_a.pdf,facts_e1f936cbb7c2.ttl,extracted
56,paper-0423,extraction_papers/paper-0423_a_metric_driven_evaluation_framework_for_remaining_useful_life_prognosis_with_quantified_unc.pdf,facts_4c2b5277dd6e.ttl,extracted
57,paper-0424,extraction_papers/paper-0424_assessment_of_a_40_year_old_induction_motor_using_hybrid_diagnostic_and_ai_based_predictive.pdf,facts_62dab09d68cc.ttl,extracted
58,paper-0428,extraction_papers/paper-0428_physiochemical_properties_investigation_of_thermal_moisture_aged_low_voltage_pvc_cable_insul.pdf,facts_1de7d146cbcc.ttl,extracted
59,paper-0436,extraction_papers/paper-0436_proactive_inspection_through_interpretable_online_degradation_monitoring_for_heavy_duty_ev_b.pdf,facts_eca56b4f9e43.ttl,extracted
60,paper-0439,extraction_papers/paper-0439_start_stop_cycle_induced_failure_mode_transition_in_sofc_powered_northern_sea_route_shipping.pdf,facts_637e0c3b555e.ttl,extracted
61,paper-0441,extraction_papers/paper-0441_an_mmc_based_fracture_failure_assessment_framework_for_in_service_x80_pipelines_with_circumf.pdf,facts_7a3780152090.ttl,extracted
62,paper-0442,extraction_papers/paper-0442_multi_scale_entropy_analysis_of_acoustic_emission_for_gearbox_fault_severity_classification.pdf,facts_6aa0b4e055d0.ttl,extracted
63,paper-0444,extraction_papers/paper-0444_neural_network_based_submodule_capacitance_monitoring_in_modular_multilevel_converters_for_r.pdf,facts_08257ce5150f.ttl,extracted
64,paper-0446,extraction_papers/paper-0446_incorporating_time_dependence_into_a_fault_signature_matrix_to_support_root_cause_identifica.pdf,facts_6b1c61beca3a.ttl,extracted
65,paper-0449,extraction_papers/paper-0449_graph_neural_network_based_remaining_useful_life_prediction_of_milling_tools_using_multi_sen.pdf,facts_b5253f7fedd3.ttl,extracted
66,paper-0452,extraction_papers/paper-0452_remaining_useful_life_prediction_for_lithium_ion_batteries_based_on_a_deep_mixed_effect_gaus.pdf,facts_8bf2b83a7f38.ttl,extracted
67,paper-0457,extraction_papers/paper-0457_monitoring_the_condition_of_city_bus_engines_by_analysing_used_oil_using_pca_and_k_means_clu.pdf,facts_0e472e57d26e.ttl,extracted
68,paper-0464,extraction_papers/paper-0464_physics_informed_domain_adaptation_for_stator_inter_turn_short_circuit_diagnosis_in_synchron.pdf,facts_6dd218ab4d5b.ttl,extracted
69,paper-0466,extraction_papers/paper-0466_fault_diagnosis_of_wind_turbine_gearboxes_based_on_svm_feature_selection_and_cgan_data_augme.pdf,facts_29f76b527a2b.ttl,extracted
70,paper-0471,extraction_papers/paper-0471_motion_characteristics_and_defect_diagnosis_of_metallic_particles_in_gis_gil.pdf,facts_3ee28dd4f49f.ttl,extracted
71,paper-0473,extraction_papers/paper-0473_adaptive_machine_learning_models_for_predictive_maintenance_in_industrial_internet_of_things.pdf,facts_5df129db58e0.ttl,extracted
72,paper-0474,extraction_papers/paper-0474_data_driven_health_prognostics_of_nmc_lithium_ion_batteries_via_impedance_spectroscopy_using.pdf,facts_3802ef04d008.ttl,extracted
73,paper-0477,extraction_papers/paper-0477_aiot_methodology_for_retrofitting_aeronautical_manufacturing_systems.pdf,facts_6e6418007fcd.ttl,extracted
74,paper-0478,extraction_papers/paper-0478_enabling_predictive_maintenance_in_district_heating_substations_a_labelled_dataset_and_fault.pdf,facts_b1a4fd9a1f86.ttl,extracted
75,paper-0481,extraction_papers/paper-0481_a_novel_generalized_beamforming_layer_set_for_deep_learning_based_acoustic_cavitation_detect.pdf,facts_bb4a9d52e9cc.ttl,extracted
76,paper-0483,extraction_papers/paper-0483_early_prediction_of_lithium_ion_battery_degradation_with_a_generative_pre_trained_transforme.pdf,facts_20954c1af19d.ttl,extracted
77,paper-0486,extraction_papers/paper-0486_cloud_based_collaborative_cnc_manufacturing_framework_integrating_tool_wear_monitoring_and_s.pdf,facts_c8a1ceca6e88.ttl,extracted
78,paper-0489,extraction_papers/paper-0489_xgboost_for_multi_fault_diagnosis_and_prediction_in_permanent_magnet_synchronous_machines.pdf,facts_785cde2f910d.ttl,extracted
79,paper-0491,extraction_papers/paper-0491_experimental_comparative_evaluation_of_machine_learning_methods_for_early_multi_fault_detect.pdf,facts_35eebb7b7afe.ttl,extracted
80,paper-0501,extraction_papers/paper-0501_a_simple_comparative_study_on_the_effectiveness_of_bearing_fault_detection_using_different_s.pdf,facts_66cb6db76cd9.ttl,extracted
81,paper-0502,extraction_papers/paper-0502_digital_twin_based_predictive_maintenance_in_cold_chain_logistics.pdf,facts_2db1655d31a6.ttl,extracted
82,paper-0509,extraction_papers/paper-0509_a_fault_detection_model_for_predictive_maintenance_of_a_wind_turbine_based_on_a_hybrid_deep.pdf,facts_b620da22ab4a.ttl,extracted
83,paper-0510,extraction_papers/paper-0510_predictive_maintenance_of_mining_centrifuges_using_machine_learning_and_deep_learning_models.pdf,facts_ee072a2a59e7.ttl,extracted
84,paper-0512,extraction_papers/paper-0512_stability_analysis_and_fault_diagnosis_of_all_terrain_crane_boom_with_geometric_defects.pdf,facts_7abbed652c1a.ttl,extracted
85,paper-0513,extraction_papers/paper-0513_energy_efficient_cooling_system_control_in_ship_engine_rooms_using_an_intelligent_integrated.pdf,facts_74f5576c5a23.ttl,extracted
86,paper-0517,extraction_papers/paper-0517_system_and_system_of_systems_digital_twins_for_predictive_maintenance_and_root_cause_analysi.pdf,facts_eb27293fafa8.ttl,extracted
87,paper-0518,extraction_papers/paper-0518_fuzzy_comprehensive_state_evaluation_method_of_filter_circuit_breaker_based_on_field_operati.pdf,facts_c5900afb9e1d.ttl,extracted
88,paper-0520,extraction_papers/paper-0520_analysis_of_3d_printed_cycloidal_gear_degradation_in_a_run_to_failure_test.pdf,facts_78b720ca0af2.ttl,extracted
89,paper-0523,extraction_papers/paper-0523_remaining_useful_life_prediction_of_milling_tool_based_on_improved_pso_multiam_bilstm.pdf,facts_b52ac2844669.ttl,extracted
90,paper-0524,extraction_papers/paper-0524_state_of_health_prediction_method_for_the_gas_turbine_aero_engine_fuel_metering_units_based.pdf,facts_3e441c612946.ttl,extracted
91,paper-0527,extraction_papers/paper-0527_simultaneous_estimation_of_state_of_health_and_remaining_useful_life_for_lithium_ion_batteri.pdf,facts_6d107013e4f7.ttl,extracted
92,paper-0529,extraction_papers/paper-0529_the_relationship_between_breakdowns_and_production_and_the_detection_of_breakdown_units_in_m.pdf,facts_ec9d7ee0695a.ttl,extracted
93,paper-0531,extraction_papers/paper-0531_pi_fsl_physics_informed_few_shot_domain_adaptation_for_robust_cross_domain_condition_monitor.pdf,facts_992561995723.ttl,extracted
94,paper-0532,extraction_papers/paper-0532_a_battery_cycle_level_rul_estimation_method_based_on_multi_domain_features_and_an_mcas_guide.pdf,facts_714558e87c38.ttl,extracted
95,paper-0533,extraction_papers/paper-0533_an_iot_based_predictive_maintenance_framework_using_a_hybrid_deep_learning_model_for_smart_i.pdf,facts_1d50f4186005.ttl,extracted
96,paper-0536,extraction_papers/paper-0536_an_ensemble_lstm_based_framework_for_improved_prognostics_and_health_management_of_milling_m.pdf,facts_bb4b255b87cd.ttl,extracted
97,paper-0537,extraction_papers/paper-0537_intelligent_condition_monitoring_of_power_cables_using_advanced_machine_learning_models.pdf,facts_17cd6a7ce0d1.ttl,extracted
98,paper-0540,extraction_papers/paper-0540_non_destructive_assessment_of_gamma_radiation_aging_in_nuclear_cables_via_new_dielectric_spe.pdf,facts_4aaf385d813e.ttl,extracted
99,paper-0541,extraction_papers/paper-0541_dynamic_maintenance_optimization_of_the_ds306_detacher_a_preventive_approach_and_operational.pdf,facts_d4b1cbe7a461.ttl,extracted
100,paper-0542,extraction_papers/paper-0542_multiple_synergistic_degradation_parameter_identification_of_pem_fuel_cells_utilizing_threat.pdf,facts_b4901083c4ab.ttl,extracted
101,paper-0543,extraction_papers/paper-0543_deep_learning_based_detection_and_forecasting_of_performance_losses_in_solar_pv_systems_usin.pdf,facts_788697cf9291.ttl,extracted
102,paper-0545,extraction_papers/paper-0545_an_intelligent_predictive_maintenance_architecture_for_substation_automation_real_world_vali.pdf,facts_4e1d1324fb3b.ttl,extracted
103,paper-0546,extraction_papers/paper-0546_an_intelligent_condition_monitoring_framework_for_alkaline_water_electrolyzers_based_on_hybr.pdf,facts_721084846ae4.ttl,extracted
104,paper-0547,extraction_papers/paper-0547_a_low_cost_predictive_maintenance_system_for_co2_laser_cutting_machines_based_on_multi_senso.pdf,facts_51ae31472afe.ttl,extracted
105,paper-0548,extraction_papers/paper-0548_study_on_methods_and_a_system_for_real_time_monitoring_of_the_remaining_useful_life_of_a_mil.pdf,facts_1649303d03f5.ttl,extracted
106,paper-0550,extraction_papers/paper-0550_a_novel_hierarchical_temporal_graph_physics_guided_fusion_network_for_predictive_fault_diagn.pdf,facts_e4559ba11228.ttl,extracted
107,paper-0552,extraction_papers/paper-0552_optimizing_inspection_and_maintenance_decisions_in_degrading_systems_with_quality_loss.pdf,facts_fe104b30a598.ttl,extracted
108,paper-0557,extraction_papers/paper-0557_federated_learning_for_critical_electrical_infrastructure_handling_data_heterogeneity_for_pr.pdf,facts_64c976727af8.ttl,extracted
109,paper-0561,extraction_papers/paper-0561_algorithmic_approach_to_prescriptive_maintenance_in_industry_4_0.pdf,facts_7055937a9b67.ttl,extracted
110,paper-0562,extraction_papers/paper-0562_robust_baselines_and_probability_calibration_for_tpm_oriented_predictive_maintenance.pdf,facts_901c2b998e10.ttl,extracted
111,paper-0563,extraction_papers/paper-0563_health_state_prediction_with_reinforcement_learning_for_predictive_maintenance.pdf,facts_16259bb8b181.ttl,extracted
112,paper-0565,extraction_papers/paper-0565_an_edge_intelligent_predictive_maintenance_system_for_underwater_data_centers_using_multi_do.pdf,facts_e833bddd39db.ttl,extracted
113,paper-0566,extraction_papers/paper-0566_towards_self_diagnostic_solar_farms_leveraging_efficientnet_and_class_activation_mapping_for.pdf,facts_f1087603d349.ttl,extracted
114,paper-0567,extraction_papers/paper-0567_a_framework_for_integrated_maintenance_of_a_multi_robot_packaging_workcell.pdf,facts_f1ee42d74e0f.ttl,extracted
115,paper-0568,extraction_papers/paper-0568_high_frequency_ultrasonic_condition_monitoring_framework_based_on_edge_computing_and_telemet.pdf,facts_1be481d41400.ttl,extracted
116,paper-0570,extraction_papers/paper-0570_deriving_occurrence_variability_in_fatigue_critical_turning_manoeuvres_for_landing_gear_desi.pdf,facts_ee0a75e61d45.ttl,extracted
117,paper-0573,extraction_papers/paper-0573_machine_learning_for_covariate_driven_changes_in_weibull_scale_parameter.pdf,facts_10262fb0fde1.ttl,extracted
118,paper-0576,extraction_papers/paper-0576_temporal_domain_vibration_fault_diagnosis_of_drone_blades_via_selective_embedding.pdf,facts_47a1cd33622c.ttl,extracted
119,paper-0577,extraction_papers/paper-0577_effects_of_window_and_batch_size_on_autoencoder_lstm_models_for_remaining_useful_life_predic.pdf,facts_46c71e5bf327.ttl,extracted
120,paper-0580,extraction_papers/paper-0580_from_reactive_to_resilient_a_hybrid_digital_twin_and_deep_learning_framework_for_mining_oper.pdf,facts_47acb7bbbb9d.ttl,extracted
121,paper-0583,extraction_papers/paper-0583_a_novel_lithium_ion_battery_remaining_useful_life_prediction_method_by_learning_wiener_proce.pdf,facts_d523cf136b65.ttl,extracted
122,paper-0584,extraction_papers/paper-0584_performance_of_a_newly_developed_hybrid_apo_pso_metaheuristic_for_monitoring_of_intelligent.pdf,facts_d2bdc8b855bd.ttl,extracted
123,paper-0586,extraction_papers/paper-0586_aging_feature_extraction_method_based_on_the_short_axis_diameter_ratio_of_serviced_rubber_st.pdf,facts_805197904a75.ttl,extracted
124,paper-0588,extraction_papers/paper-0588_linearity_analysis_of_a_brushed_dc_machine_thermal_system_in_response_to_speed_input_using_t.pdf,facts_24ff1d69286e.ttl,extracted
125,paper-0590,extraction_papers/paper-0590_data_driven_condition_monitoring_and_predictive_maintenance_of_pulse_type_pneumatic_conveyin.pdf,facts_78bbe354e88e.ttl,extracted
126,paper-0591,extraction_papers/paper-0591_robust_hmm_based_remaining_useful_life_estimation_using_a_ridge_regularized_em_algorithm.pdf,facts_2cbf6784d2e3.ttl,extracted
127,paper-0592,extraction_papers/paper-0592_federated_predictive_maintenance_with_nasa_bp930_satellite_battery_in_industry_5_0.pdf,facts_7e88c7bdae86.ttl,extracted
128,paper-0593,extraction_papers/paper-0593_clarke_domain_dyadic_wavelet_denoising_for_three_phase_induction_motor_current_signals.pdf,facts_6ae388cde46e.ttl,extracted
129,paper-0596,extraction_papers/paper-0596_condition_adaptive_cnn_with_spatiotemporal_fusion_for_enhanced_motor_fault_diagnosis.pdf,facts_c5ad36209254.ttl,extracted
130,paper-0597,extraction_papers/paper-0597_proposing_surge_arrester_monitoring_indicators_and_their_evaluation_using_correlation_coeffi.pdf,facts_0593a9919b79.ttl,extracted
131,paper-0598,extraction_papers/paper-0598_botdr_monitoring_of_tensile_state_in_three_core_fiber_optic_composite_submarine_cables_with.pdf,facts_dbd86d76e868.ttl,extracted
132,paper-0599,extraction_papers/paper-0599_early_anomaly_detection_in_maritime_refrigerated_containers_using_a_hybrid_digital_twin_and.pdf,facts_c7bd55c45a5a.ttl,extracted
133,paper-0600,extraction_papers/paper-0600_data_driven_joint_optimization_of_maintenance_and_spare_parts_provisioning_a_distributionall.pdf,facts_1dfb91166b11.ttl,extracted
134,paper-0602,extraction_papers/paper-0602_hybrid_ai_and_llm_enabled_agent_based_real_time_decision_support_architecture_for_industrial.pdf,facts_a81ff79a11ef.ttl,extracted
135,paper-0605,extraction_papers/paper-0605_convolutional_autoencoder_based_method_for_predicting_faults_of_cyber_physical_systems_based.pdf,facts_b846be1d3f07.ttl,extracted
136,paper-0606,extraction_papers/paper-0606_identification_of_abnormal_conditions_in_induction_motors_from_current_spectrum_images_using.pdf,facts_dac4dd71236c.ttl,extracted
137,paper-0607,extraction_papers/paper-0607_ai_based_predictive_maintenance_for_rotor_crack_fault_diagnosis_for_variable_speed_machines.pdf,facts_5ca74d3ffe1e.ttl,extracted
138,paper-0610,extraction_papers/paper-0610_comparative_analysis_of_classical_machine_learning_models_for_predictive_maintenance_in_the.pdf,facts_6fbfec565444.ttl,extracted
139,paper-0611,extraction_papers/paper-0611_an_agentic_artificial_intelligence_observer_for_predictive_maintenance_in_electrolysers.pdf,facts_e51292722a24.ttl,extracted
140,paper-0615,extraction_papers/paper-0615_robust_incipient_fault_diagnosis_of_rolling_element_bearings_under_small_sample_conditions_u.pdf,facts_159a8af82084.ttl,extracted
141,paper-0616,extraction_papers/paper-0616_ai_driven_predictive_maintenance_bayesian_reliability_assessment_and_xgboost_for_smart_indus.pdf,facts_13e24977c6b6.ttl,extracted
142,paper-0617,extraction_papers/paper-0617_data_driven_predictive_maintenance_for_aircraft_components_through_sparse_event_logs.pdf,facts_4d434709444d.ttl,extracted
143,paper-0618,extraction_papers/paper-0618_trustworthy_predictive_maintenance_in_smart_manufacturing_using_neutrosophic_reasoning_appro.pdf,facts_733454952f0f.ttl,extracted
144,paper-0621,extraction_papers/paper-0621_enhanced_rotating_machinery_fault_diagnosis_using_hybrid_rbso_mrfo_adaptive_transformer_lstm.pdf,facts_c5d630726e73.ttl,extracted
145,paper-0623,extraction_papers/paper-0623_an_integrated_approach_to_condition_based_maintenance_decision_making_of_planetary_gearboxes.pdf,facts_957c792b7d1a.ttl,extracted
146,paper-0624,extraction_papers/paper-0624_a_smart_cloud_integrated_lstm_framework_for_transformer_fault_prediction_using_sequential_dg.pdf,facts_dbf84cdbb960.ttl,extracted
147,paper-0625,extraction_papers/paper-0625_a_two_stage_comparative_framework_for_predicting_photovoltaic_cleaning_schedules_modeling_an.pdf,facts_9e39f8703bdd.ttl,extracted
148,paper-0626,extraction_papers/paper-0626_monitoring_the_effect_of_runout_on_a_diamond_coated_burrs_wear_progression_with_acoustic_emi.pdf,facts_2087e3707b95.ttl,extracted
149,paper-0627,extraction_papers/paper-0627_an_attribute_driven_access_control_framework_based_on_smart_contracts_for_secure_collaborati.pdf,facts_570d0ba4227e.ttl,extracted
150,paper-0629,extraction_papers/paper-0629_predictive_maintenance_in_aircraft_engine_maintenance_using_the_c_mapss_dataset_performance.pdf,facts_3c088e509323.ttl,extracted
151,paper-0630,extraction_papers/paper-0630_intelligent_fault_detection_in_the_mechanical_structure_of_a_wheeled_mobile_robot.pdf,facts_ed0054f88224.ttl,extracted
152,paper-0632,extraction_papers/paper-0632_hybrid_hho_who_optimized_transformer_gru_model_for_advanced_failure_prediction_in_industrial.pdf,facts_6f785837148f.ttl,extracted
153,paper-0633,extraction_papers/paper-0633_yolov8n_alc_an_efficient_network_for_bolt_nut_fastener_detection_in_complex_substation_envir.pdf,facts_3ef3a4cd7be0.ttl,extracted
154,paper-0636,extraction_papers/paper-0636_a_matrix_statistics_aware_attention_mechanism_for_robust_rul_estimation_in_aero_engines.pdf,facts_369aa98c1873.ttl,extracted
155,paper-0641,extraction_papers/paper-0641_optimization_of_oil_production_using_sucker_rod_pumps_via_predictive_elimination_of_paraffin.pdf,facts_f0bc196d90b1.ttl,extracted
156,paper-0642,extraction_papers/paper-0642_a_hybrid_parallel_informer_lstm_framework_based_on_two_stage_decomposition_for_lithium_batte.pdf,facts_fbf5255fe1be.ttl,extracted
157,paper-0643,extraction_papers/paper-0643_cyclic_ratcheting_strain_driven_non_homogeneous_markov_framework_for_probabilistic_fatigue_a.pdf,facts_7659e72df266.ttl,extracted
158,paper-0647,extraction_papers/paper-0647_cross_condition_lithium_ion_battery_capacity_multi_variable_estimation_model_based_on_increm.pdf,facts_30228a3c2349.ttl,extracted
159,paper-0648,extraction_papers/paper-0648_ai_driven_hybrid_deep_learning_and_swarm_intelligence_for_predictive_maintenance_of_smart_ma.pdf,facts_da6f95eecb0b.ttl,extracted
160,paper-0649,extraction_papers/paper-0649_semi_supervised_and_unsupervised_learning_for_health_indicator_extraction_from_guided_waves.pdf,facts_1afce5a917c7.ttl,extracted
161,paper-0651,extraction_papers/paper-0651_risk_based_performance_optimization_of_mozzarella_cheese_processing_using_expert_judgement_p.pdf,facts_35ed82347e21.ttl,extracted
162,paper-0653,extraction_papers/paper-0653_a_disentangled_prototype_driven_continual_learning_framework_for_fault_diagnosis_of_cotton_h.pdf,facts_f013b39c73eb.ttl,extracted
163,paper-0657,extraction_papers/paper-0657_maintenance_modeling_for_a_multi_state_system_under_competing_failures_and_imperfect_repairs.pdf,facts_17792a3e16ba.ttl,extracted
164,paper-0658,extraction_papers/paper-0658_electromagnetic_analysis_of_double_rotor_direct_drive_permanent_magnet_generators_under_ecce.pdf,facts_673cbff3d812.ttl,extracted
