id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-3618,low,test_apparatus_monitoring,review_keep,"Digital twin monitors a materials-testing apparatus and claims lower maintenance cost, but fault/degradation decision support is not central.",Digital Twin-Driven Modeling and Application of High-Temperature Biaxial Materials Testing Apparatus
paper-3634,medium,sensor_method_only,review_keep,GaN Hall sensor fabrication/testing is an enabling sensor study; no asset-maintenance case is demonstrated.,Study of GaN Hall Effect Magnetic Sensors
paper-3643,low,generic_iiot_optimization,review_keep,"Explicitly frames predictive-maintenance policies, but asset type and physical degradation model are generic/unspecified.",Federated Q-Learning-Based Optimization for Resource Allocation in Industrial IoT Networks
paper-3686,medium,operational_classification_not_maintenance,review_exclude,"Drive-mode classification for trucks may aid diagnostics, but it predicts operating mode rather than condition, fault, or RUL.",DriveSense: A Noise-Resilient Framework for Driving Mode Identification
paper-3687,low,generic_method_unclear_asset,review_keep,"Online parameter estimation is demonstrated on DC motors and marine vessels, but maintenance linkage remains methodological/general.",Online Parameter Estimation in Digital Twins for Real-Time Condition Monitoring
paper-3698,medium,environmental_monitoring_not_maintenance,review_exclude,Vehicle-emission forecasting targets high-emitting vehicles and environmental compliance; predictive maintenance is incidental.,IVEMPS: IoT-Based Vehicle Emission Monitoring and Prediction System
paper-3733,high,mixed_nonmaintenance_statistics,review_exclude,Primarily a statistical distribution paper mixing disability prevalence with one reliability case; asset maintenance focus is weak.,A light-tail Pareto Type II model for disability and reliability case studies with potential risk assessment under disability prevalence dates data in Saudi Arabia
paper-3762,low,sensor_method_only,review_keep,"Disposable biosensor detects water in oil as a degradation indicator, but no equipment maintenance workflow is shown.",Broadband Disposable Biosensors Based on Dielectric Waveguide Ring Resonators
paper-3784,medium,generic_or_civil_structure,review_exclude,Bolted-structure torque-loosening SHM lacks a specific in-scope industrial/electromechanical asset and may be civil/generic structure monitoring.,Integrating Virtual Sensor Data Augmentation Into Machine Learning for Damage Quantification of Bolted Structures Under Assembly Uncertainty
paper-3790,high,civil_building_structure,review_exclude,"Glass curtain-wall health monitoring is building/civil-structure SHM, which the criteria exclude from strict PdM scope.",Research on Health Condition Monitoring for Glass Panel of Hidden Frame Glass Curtain Wall Under Wind Load Using Fuzzy Comprehensive Evaluation
paper-3813,medium,parameter_estimation_only,review_keep,Induction-motor parameter estimation mainly supports modeling/control; predictive maintenance is only a possible downstream task.,Parameter Estimation for Three-Phase Induction Motor Based on Performance Curves and Differential Evolution
paper-3814,low,model_benchmark_only,review_keep,Benchmarks PV IV equivalent-circuit models; health/fault detection is mentioned as a use case but not the main contribution.,Benchmarking equivalent circuit models for the IV characteristic of bifacial photovoltaic modules
paper-3815,low,operations_optimization_not_maintenance,review_keep,"Second-life battery dispatch uses SOH/RUL constraints, but the primary objective is capacity planning and power dispatch.",Second-Life Battery Energy Storage System Capacity Planning and Power Dispatch via Model-Free Adaptive Control-Embedded Heuristic Optimization
paper-3830,medium,sensor_method_only,review_exclude,"Evaluates low-cost particle sensors for HVAC ducts; predictive maintenance of filters is only an opportunity, not demonstrated.",Using low-cost particle sensors in HVAC ducts
paper-3843,medium,manufacturing_quality_reliability_testing,review_exclude,"Predicts HDD failures during manufacturing reliability testing, closer to quality screening than field maintenance of assets.",An Adaptive Machine Learning Framework Integrating AutoML and MLOps for Two-Stage Classification in Hard Disk Drive Manufacturing
paper-3860,high,waste_management_quality_control,review_exclude,Tyre defect classification is framed around waste sorting/recycling and quality inspection; maintenance relevance is incidental.,A Sustainable Approach to Waste Management of Tyres: Using Artificial Intelligence for Enhanced Accuracy
paper-3865,medium,parameter_estimation_only,review_keep,PMSM mechanical-parameter observer supports control/condition monitoring but does not diagnose degradation or maintenance need.,Synchronous Estimation Scheme of PMSM Mechanical Parameters: A Decoupled Extended Sliding-Mode Observer
paper-3952,medium,generic_renewable_optimization,review_keep,Solar-power/climate-change assessment proposes a broad ML framework; PdM details and asset-fault specificity are limited.,An assessment of solar power generating system as a solution to deal with global warming and climate change
paper-3959,low,generic_lifecycle_framework,review_keep,"Distribution-network lifecycle framework is broad and policy-oriented, with predictive maintenance only one component.","Intelligent lifecycle management of distribution networks: a machine learning framework for efficiency, resilience, and environmental sustainability"
paper-3962,low,broad_inspection_framework,review_keep,"Drones/IoT renewable-energy integration includes inspection and faults, but the work is broad system integration rather than focused PdM.",Drones and IoT for Enhancing Renewable Energy Integration
paper-3964,medium,quality_control_not_maintenance,review_exclude,Surface-roughness classification is mainly machining quality/process control; tool replacement maintenance is downstream and indirect.,Surface Roughness Determination With the Help of Artificial Neural Networks as Enabler of Metal Machining Process Controlling System
paper-3969,low,repair_effects_not_predictive,review_keep,Studies effects of bearing surface grinding/repair; useful for maintenance but not predictive monitoring or prognosis.,Impact of Surface Grinding on the Performance of Tilting Pad Bearings
paper-3980,medium,road_safety_driver_monitoring,review_exclude,Primary goal is driver profiling and accident prevention; vehicle-condition monitoring is secondary and simulated.,SmartYatra: a dynamic driver profiling and vehicle condition monitoring safety shield for accident prevention
paper-3983,low,tribology_study_not_predictive,review_keep,"Marine thruster lip-seal behavior informs monitoring, but the paper is a tribology characterization without prediction/maintenance decisions.",Behavior of marine thruster lip seals under typical operating conditions
paper-3984,high,support_network_only,review_exclude,"Ultra-wideband adaptive networking supports power monitoring communications, not asset fault diagnosis or maintenance decision-making.",Research on Wireless Sensor Adaptive Networking for Power Monitoring Based on Ultra Wide Band
paper-3985,high,civil_infrastructure_inspection,review_exclude,"Robot viewpoint planning is for visual inspection of civil engineering structures, explicitly outside the strict equipment PdM scope.",Viewpoint Generation Algorithm for Gimbal-Mounted Robots for Visual Inspection of Civil Engineering Structures
paper-3987,medium,generic_ai_condition_monitoring,review_keep,"Brain-inspired learning architecture is evaluated on power-plant operational data, but asset/fault/degradation and maintenance action are unclear.",Brain-inspired memory architecture for condition monitoring based on hippocampal-neocortical complementary learning
