corpus_id,old_decision,new_decision,screening_reason_category,audit_confidence,audit_notes,pdf_present,Title,DOI,Source title
paper-0578,included,excluded,generic_nonmaintenance_ai_control,medium,Generic IoT reliability model lacks asset case,yes,Efficient Hierarchical Latent Gaussian Models for Heterogeneous and Skewed IoT Reliability Data,10.3390/sym18020325,Symmetry
paper-0585,included,excluded,generic_nonmaintenance_ai_control,medium,Generic deformation sensor lacks maintenance asset,yes,Embedded Printing of Integrated Quantum Dot Waveguide Deformation Sensors,10.3390/s26041160,Sensors
paper-0656,included,excluded,generic_nonmaintenance_ai_control,medium,Production state monitoring lacks maintenance focus,yes,Production System Monitoring Based on Petri Nets Enhanced with Multi-Source Information,10.3390/s26061785,Sensors
paper-0674,included,excluded,generic_nonmaintenance_ai_control,medium,Milling chatter detection targets process quality not maintenance,yes,Assessment of the effectiveness and computational performance of an innovative time-domain chatter detection strategy in milling,10.1007/s00170-026-17604-w,International Journal of Advanced Manufacturing Technology
paper-0762,included,excluded,generic_nonmaintenance_ai_control,medium,Injection molding process monitoring lacks asset maintenance focus,no,"Integrated capacitance–pressure–temperature sensor for injection molding applications: Shrinkage estimation, process monitoring, and leakage detection",10.1016/j.measurement.2025.119664,Measurement: Journal of the International Measurement Confederation
paper-0803,included,excluded,generic_nonmaintenance_ai_control,medium,Thermocouple fabrication study lacks maintenance use case,yes,"Advancing industry 4.0 with microfabrication of K-type TFTCs on stainless steel 316 L substrates: A study on SiO2 insulation, substrate thickness, and surface roughness optimization",10.1007/s00170-025-17306-9,International Journal of Advanced Manufacturing Technology
paper-0854,included,excluded,generic_nonmaintenance_ai_control,medium,SCADA simulation tool lacks implemented maintenance use case,yes,Supervisory Monitoring and Control Using Chemical Process Simulators and SCADA Systems,10.3390/methane5010008,Methane
paper-0916,included,excluded,generic_nonmaintenance_ai_control,medium,Wind power forecasting lacks asset health monitoring,yes,Optimized GDTP-XGBoost Framework for Wind Power Forecasting Toward Condition-Based Maintenance,10.17531/ein/214376,Eksploatacja i Niezawodnosc
paper-0958,included,excluded,generic_nonmaintenance_ai_control,high,Abstract queueing maintenance policy lacks physical asset,yes,Optimal joining strategy and pricing analysis in unreliable retrial queues with predictive maintenance,10.1051/ro/2025150,RAIRO - Operations Research
paper-0973,included,excluded,generic_nonmaintenance_ai_control,medium,Ship digital twin focuses fuel prediction not maintenance,no,Digital twin development for ship fuel consumption predictions using multiple model adaptive estimation with Eigensystem Realization Algorithm and Observer/Kalman Filter Identification,10.1016/j.oceaneng.2025.123743,Ocean Engineering
paper-1002,included,excluded,generic_nonmaintenance_ai_control,high,Manufacturing twin focuses supply disruption decisions,no,A simulation-based digital twin model for data-driven decision optimization,10.1016/j.dajour.2025.100646,Decision Analytics Journal
paper-1004,included,excluded,generic_nonmaintenance_ai_control,medium,Slag flow monitoring targets quality not maintenance,yes,An accelerometer-based dataset for monitoring slag in steel manufacturing,10.1186/s13104-025-07486-8,BMC Research Notes
paper-1057,included,excluded,generic_nonmaintenance_ai_control,medium,Wind turbine curve estimation lacks health maintenance focus,yes,Estimation of Power-Coefficient Curve from SCADA Data for Digital-Twin Applications,10.3390/en18246394,Energies
paper-1100,included,excluded,generic_nonmaintenance_ai_control,medium,Pipeline wax deposition study lacks maintenance decision,yes,Investigation of wax deposition aging rate for oil-water emulsions using polyethylene and steel pipes,10.1080/10916466.2025.2498134,Petroleum Science and Technology
paper-1167,included,excluded,generic_nonmaintenance_ai_control,high,Generic accelerated degradation model lacks asset use case,yes,Reliability Modeling Method for Constant Stress Accelerated Degradation Based on the Generalized Wiener Process,10.3390/e27121197,Entropy
paper-1189,included,excluded,generic_nonmaintenance_ai_control,medium,Control data acquisition method lacks maintenance use case,yes,High-Throughput Control-Data Acquisition for Multicore MCU-Based Real-Time Control Systems Using Double Buffering over Ethernet,10.3390/electronics15020469,Electronics (Switzerland)
paper-1202,included,excluded,generic_nonmaintenance_ai_control,medium,Floating platform offset monitoring lacks maintenance decision,no,Investigating Metocean Effects on Floating Offshore Wind Platform Positional Offset Using Sentinel-2 Imagery,10.1109/ACCESS.2026.3662158,IEEE Access
paper-1229,included,excluded,generic_nonmaintenance_ai_control,medium,Broad smart transport review not maintenance focused,no,Industry 4.0 for smart transport systems: Foundations and applications,10.1016/j.teler.2025.100255,Telematics and Informatics Reports
paper-1260,included,excluded,generic_nonmaintenance_ai_control,medium,Quality-control faults not maintenance,yes,CLAIRE: Compressed Latent Autoencoder for Industrial Representation and Evaluation—A Deep Learning Framework for Smart Manufacturing,10.1109/TSMC.2026.3671163,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
paper-1321,included,excluded,generic_nonmaintenance_ai_control,medium,Metrology error dataset not maintenance,yes,Digital Metrology for Nanoindentation: Synthetic Data Generator for Error Identification,10.3390/mi16121394,Micromachines
paper-1392,included,excluded,generic_nonmaintenance_ai_control,high,Broad printing AI overview,yes,AI IN MODERN PRINTING DESIGN AND PRODUCTION,10.29121/shodhkosh.v6.i1s.2025.6630,ShodhKosh: Journal of Visual and Performing Arts
paper-1448,included,excluded,generic_nonmaintenance_ai_control,high,Educational sensor network no asset case,no,DESIGN AND IMPLEMENTATION OF A MULTI-TECHNOLOGY WIRELESS SENSOR NETWORK FOR CONDITION MONITORING,10.17973/MMSJ.2025_12_2025111,MM Science Journal
paper-1579,included,excluded,generic_nonmaintenance_ai_control,high,Renewable energy AI overview,yes,The Role of Artificial Intelligence in Optimising Renewable Energy Systems for Sustainable Development,10.37933/nipes/7.4.2025.SI369,NIPES - Journal of Science and Technology Research
paper-1599,included,excluded,generic_nonmaintenance_ai_control,high,Generic reliability engineering overview,yes,Artificial Intelligence in Reliability of Engineering Design-an Overview,10.37933/nipes/7.4.2025.SI348,NIPES - Journal of Science and Technology Research
paper-1622,included,excluded,generic_nonmaintenance_ai_control,high,PV performance monitor not maintenance,no,Smart monitoring of photovoltaic energy systems: An IoT-based prototype approach,10.1016/j.sciaf.2025.e02973,Scientific African
paper-1629,included,excluded,generic_nonmaintenance_ai_control,medium,Method paper lacks asset use-case,no,Selective embedding for deep learning,10.1016/j.knosys.2025.114535,Knowledge-Based Systems
paper-1847,included,excluded,generic_nonmaintenance_ai_control,high,Generic acoustic sensor no asset case,yes,Line-Defect Phononic Crystal Structure for Directional Enhancement Detection of Weak Acoustic Signals,10.3390/cryst15100907,Crystals
paper-1880,included,excluded,generic_nonmaintenance_ai_control,medium,Transformer voltage model lacks maintenance decision,yes,Partial Differential Solutions with Lumped Parameter Model for Single Phase Transformer Windings Voltage Distribution,10.17576/jkukm-2025-37(7)-31,Jurnal Kejuruteraan
paper-1958,included,excluded,generic_nonmaintenance_ai_control,medium,Sensor data recovery not maintenance prediction,yes,Data Recovery Methods for Sensor Data in Water Distribution Systems Based on Spatiotemporal Redundancy,10.3390/w17213082,Water (Switzerland)
paper-1973,included,excluded,generic_nonmaintenance_ai_control,high,Generic IIoT twin modeling lacks maintenance task,no,Enhancing Industrial Internet of Things performance through deep transfer learning-based neural network digital twin modeling in data-scarce environments,10.1016/j.jii.2025.100956,Journal of Industrial Information Integration
paper-2052,included,excluded,generic_nonmaintenance_ai_control,medium,PV performance prediction lacks maintenance decision,no,Long-term comparative analysis of machine learning models: A deep dive into applications of artificial intelligence for enhancing photovoltaic performance prediction,10.1016/j.ijepes.2025.110866,International Journal of Electrical Power and Energy Systems
paper-2104,included,excluded,generic_nonmaintenance_ai_control,high,Generic IIoT anomaly detector lacks maintenance use,no,A robust anomaly detector for imbalanced industrial internet of things data,10.1093/jcde/qwaf085,Journal of Computational Design and Engineering
paper-2108,included,excluded,generic_nonmaintenance_ai_control,medium,VR digital twin framework lacks maintenance task,no,A real-time VR-enabled digital twin framework for multi-user interaction in Industry 4.0,10.1016/j.mfglet.2025.06.168,Manufacturing Letters
paper-2156,included,excluded,generic_nonmaintenance_ai_control,medium,Harmonic reducer dynamics model lacks maintenance use,no,A new computationally efficient model of the non-linear dynamics in harmonic drive reducers,10.1016/j.mechmachtheory.2025.105992,Mechanism and Machine Theory
paper-2171,included,excluded,generic_nonmaintenance_ai_control,medium,Motor vibration sensing lacks maintenance diagnosis,yes,A Deep Learning Framework for Enhancing High-Frequency Optical Fiber Vibration Sensing from Low-Sampling-Rate FBG Interrogators,10.3390/s25134047,Sensors
paper-2204,included,excluded,generic_nonmaintenance_ai_control,medium,AI bias overview not maintenance study,yes,AI Bias in Power Systems Domain—Exemplary Cases and Approaches,10.3390/en18184819,Energies
paper-2331,included,excluded,generic_nonmaintenance_ai_control,medium,Machine utilization analytics not maintenance focused,yes,Optimising Manufacturing Efficiency: A Data Analytics Solution for Machine Utilisation and Production Insights,10.3390/jmmp9070210,Journal of Manufacturing and Materials Processing
paper-2421,included,excluded,generic_nonmaintenance_ai_control,high,Generic edge ML without asset case,yes,A Performance Study of Deep Neural Network Representations of Interpretable ML on Edge Devices with AI Accelerators,10.3390/s25185681,Sensors
paper-2490,included,excluded,generic_nonmaintenance_ai_control,medium,End of line motor quality inspection,yes,End-of-Line Quality Control Based on Mel-Frequency Spectrogram Analysis and Deep Learning,10.3390/machines13070626,Machines
paper-2500,included,excluded,generic_nonmaintenance_ai_control,medium,PV power forecasting not maintenance,no,Comparative analysis of experimental and modelling of bifacial PV panel: a step towards digital twin,10.1016/j.ijft.2025.101377,International Journal of Thermofluids
paper-2523,included,excluded,generic_nonmaintenance_ai_control,high,Generic signal imputation method,no,Data imputation in the frequency domain using Echo State Networks,10.1016/j.engappai.2025.110129,Engineering Applications of Artificial Intelligence
paper-2569,included,excluded,generic_nonmaintenance_ai_control,medium,Transformer GIC coupling lacks maintenance,yes,Electromagnetic–Mechanical–Acoustic Coupling Analysis of Transformers Under Geomagnetically Induced Current Interference,10.3390/machines13050437,Machines
paper-2622,included,excluded,generic_nonmaintenance_ai_control,high,Microfluidic clogging lab study,no,Early detection of pore clogging in microfluidic systems with 3D convolutional neural network,10.1016/j.seppur.2024.130428,Separation and Purification Technology
paper-2651,included,excluded,generic_nonmaintenance_ai_control,medium,Manufacturing process monitoring not maintenance,yes,Reliable machine learning models for manufacturing processes,10.1007/s00170-025-15785-4,International Journal of Advanced Manufacturing Technology
paper-2665,included,excluded,generic_nonmaintenance_ai_control,medium,Robot control paper with incidental maintenance,no,"Advanced multi-loop control for 4DOF robotic arms: Integrating digital twins, neural networks, and model predictive control",10.1016/j.egyr.2025.03.052,Energy Reports
paper-2686,included,excluded,generic_nonmaintenance_ai_control,high,Generic FBG demodulation hardware,no,Cost-effective and lightweight FBG demodulation system based on edge AI,10.1364/OE.558223,Optics Express
paper-2690,included,excluded,generic_nonmaintenance_ai_control,high,Welding quality inspection not maintenance,no,Evaluation of Time-Domain Acoustic Signature in TIG Welding of 5083 Aluminum Alloy: A Methodological Comparison of Feature Reduction Approaches,10.1016/j.rineng.2025.105062,Results in Engineering
paper-2717,included,excluded,generic_nonmaintenance_ai_control,high,PV dust power prediction only,no,Comparative analysis dust accumulation impact on PV performance using artificial neural network and machine learning algorithms,10.1016/j.rineng.2025.105024,Results in Engineering
paper-2726,included,excluded,generic_nonmaintenance_ai_control,medium,Grounding meter validation not maintenance,yes,Reliability of High-Frequency Earth Meters in Measuring Tower-Footing Resistance: Simulations and Experimental Validation,10.3390/en18081959,Energies
paper-2750,included,excluded,generic_nonmaintenance_ai_control,medium,Iron bird simulation model validation,yes,Development of Real-Time Models of Electromechanical Actuators for a Hybrid Iron Bird of a Regional Aircraft,10.3390/act14040172,Actuators
paper-2875,included,excluded,generic_nonmaintenance_ai_control,high,Circular end of life product sorting,no,Extending lifespan: Wear and non-wear component analysis in end-of-life products,10.1016/j.mex.2025.103423,MethodsX
paper-2903,included,excluded,generic_nonmaintenance_ai_control,high,Circular electronics passport not PdM,yes,Smart Tags as Enablers for Digital Product Passports in Circular Electronics Value Chains,10.1007/s43615-025-00500-y,Circular Economy and Sustainability
paper-2995,included,excluded,generic_nonmaintenance_ai_control,medium,Railway hygiene maintenance center operations,yes,Concept of Efficient Utilization of Railway Station Technical–Hygienic Maintenance Centers—A Case Study from Slovakia,10.3390/vehicles7020048,Vehicles
paper-3019,included,excluded,generic_nonmaintenance_ai_control,high,Statistical anomaly method lacks asset use case,yes,ICS for multivariate functional anomaly detection with applications to predictive maintenance and quality control,10.1016/j.ecosta.2022.03.003,Econometrics and Statistics
paper-3063,included,excluded,generic_nonmaintenance_ai_control,medium,Energy harvesting for sensors not asset maintenance,yes,Transforming Industrial Maintenance with Thermoelectric Energy Harvesting and NB-IoT: A Case Study in Oil Refinery Applications,10.3390/s25030703,Sensors
paper-3080,included,excluded,generic_nonmaintenance_ai_control,medium,Welding process monitoring not equipment maintenance,yes,Real-Time Analysis of Industrial Data Using the Unsupervised Hierarchical Density-Based Spatial Clustering of Applications with Noise Method in Monitoring the Welding Process in a Robotic Cell,10.3390/info16020079,Information (Switzerland)
paper-3082,included,excluded,generic_nonmaintenance_ai_control,high,Synthetic RUL method lacks asset use case,yes,A Practical Prognostics Method Based on Stepwise Linear Approximation of a Nonlinear Degradation Model,10.3390/app15010266,Applied Sciences (Switzerland)
paper-3228,included,excluded,generic_nonmaintenance_ai_control,high,Generic reliability distribution no asset use case,yes,Reliability assessment and remaining useful life prediction based on the unit Gompertz distribution,10.3934/math.20251018,AIMS Mathematics
paper-3237,included,excluded,generic_nonmaintenance_ai_control,medium,Mining IIoT platform lacks specific maintenance asset,no,A multi-level IIOT platform for boosting mines digitalization,10.1016/j.future.2024.107501,Future Generation Computer Systems
paper-3250,included,excluded,generic_nonmaintenance_ai_control,high,AI control overview lacks asset maintenance use case,yes,Overview of implementation principles of artificial intelligence methods in industrial control systems,10.2478/jee-2025-0010,Journal of Electrical Engineering
paper-3252,included,excluded,generic_nonmaintenance_ai_control,high,Battery regrouping for second life not maintenance,no,A novel application-aware retired lithium-ion batteries regrouping approach to enable improved second life,10.1016/j.jclepro.2024.144526,Journal of Cleaner Production
paper-3325,included,excluded,generic_nonmaintenance_ai_control,high,Generic RUL diffusion model lacks asset case,yes,A generalized diffusion model for remaining useful life prediction with uncertainty,10.1007/s40747-024-01773-w,Complex and Intelligent Systems
paper-3367,included,excluded,generic_nonmaintenance_ai_control,high,Generic stochastic RUL model lacks asset case,no,Remaining useful life prediction based on exponential dispersion process with random drifts,10.1080/24754269.2025.2555043,Statistical Theory and Related Fields
paper-3370,included,excluded,generic_nonmaintenance_ai_control,high,WSN QoS prediction not physical asset maintenance,yes,Optimizing Wireless Sensor Networks with Machine Learning-Based Predictive Maintenance,10.18280/MMEP.120324,Mathematical Modelling of Engineering Problems
paper-3377,included,excluded,generic_nonmaintenance_ai_control,high,Generic degradation model lacks asset case,yes,A novel non-Markovian degradation model with global state dependency for prognostics,10.1080/13873954.2025.2597305,Mathematical and Computer Modelling of Dynamical Systems
paper-3411,included,excluded,generic_nonmaintenance_ai_control,medium,Circuit board segmentation for quality assurance,no,Enhanced Circuit Board Analysis: Infrared Image Segmentation Utilizing Markov Random Field (MRF) and Level Set Techniques,10.1002/eng2.70029,Engineering Reports
paper-3421,included,excluded,generic_nonmaintenance_ai_control,medium,PHM dataset tool lacks asset use case,no,PHMD: An easy data access tool for prognosis and health management datasets,10.1016/j.softx.2025.102039,SoftwareX
paper-3440,included,excluded,generic_nonmaintenance_ai_control,medium,Generic VAE method lacks asset maintenance case,no,Integrating imprecise data in generative models using interval-valued Variational Autoencoders,10.1016/j.inffus.2024.102659,Information Fusion
paper-3454,included,excluded,generic_nonmaintenance_ai_control,high,Generic RUL transfer model lacks asset case,yes,Remaining Useful Life Prediction based on Multisource Domain Transfer and Unsupervised Alignment,10.17531/ein/194116,Eksploatacja i Niezawodnosc
paper-3487,included,excluded,generic_nonmaintenance_ai_control,high,Generic time series reduction lacks asset use case,yes,Sampling approaches to reduce very frequent seasonal time series,10.1111/exsy.13690,Expert Systems
paper-3532,included,excluded,generic_nonmaintenance_ai_control,medium,Supply chain IoT study not equipment maintenance,yes,Productivity enhancement in Indian auto component manufacturing supply chain with IoT using neural networks,10.1590/0103-6513.20240047,Production
paper-3538,included,excluded,generic_nonmaintenance_ai_control,medium,Manufacturing quality twin not asset maintenance,yes,Generative and Predictive AI for digital twin systems in manufacturing,10.3389/frai.2025.1655470,Frontiers in Artificial Intelligence
paper-3560,included,excluded,generic_nonmaintenance_ai_control,medium,Product design sensors lack maintenance application,yes,Advancement in electromechanical systems for innovative product design,10.1504/IJICT.2025.150953,International Journal of Information and Communication Technology
paper-3585,included,excluded,generic_nonmaintenance_ai_control,medium,Sensor calibration method not maintenance decision,no,Development and Evaluation of a Calibration Methodology for Pressure-Resistive Sensors in a Specialized Diagnostic Laboratory,10.1109/ACCESS.2025.3563429,IEEE Access
paper-3589,included,excluded,generic_nonmaintenance_ai_control,high,Broad IoT review lacks asset maintenance focus,yes,"Internet of Things-Driven Safety and Efficiency in High-Risk Environments: Challenges, Applications, and Future Directions",10.14569/IJACSA.2025.0160563,International Journal of Advanced Computer Science and Applications
paper-3599,included,excluded,generic_nonmaintenance_ai_control,medium,Demand forecasting not asset condition maintenance,no,Novel Predictive Factors to Boost Short-Term Electricity Demand Forecasting Using Machine Learning Models,10.1109/ACCESS.2025.3600864,IEEE Access
paper-3627,included,excluded,generic_nonmaintenance_ai_control,medium,Studio workflow AI lacks clear equipment maintenance focus,yes,MANAGEMENT OF DIGITAL PRINTING STUDIOS WITH AI TOOLS,10.29121/shodhkosh.v6.i4s.2025.6834,ShodhKosh: Journal of Visual and Performing Arts
paper-3655,included,excluded,generic_nonmaintenance_ai_control,medium,Generic signal classification lacks asset use case,yes,Application of Bispectral Technology and Deep Learning for Feature Extraction and Classification,10.1155/vib/8119232,Shock and Vibration
paper-3701,included,excluded,generic_nonmaintenance_ai_control,medium,Sensor placement method lacks specific asset case,yes,ANALYSIS OF IMPACT OF MEMS ACCELEROMETER POSITIONING ON VIBRATION SENSOR PERFORMANCE,10.24425/mms.2025.155798,Metrology and Measurement Systems
paper-3723,included,excluded,generic_nonmaintenance_ai_control,high,Voltage disturbance detection lacks maintenance focus,no,Detection Framework for Few-Shot Voltage Disturbances in Power Systems Using Evaluation Learning,10.17775/CSEEJPES.2021.04870,CSEE Journal of Power and Energy Systems
paper-3787,included,excluded,generic_nonmaintenance_ai_control,medium,Conceptual Industry 5.0 framework lacks asset case,yes,A Framework for Integrating Vision Transformers with Digital Twins in Industry 5.0 Context,10.3390/machines13010036,Machines
paper-3895,included,excluded,generic_nonmaintenance_ai_control,medium,Generic AI benchmark on machine failure data,yes,COMPARATIVE ANALYSIS OF AI AND XAI TECHNIQUES ACROSS DIVERSE PERFORMANCE METRICS ON VARIED DATASETS,10.12732/ijam.v38i1s.29,International Journal of Applied Mathematics
