id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-1195,high,process_quality_control,review_exclude,Classifies in-control/out-of-control states in potato-chip frying; this is process QC more than asset maintenance.,A digital pheromone-based approach for in-control/out-of-control classification
paper-1225,medium,human_workforce_maintenance_ops,review_keep,"Evaluates maintenance crews and workforce KPIs rather than predicting asset condition, though tied to maintenance execution.",A data-driven framework for evaluating maintenance crews in fertilizer manufacturing units
paper-1227,medium,maintenance_not_predictive,review_exclude,Pipeline wax cleaning methods are maintenance actions; the predictive/IoT link is secondary rather than the core study.,DEVELOPMENT AND EVALUATION OF COMBINED METHODS FOR CLEANING PARAFFIN WAX DEPOSITS IN PIPELINES OIL AND GAS INDUSTRY; [Розробка й оцінка комбінованих методів очищення парафінових відкладень у трубопроводах нафтогазової промисловості]
paper-1234,high,civil_utility_infrastructure,review_exclude,"Sewer-network pipe failures and blockages are civil water infrastructure, a strict-scope exclusion.",Integrating dynamic features into machine learning models for predicting sewer network failures: a Random Forest approach
paper-1235,low,inspection_enabler_only,review_keep,"Analog-gauge computer vision supports inspection, but does not itself model asset degradation or faults.",Robust Analog Gauge Reading via Virtual Point-Based Geometric Rectification and P2-YOLO-Pose
paper-1246,medium,sensor_enabler_only,review_keep,FBG torque/speed sensing support-structure design; predictive maintenance is contextual rather than demonstrated.,FBG-instrumented FDM support structure design guidelines and execution for torque and angular speed measurements in aerospace applications
paper-1255,high,energy_system_viability_not_pdm,review_exclude,"Second-life battery PV-storage viability for rural heating; no condition monitoring, RUL, or maintenance decision is central.",On the Viability of Reused Vehicle Li-Ion Batteries as PV Storage for High-Altitude Rural Areas: Case Study in Cusco-Peru
paper-1272,medium,maintenance_logistics_no_abstract,review_keep,"Spare-part demand forecasting may support maintenance logistics, but no abstract confirms a physical-asset maintenance link.",A machine learning framework for long-term forecasting of spare part demand in end-of-life product scenarios
paper-1278,high,state_of_charge_not_health,review_exclude,"End-of-discharge time prognosis is operational battery depletion/SOC forecasting, not degradation, SOH, or RUL maintenance.",Quasi-Instantaneous Battery End-of-Discharge Time Prognosis with Non-Stationary Autoregressive Exogenous Inputs
paper-1287,high,lab_management_process_control,review_exclude,"Smart printing lab framework emphasizes workflow, defects, energy and management; the maintenance link is generic.",SMART PRINTING LABS: AI-ENABLED MANAGEMENT SYSTEMS
paper-1297,high,process_improvement_quality_yield,review_exclude,"Roll-to-roll printing waste/yield DMAIC case; condition-based maintenance is only one intervention, not primary PdM.",Reducing waste and increasing yield in roll-to-roll printing: a case study with global scalability
paper-1332,high,sensor_manufacturing_not_pdm,review_exclude,"Thermocouple fabrication/calibration for UAV temperature measurement; no fault diagnosis, prognosis, or maintenance decision.",Improved nicrnisi thin-film thermocouple manufacturing process enables accurate temperature measurement of UAV engines
paper-1341,medium,process_monitoring_weak_maintenance,review_keep,Acoustic virtual sensors monitor process states/anomalies; predictive-maintenance application is possible but indirect.,Acoustic virtual sensors for industrial process monitoring using non-negative matrix factorization
paper-1354,medium,power_quality_operations,review_exclude,Focuses on maintaining power quality/grid operation rather than asset degradation or equipment health.,Machine Learning for Predictive Power Quality Maintenance in Modern Power Grids
paper-1359,medium,generic_digital_twin_architecture,review_keep,"Generic digital-twin framework; packaging-line validation and PdM mention exist, but the asset-health use case is thin.",Design and validation of a flexible framework for developing generic digital twins for Industry 4.0
paper-1378,medium,grid_planning_standards,review_exclude,Focuses on DT standards and grid-planning optimization; maintenance/fault prediction is secondary.,Advancing Modern Power Grid Planning Through Digital Twins: Standards Analysis and Implementation
paper-1388,medium,generic_self_diagnosis_process_performance,review_keep,CPS self-diagnosis architecture for production performance; asset maintenance target is not well specified.,"Self-diagnosis service to support analysis of production performance, monitoring and optimisation activities"
paper-1396,medium,broad_energy_iot_operations,review_exclude,Broad IoT renewable-energy performance/energy-management study; PdM is only one of several operational claims.,IoT-Enabled Technologies for Advancing Renewable Energy Systems
paper-1406,medium,operational_forecasting_not_degradation,review_keep,Forecasts locomotive line voltage for protective operation; asset health/degradation link is indirect despite downtime motivation.,Comparison of Neuro-Fuzzy and Neural Network Techniques for Estimating the Line Voltage of 8E Electrical Locomotives
paper-1421,high,environmental_monitoring_not_asset,review_exclude,"Predicts indoor air quality in labs; maintenance is IAQ/ventilation management, not clearly asset condition.",A Maintenance 4.0 Framework for Proactive Indoor Air Quality Management in Laboratory Environments
paper-1428,medium,material_corrosion_unclear_asset,review_keep,Corrosion staging from microscopy on ex-service images; the specific critical asset and maintenance decision are generic.,Unsupervised machine learning for automated corrosion staging using optical microscopy images
paper-1433,medium,generic_anomaly_benchmark,review_keep,Training-free anomaly detection on TEP/SKAB benchmarks; sensor validation/fault detection without a specific maintainable asset.,Adaptive Statistical Windowing for Anomaly Detection in Industrial Sensor Signals
paper-1434,low,iot_sensor_battery_maintenance,review_keep,"Battery-life model for LoRaWAN environmental sensors; relevant mainly to sensor-node replacement, peripheral to equipment PdM.",Predictive Battery Life Modeling for LoRaWAN Sensors Using Real-World Deployment Data
paper-1435,medium,lab_method_enabler_only,review_keep,Numerical microfluidic oil-particle enrichment method; enables oil condition monitoring but lacks an asset case.,Numerical Study on Oil Particle Enrichment in a Rectangular Microfluidic Channel Based on Acoustic Standing Waves
paper-1439,medium,maintenance_logistics_not_asset_health,review_keep,Repair-rate estimation in PBL/logistics supports maintenance planning but not asset condition prediction.,Neural Network-Based Optimization of Repair Rate Estimation in Performance-Based Logistics Systems
paper-1443,medium,commissioning_testing_not_pdm,review_exclude,Site-acceptance testing/quality control for newly installed offshore wind cables; CBM value is secondary.,Technical Benchmarking of Site Acceptance Testing Methods of Offshore Wind Farm HVAC Power Cables
paper-1457,high,civil_rail_infrastructure,review_exclude,Railway defect inspection with LLM/DT likely concerns rail infrastructure/visual defects rather than vehicles or equipment.,DefectTwin: When LLM Meets Digital Twin for Railway Defect Inspection
paper-1458,medium,generic_iiot_no_asset,review_keep,Generic IIoT PdM framework for streaming data; asset type/use case is unspecified and simulation-heavy.,Optimized predictive maintenance for streaming data in industrial IoT networks using deep reinforcement learning and ensemble techniques
paper-1474,high,generic_iiot_decisions_unclear_asset,review_exclude,Industrial IoT decisions/anomaly detection on environmental telemetry; asset or failure target is unclear.,NeuroFusionNet Adaptive Deep Learning for Intelligent Real-Time Industrial IoT Decisions
paper-1494,medium,monitoring_infrastructure_enabler,review_keep,Energy harvester powers power-line monitoring nodes; it is an enabling device rather than asset-health prediction.,A Hybrid Piezoelectric and Photovoltaic Energy Harvester for Power Line Monitoring
