id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-2710,medium,process_safety_monitoring,review_exclude,Combustible-gas detection predicts gas concentrations/leaks for safety; physical asset fault or repair target is unclear.,A Wireless Sensor Network-Based Combustible Gas Detection System Using PSO-DBO-Optimized BP Neural Network
paper-2711,medium,grid_reliability_operations,review_exclude,Theoretical framework for grid automation effects on SAIDI/SAIFI and outages; no specific asset condition or maintenance decision.,Beyond Traditional Grid: A Novel Quantitative Framework for Assessing Automation’s Impact on System Average Interruption Duration Index and System Average Interruption Frequency Index
paper-2716,medium,energy_management_unclear_maintenance,review_exclude,Greenhouse digital twin mainly manages energy use and agricultural environment; equipment maintenance decision is implicit at best.,Application of the Digital Twin for Condition Monitoring and Energy Management of Electrical Loads in Greenhouses
paper-2730,low,implementation_management,review_keep,Interview/case-study on PdM adoption barriers and success factors; relevant to PdM but not an equipment prediction paper.,"Unlocking the Potential of Predictive Maintenance for Intelligent Manufacturing: a Case Study On Potentials, Barriers, and Critical Success Factors"
paper-2734,high,civil_infrastructure,review_exclude,Water-distribution-network leak/burst prediction for urban utility pipes; civil infrastructure rather than in-scope industrial pipeline/equipment.,Explainable deep learning models for predicting water pipe failures
paper-2736,medium,software_it_hardware,review_keep,Prescriptive maintenance for IT&C equipment using sensor data and computer logs; sits near the IT service/hardware reliability boundary.,Analytical Research Regarding the Implementation of a Prescriptive Maintenance System Applied to IT&C Equipment
paper-2755,high,civil_infrastructure,review_exclude,Urban water distribution pipe failure prediction using cross-infrastructure data; civil utility infrastructure outside strict equipment PdM.,PREDICTING WATER DISTRIBUTION PIPE FAILURES USING MACHINE LEARNING AND CROSS-INFRASTRUCTURE DATA; [NAPOVED OKVAR VODOVODNIH CEVI S STROJNIM UČENJEM IN PODATKI O SOSEDNJI INFRASTRUKTURI]
paper-2769,high,civil_infrastructure,review_exclude,"Lifecycle vulnerability and predictive maintenance planning for urban water utilities; buried civil assets and planning, not equipment PdM.",Lifecycle Vulnerability in Urban Water Infrastructure for Predictive Maintenance Planning
paper-2776,low,generic_iot_data_governance,review_keep,Generic IoT/blockchain data-quality framework with broad industrial-chain title; PdM relevance comes mainly from benchmark datasets.,Application of IoT and blockchain technology in the integration of innovation and industrial chains in high-tech manufacturing
paper-2794,medium,maintenance_workflow_not_predictive,review_exclude,"Personalized digital work instructions for maintenance workers; predictive maintenance is only a possible integration, not the study target.",Personalizing Industrial Maintenance Operation Using the Model of Hierarchical Complexity
paper-2830,high,civil_infrastructure,review_exclude,Water-distribution pipe life prognosis and renewal planning; civil utility network rather than industrial/electromechanical asset maintenance.,Data-driven approaches for pipe life prognosis in water distribution networks: the Barcelona water distribution network case study
paper-2859,medium,generic_structural_health,review_keep,Generic plate-like structure fatigue-crack SHM/RUL on lab specimens; concrete asset class and maintenance context are ambiguous.,An advanced nonlinear framework for early detection and prognosis of fatigue cracks in plate-like structures
paper-2861,low,human_factors_management,review_keep,Human-autonomy trust experiment around maritime maintenance scheduling; weak asset-condition content but maintenance decision context is explicit.,Effects of agent transparency and situation criticality upon human-autonomy trust and risk perception in decision-making
paper-2869,high,software_it_hardware,review_exclude,Data-center server memory failure prediction; close to IT hardware/service reliability rather than engineered-asset predictive maintenance.,Research on memory failure prediction based on ensemble learning
paper-2881,low,process_safety_monitoring,review_keep,"Gas-leak localization is framed as industrial/environmental safety; can support inspection of vessels, pipelines, valves, and connectors.",Ultrasonic Beamforming-Based Visual Localisation of Minor and Multiple Gas Leaks Using a Microelectromechanical System (MEMS) Microphone Array
paper-2882,medium,generic_ndt_unclear_asset,review_keep,Carbon-steel eddy-current defect reconstruction for NDT/SHM; RUL motivation exists but no concrete maintained asset is specified.,Complex-Valued CNN-Based Defect Reconstruction of Carbon Steel from Eddy Current Signals
paper-2888,low,data_quality_supporting_monitoring,review_keep,Sensor-data imputation for reactor status monitoring; maintenance or fault decision is indirect through improved monitoring data.,Sensor Data Imputation for Industry Reactor Based on Temporal Decomposition
paper-2894,medium,process_control_safety,review_exclude,Combustion/flame state diagnosis targets process safety/control states rather than equipment degradation or maintenance needs.,Research on Combustion State System Diagnosis Based on Voiceprint Technology
paper-2917,high,software_it_hardware,review_exclude,SSD failure prediction for real-time cloud services/data availability; IT storage reliability boundary case outside strict equipment PdM.,Solid-State Drive Failure Prediction Using Anomaly Detection
paper-2938,medium,vehicle_safety_monitoring,review_exclude,"Tire-pressure-monitoring system performance study; predictive maintenance is only a future integration, not degradation or failure prediction.",Developing smart tire pressure monitoring system: A performance evaluation of ESP32-C3 with ESP-NOW communication
paper-2943,high,civil_infrastructure,review_exclude,Urban water distribution pipe failure risk using road-pipeline topology; civil infrastructure rather than in-scope equipment PdM.,Predicting Water Pipe Failures with Graph Neural Networks: Integrating Coupled Road and Pipeline Features
paper-2946,medium,generic_control_fault_estimation,review_exclude,Simulation-only actuator fault estimation for abstract nonlinear systems; maintenance is motivational with no real asset/use case.,Actuator Fault Estimation for Distributed Interconnected Lipschitz Nonlinear Systems with Direct Feedthrough Inputs
paper-2975,high,process_control_safety,review_exclude,Flash-burner flame monitoring characterizes combustion quality for process control; PdM is only a downstream implication.,Development and Application of an Optoelectronic Sensor for Flame Monitoring of a Copper Concentrate Flash Burner
