removed_at,corpus_id,pdf_path,strict_reason_category,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:24:34,paper-1831,extraction_papers\paper-1831_investigation_of_risk_aware_dynamic_accident_monitoring_and_early_warning_technologies_for_c.pdf,other_nonmaintenance,other_nonmaintenance,medium,Chemical accident warning not maintenance,Investigation of risk-aware dynamic accident monitoring and early warning technologies for chemical production processes,10.1038/s41598-025-93880-y
2026-06-11T14:24:34,paper-1866,extraction_papers\paper-1866_novel_method_for_predicting_the_cracks_of_oxide_scales_during_high_temperature_oxidation_of.pdf,generic_structural_material,other_nonmaintenance,high,Oxide scale material failure without maintenance use,Novel method for predicting the cracks of oxide scales during high temperature oxidation of metals and alloys by using machine learning,10.1038/s41598-025-91449-3
2026-06-11T14:24:34,paper-1882,extraction_papers\paper-1882_study_on_power_frequency_breakdown_and_decomposition_characteristics_of_sf6_n2_gas_mixture.pdf,generic_structural_material,other_nonmaintenance,high,Insulation gas breakdown study lacks maintenance use,Study on Power Frequency Breakdown and Decomposition Characteristics of SF6/N2 Gas Mixture,10.3390/en18215814
2026-06-11T14:24:34,paper-1886,extraction_papers\paper-1886_acoustic_emission_time_series_for_structural_failure_prediction_a_study_on_corso_grosseto_vi.pdf,generic_structural_material,other_nonmaintenance,medium,Lab bridge girder failure tests lack maintenance,Acoustic Emission Time Series for Structural Failure Prediction: A Study on Corso Grosseto Viaduct Girders,10.1007/s11340-025-01223-9
2026-06-11T14:24:34,paper-1893,extraction_papers\paper-1893_automated_nonlinear_acoustics_system_for_real_time_monitoring_of_cement_based_composites.pdf,generic_structural_material,other_nonmaintenance,medium,Cement material evaluation not asset maintenance,Automated Nonlinear Acoustics System for Real-Time Monitoring of Cement-Based Composites,10.3390/s25216655
2026-06-11T14:24:34,paper-1932,extraction_papers\paper-1932_vibration_analysis_of_cantilever_beams_using_deep_learning_enhanced_photodiode_non_uniformit.pdf,generic_structural_material,other_nonmaintenance,medium,Generic beam vibration method lacks maintenance asset,Vibration Analysis of Cantilever Beams Using Deep Learning Enhanced Photodiode Non-Uniformity,10.14445/23488549/IJECE-V12I12P115
2026-06-11T14:24:34,paper-1977,extraction_papers\paper-1977_prediction_of_coating_degradation_based_on_environmental_factors_physical_property_corrosion.pdf,generic_structural_material,other_nonmaintenance,high,Coating material degradation without maintenance decision,Prediction of coating degradation based on “Environmental Factors–Physical Property–Corrosion Failure” two-stage machine learning,10.1038/s41529-025-00614-6
2026-06-11T14:24:34,paper-2114,extraction_papers\paper-2114_unique_nanowire_assemblies_enables_superior_anti_interference_capability_for_accurate_struct.pdf,generic_structural_material,other_nonmaintenance,high,E skin crack sensing not maintenance focused,Unique nanowire assemblies enables superior anti-interference capability for accurate structural failure prediction and soft robotics,10.26599/NR.2025.94906990
2026-06-11T14:24:34,paper-2124,extraction_papers\paper-2124_the_iot_ioe_integrated_security_safety_system_of_pompeii_archeological_park.pdf,heritage_culture_building,other_nonmaintenance,high,Cultural heritage security conservation system,The IoT/IoE Integrated Security & Safety System of Pompeii Archeological Park,10.3390/app15137359
2026-06-11T14:24:34,paper-2214,extraction_papers\paper-2214_hysteresis_model_for_flexure_shear_critical_circular_reinforced_concrete_columns_considering.pdf,generic_structural_material,other_nonmaintenance,high,RC column seismic degradation model only,Hysteresis Model for Flexure-Shear Critical Circular Reinforced Concrete Columns Considering Cyclic Degradation,10.3390/buildings15142445
2026-06-11T14:24:34,paper-2249,extraction_papers\paper-2249_implementing_digital_twins_for_real_time_library_operations_monitoring.pdf,heritage_culture_building,other_nonmaintenance,high,Library facility digital twin not equipment maintenance,Implementing Digital Twins for Real-Time Library Operations Monitoring,10.51983/ijiss-2025.IJISS.15.3.08
2026-06-11T14:24:34,paper-2251,extraction_papers\paper-2251_development_of_an_artificial_neural_network_based_tool_for_predicting_failures_in_composite.pdf,generic_structural_material,other_nonmaintenance,high,Composite laminate structural design failure prediction,Development of an Artificial Neural Network-Based Tool for Predicting Failures in Composite Laminate Structures,10.3390/biomimetics10080520
2026-06-11T14:24:34,paper-2294,extraction_papers\paper-2294_interpretable_self_supervised_learning_for_fault_identification_in_printed_circuit_board_ass.pdf,other_nonmaintenance,other_nonmaintenance,medium,Assembly quality testing not maintenance,Interpretable Self-Supervised Learning for Fault Identification in Printed Circuit Board Assembly Testing,10.3390/app151810080
2026-06-11T14:24:34,paper-2313,extraction_papers\paper-2313_machine_learning_based_failure_prediction_in_concrete_slabs_and_cubes_under_impact_loading.pdf,generic_structural_material,other_nonmaintenance,high,Concrete impact failure modeling lacks maintenance,Machine Learning-Based Failure Prediction in Concrete Slabs and Cubes Under Impact Loading,10.1002/eng2.70313
2026-06-11T14:24:34,paper-2364,extraction_papers\paper-2364_automated_building_monitoring_system_based_on_reflectorless_measurements_a_case_study_of_the.pdf,heritage_culture_building,other_nonmaintenance,high,Building deformation monitoring not equipment maintenance,Automated Building Monitoring System Based on Reflectorless Measurements: A Case Study of the IMSGeo System,10.3390/s25175327
2026-06-11T14:24:34,paper-2588,extraction_papers\paper-2588_improving_oxidation_stability_and_insulation_performance_of_plant_based_oils_for_sustainable.pdf,generic_structural_material,other_nonmaintenance,medium,Transformer oil material aging study,Improving Oxidation Stability and Insulation Performance of Plant-Based Oils for Sustainable Power Transformers,10.3390/physchem5020023
2026-06-11T14:24:34,paper-2604,extraction_papers\paper-2604_study_on_hydrogen_embrittlement_behavior_of_x65_pipeline_steel_in_gaseous_hydrogen_environme.pdf,generic_structural_material,other_nonmaintenance,high,Pipeline steel embrittlement mechanics,Study on Hydrogen Embrittlement Behavior of X65 Pipeline Steel in Gaseous Hydrogen Environment,10.3390/met15060596
2026-06-11T14:24:34,paper-2671,extraction_papers\paper-2671_operation_at_reduced_atmospheric_pressure_and_concept_of_reliability_redundancy_for_optimize.pdf,generic_structural_material,other_nonmaintenance,high,Insulation design reliability study,Operation at Reduced Atmospheric Pressure and Concept of Reliability Redundancy for Optimized Design of Insulation Systems,10.3390/en18092371
2026-06-11T14:24:34,paper-2915,extraction_papers\paper-2915_monitoring_of_high_speed_railway_ground_deformation_using_interferometric_synthetic_aperture.pdf,geotechnical_natural_hazard,environment_natural_system,high,Railway ground subsidence monitoring,Monitoring of High-Speed Railway Ground Deformation Using Interferometric Synthetic Aperture Radar Image Analysis,10.3390/app15084318
2026-06-11T14:24:34,paper-2953,extraction_papers\paper-2953_the_impact_of_construction_modifications_to_a_1930s_apartment_on_the_life_cycle.pdf,heritage_culture_building,other_nonmaintenance,high,Apartment lifecycle energy study,THE IMPACT OF CONSTRUCTION MODIFICATIONS TO A 1930S APARTMENT ON THE LIFE CYCLE,10.2478/cee-2025-0048
2026-06-11T14:24:34,paper-2960,extraction_papers\paper-2960_developing_a_framework_for_building_condition_assessment_of_schools_in_osijek_baranja_county.pdf,heritage_culture_building,other_nonmaintenance,high,School building condition assessment,Developing a Framework for Building Condition Assessment of Schools in Osijek-Baranja County,10.3390/buildings15091511
2026-06-11T14:24:34,paper-2965,extraction_papers\paper-2965_computer_vision_based_monitoring_of_bridge_structural_vibration_during_incremental_launching.pdf,generic_structural_material,other_nonmaintenance,high,Bridge construction vibration monitoring,Computer Vision-Based Monitoring of Bridge Structural Vibration During Incremental Launching Construction,10.3390/buildings15071139
2026-06-11T14:24:34,paper-3007,extraction_papers\paper-3007_optimizing_facilities_management_through_artificial_intelligence_and_digital_twin_technology.pdf,heritage_culture_building,other_nonmaintenance,high,Generic facility management not equipment maintenance,Optimizing Facilities Management Through Artificial Intelligence and Digital Twin Technology in Mega-Facilities,10.3390/su17051826
2026-06-11T14:24:34,paper-3139,extraction_papers\paper-3139_digital_transformation_in_african_heritage_preservation_a_digital_twin_framework_for_a_susta.pdf,heritage_culture_building,other_nonmaintenance,high,Heritage preservation not technical equipment maintenance,"Digital Transformation in African Heritage Preservation: A Digital Twin Framework for a Sustainable Bab Al-Mansour in Meknes City, Morocco",10.3390/smartcities8010029
2026-06-11T14:24:34,paper-3199,extraction_papers\paper-3199_predicting_railway_slope_failure_under_heavy_rainfall_using_the_soil_moisture_extended_cohes.pdf,geotechnical_natural_hazard,environment_natural_system,high,Rainfall slope failure geotechnical hazard,Predicting Railway Slope Failure Under Heavy Rainfall Using the Soil Moisture Extended Cohesive Damage Element Method,10.3390/geohazards6010014
2026-06-11T14:24:34,paper-3226,extraction_papers\paper-3226_a_computational_approach_to_integrate_three_dimensional_peridynamics_and_two_dimensional_hig.pdf,generic_structural_material,other_nonmaintenance,high,Fracture mechanics method no maintenance use case,A computational approach to integrate three-dimensional peridynamics and two-dimensional higher-order classical elasticity theory for fracture analysis,10.1007/s00366-024-02001-2
2026-06-11T14:24:34,paper-3375,extraction_papers\paper-3375_health_monitoring_of_ground_support_system_through_point_cloud_processing_rockbolts_extracti.pdf,geotechnical_natural_hazard,environment_natural_system,high,Mine ground support geotechnical monitoring,Health monitoring of ground support system through point-cloud processing: rockbolts extraction phase,10.1007/s13198-025-02758-9
2026-06-11T14:24:34,paper-3391,extraction_papers\paper-3391_reliability_analysis_of_complex_pcb_assemblies_under_temperature_cycling_and_random_vibratio.pdf,generic_structural_material,other_nonmaintenance,medium,PCB reliability testing lacks maintenance decision,Reliability Analysis of Complex PCB Assemblies Under Temperature Cycling and Random Vibration,10.3390/mi16020212
2026-06-11T14:24:34,paper-3625,extraction_papers\paper-3625_sustainable_emergency_rescue_products_design_and_monitoring_techniques_for_preventing_and_mi.pdf,heritage_culture_building,other_nonmaintenance,high,Construction failure monitoring lacks maintenance focus,Sustainable Emergency Rescue Products: Design and Monitoring Techniques for Preventing and Mitigating Construction Failures in Unforeseen Circumstances,10.32604/sdhm.2025.063890
2026-06-11T14:24:34,paper-3678,extraction_papers\paper-3678_integrating_knowledge_graphs_and_digital_twins_for_heritage_building_conservation.pdf,heritage_culture_building,other_nonmaintenance,high,Heritage building conservation not equipment maintenance,Integrating Knowledge Graphs and Digital Twins for Heritage Building Conservation,10.3390/buildings15010016
2026-06-11T14:24:34,paper-3774,extraction_papers\paper-3774_signal_sampling_criteria_and_application_of_structural_monitoring_based_on_amplitude_analysi.pdf,generic_structural_material,other_nonmaintenance,high,Generic structural sampling method lacks maintenance case,Signal Sampling criteria and application of structural monitoring based on amplitude analysis,10.21595/jve.2025.24531
2026-06-11T14:24:34,paper-3798,extraction_papers\paper-3798_development_of_a_filtered_inverse_velocity_method_analyser_a_comparative_study_of_smoothing.pdf,geotechnical_natural_hazard,environment_natural_system,high,Mine slope failure prediction,Development of a filtered inverse velocity method analyser: A comparative study of smoothing filters in surface mines for optimisation of slope failure predictions,10.17159/2411-9717/3709/2025
2026-06-11T14:24:34,paper-3804,extraction_papers\paper-3804_prediction_of_surrounding_rock_deformation_in_a_highway_tunnel_using_an_lstm_rf_hybrid_model.pdf,geotechnical_natural_hazard,environment_natural_system,high,Tunnel construction rock deformation prediction,Prediction of Surrounding Rock Deformation in a Highway Tunnel Using an LSTM-RF Hybrid Model,10.1155/je/6652758
2026-06-11T14:24:34,paper-3976,extraction_papers\paper-3976_graphite_enhanced_gnp_pva_composite_piezoresistors_with_in_house_data_collection_and_predict.pdf,generic_structural_material,other_nonmaintenance,high,Sensor material SHM lacks asset maintenance case,Graphite-enhanced GNP/PVA composite piezoresistors with in-house data collection and prediction algorithm for structural health monitoring,10.1177/00219983251397501
