corpus_id,old_decision,new_decision,strict_reason_category,mapped_screening_reason_category,strict_confidence,strict_notes,Title,DOI,Source title
paper-1119,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Rock fracture precursor monitoring is geotechnical,Image processing based infrared precursor recognition for NPR cable anchored rock with inclination angles,10.1016/j.jrmge.2026.01.007,Journal of Rock Mechanics and Geotechnical Engineering
paper-1135,included,excluded,generic_structural_material,other_nonmaintenance,medium,Insulation nanocomposite aging classification lacks maintenance decision,Classification of gamma-irradiated aluminum-epoxy nanocomposites utilizing laser-induced breakdown spectroscopy and machine learning techniques,10.1088/2632-959X/ae0b9a,Nano Express
paper-1224,included,excluded,generic_structural_material,other_nonmaintenance,medium,Printed electronics ink aging lacks asset maintenance use case,Thermal aging of conductive and dielectric inks for flexible printed electronics: Toward reliable strain gauge application,10.1016/j.mtcomm.2025.114346,Materials Today Communications
paper-1280,included,excluded,generic_structural_material,other_nonmaintenance,high,Pipe erosion model lacks maintenance use-case,Intelligent Modeling of Erosion-Corrosion in Polymer Composites: Integrating Fuzzy Logic and Machine Learning,10.3390/polym18010009,Polymers
paper-1315,included,excluded,generic_structural_material,other_nonmaintenance,high,Generic concrete crack segmentation only,CONCRETE CRACK SEGMENTATION USING U-NET BASED MODELS WITH VARIOUS PRE-TRAINED BACKBONES,10.28919/cmbn/9738,Communications in Mathematical Biology and Neuroscience
paper-1405,included,excluded,generic_structural_material,other_nonmaintenance,medium,Engine bearing simulation for design durability,A Digital Engineering Framework for Piston Pin Bearings via Multi-Physics Thermo-Elasto-Hydrodynamic Modeling,10.3390/systems14010077,Systems
paper-1420,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Seismic fragility not maintenance,Seismic fragility analysis for prestressed concrete containments of nuclear power plants based on stripe-based approach,10.1016/j.soildyn.2025.109804,Soil Dynamics and Earthquake Engineering
paper-1447,included,excluded,other_nonmaintenance,other_nonmaintenance,medium,Nuclear process monitoring not maintenance,Using machine learning to automate seismoacoustic process monitoring of a nuclear pyroprocessing element chopper,10.3389/fenrg.2026.1714056,Frontiers in Energy Research
paper-1460,included,excluded,generic_structural_material,other_nonmaintenance,high,Tribology wear tester no maintenance decision,Data-Driven AI Model for Time-Based Prediction of Friction and Wear in Lubricated Tribosystems,10.3390/lubricants14010022,Lubricants
paper-1478,included,excluded,generic_structural_material,other_nonmaintenance,high,Graphene sensor material aging study,Influence of Temperature on the Reliability of Graphene-Based Ozone Sensors,10.1002/smll.202510466,Small
paper-1479,included,excluded,generic_structural_material,other_nonmaintenance,high,Carbon fiber material defect inspection only,Visible–infrared hyperspectral data fusion and machine learning-based automated defect detection in carbon fiber materials,10.1007/s12596-026-03100-7,Journal of Optics (India)
paper-1482,included,excluded,heritage_culture_building,other_nonmaintenance,medium,Construction maintenance framework no equipment,Implementation of machine learning technologies in construction maintenance: A strategic analysis,10.1016/j.mlwa.2025.100731,Machine Learning with Applications
paper-1536,included,excluded,generic_structural_material,other_nonmaintenance,medium,Steering clearance FEA not maintenance,Finite Element Analysis of an Automotive Steering System Considering Spherical Joint Clearance,10.3390/vibration8040080,Vibration
paper-1539,included,excluded,generic_structural_material,other_nonmaintenance,high,Coating corrosion mechanism study,Failure mechanisms and corrosion behavior of epoxy-based protective coatings prepared on 20# steel exposed to cooling water,10.1016/j.ijoes.2025.101207,International Journal of Electrochemical Science 
paper-1553,included,excluded,generic_structural_material,other_nonmaintenance,high,TBC corrosion mechanism study,Early-stage mechanistic insights into vanadium-induced hot corrosion of yttria-stabilized zirconia thermal barrier coatings,10.1016/j.pes.2025.100157,Progress in Engineering Science
paper-1557,included,excluded,generic_structural_material,other_nonmaintenance,high,RC slab shear prediction only,Automated ensemble learning for shear strength prediction in marine reinforced concrete slabs: A self-optimizing stacked framework,10.1016/j.cscm.2025.e05243,Case Studies in Construction Materials
paper-1573,included,excluded,heritage_culture_building,other_nonmaintenance,high,Smart building control not equipment maintenance,"Energy and Water Management in Smart Buildings Using Spiking Neural Networks: A Low-Power, Event-Driven Approach for Adaptive Control and Anomaly Detection",10.3390/en18195089,Energies
paper-1585,included,excluded,generic_structural_material,other_nonmaintenance,medium,Generic concrete ASR sensor study,Electrochemical monitoring of alkali-silica reaction using carbon nanomaterial-integrated cementitious sensors,10.1016/j.microc.2025.115410,Microchemical Journal
paper-1596,included,excluded,heritage_culture_building,other_nonmaintenance,high,Cultural heritage conservation excluded,AI-Based Proactive Maintenance for Cultural Heritage Conservation: A Hybrid Neuro-Fuzzy Approach,10.3390/fi17110510,Future Internet
paper-1715,included,excluded,generic_structural_material,other_nonmaintenance,high,Pavement skid prediction lacks maintenance purpose,Prediction of Skid Resistance of Asphalt Pavements on Highways Based on Machine Learning: The Impact of Activation Functions and Optimizer Selection,10.3390/sym17101708,Symmetry
paper-1727,included,excluded,generic_structural_material,other_nonmaintenance,high,Welded plate crack propagation only,Predicting fast crack propagation in welded steel plates with random flaws using Recurrent Neural Networks,10.1016/j.aei.2025.103671,Advanced Engineering Informatics
paper-1741,included,excluded,heritage_culture_building,other_nonmaintenance,high,Facility BIM building maintenance excluded,Enhancing facility maintenance using knowledge-based BIM systems,10.1038/s41598-025-30057-7,Scientific Reports
paper-1758,included,excluded,generic_structural_material,other_nonmaintenance,medium,Insulator heat inverse problem not maintenance,Linear Heat Diffusion Inverse Problem Solution with Spatio-Temporal Constraints for 3D Finite Element Models,10.3390/computation13110255,Computation
paper-1779,included,excluded,heritage_culture_building,other_nonmaintenance,high,Smart building DT excluded,Digital Twin-Enabled Framework for Intelligent Monitoring and Anomaly Detection in Multi-Zone Building Systems,10.3390/buildings15224030,Buildings
paper-1831,included,excluded,other_nonmaintenance,other_nonmaintenance,medium,Chemical accident warning not maintenance,Investigation of risk-aware dynamic accident monitoring and early warning technologies for chemical production processes,10.1038/s41598-025-93880-y,Scientific Reports
paper-1855,included,excluded,generic_structural_material,other_nonmaintenance,high,Alloy fatigue material study only,Influence of prior corrosion on fatigue behaviour in a simulated recycled 6082 Al-alloy,10.1016/j.mtla.2025.102556,Materialia
paper-1866,included,excluded,generic_structural_material,other_nonmaintenance,high,Oxide scale material failure without maintenance use,Novel method for predicting the cracks of oxide scales during high temperature oxidation of metals and alloys by using machine learning,10.1038/s41598-025-91449-3,Scientific Reports
paper-1882,included,excluded,generic_structural_material,other_nonmaintenance,high,Insulation gas breakdown study lacks maintenance use,Study on Power Frequency Breakdown and Decomposition Characteristics of SF6/N2 Gas Mixture,10.3390/en18215814,Energies
paper-1886,included,excluded,generic_structural_material,other_nonmaintenance,medium,Lab bridge girder failure tests lack maintenance,Acoustic Emission Time Series for Structural Failure Prediction: A Study on Corso Grosseto Viaduct Girders,10.1007/s11340-025-01223-9,Experimental Mechanics
paper-1893,included,excluded,generic_structural_material,other_nonmaintenance,medium,Cement material evaluation not asset maintenance,Automated Nonlinear Acoustics System for Real-Time Monitoring of Cement-Based Composites,10.3390/s25216655,Sensors
paper-1924,included,excluded,generic_structural_material,other_nonmaintenance,high,Creep failure in model material only,Universal characteristics of local strain fields for creep failure prediction,10.1016/j.ijmecsci.2025.110612,International Journal of Mechanical Sciences
paper-1932,included,excluded,generic_structural_material,other_nonmaintenance,medium,Generic beam vibration method lacks maintenance asset,Vibration Analysis of Cantilever Beams Using Deep Learning Enhanced Photodiode Non-Uniformity,10.14445/23488549/IJECE-V12I12P115,SSRG International Journal of Electronics and Communication Engineering
paper-1977,included,excluded,generic_structural_material,other_nonmaintenance,high,Coating material degradation without maintenance decision,Prediction of coating degradation based on “Environmental Factors–Physical Property–Corrosion Failure” two-stage machine learning,10.1038/s41529-025-00614-6,npj Materials Degradation
paper-2114,included,excluded,generic_structural_material,other_nonmaintenance,high,E skin crack sensing not maintenance focused,Unique nanowire assemblies enables superior anti-interference capability for accurate structural failure prediction and soft robotics,10.26599/NR.2025.94906990,Nano Research
paper-2124,included,excluded,heritage_culture_building,other_nonmaintenance,high,Cultural heritage security conservation system,The IoT/IoE Integrated Security & Safety System of Pompeii Archeological Park,10.3390/app15137359,Applied Sciences (Switzerland)
paper-2141,included,excluded,generic_structural_material,other_nonmaintenance,high,RC beam debonding structural failure only,Prediction of intermediate crack debonding failure in FRP-strengthened reinforced concrete beams based on ensemble learning,10.1063/5.0289806,AIP Advances
paper-2202,included,excluded,generic_structural_material,other_nonmaintenance,medium,Battery electrode failure mechanics lacks maintenance use,Probabilistic interface failure model of composite electrodes in all-solid-state batteries under mechanical-diffusion coupling,10.1016/j.taml.2025.100593,Theoretical and Applied Mechanics Letters
paper-2214,included,excluded,generic_structural_material,other_nonmaintenance,high,RC column seismic degradation model only,Hysteresis Model for Flexure-Shear Critical Circular Reinforced Concrete Columns Considering Cyclic Degradation,10.3390/buildings15142445,Buildings
paper-2249,included,excluded,heritage_culture_building,other_nonmaintenance,high,Library facility digital twin not equipment maintenance,Implementing Digital Twins for Real-Time Library Operations Monitoring,10.51983/ijiss-2025.IJISS.15.3.08,Indian Journal of Information Sources and Services
paper-2251,included,excluded,generic_structural_material,other_nonmaintenance,high,Composite laminate structural design failure prediction,Development of an Artificial Neural Network-Based Tool for Predicting Failures in Composite Laminate Structures,10.3390/biomimetics10080520,Biomimetics
paper-2258,included,excluded,generic_structural_material,other_nonmaintenance,high,Fused silica optics material damage mechanics,Role of atomic electronic structure defects in initiating laser-induced modification and failure of brittle-hard fused silica optics,10.1364/OPTICA.563181,Optica
paper-2294,included,excluded,other_nonmaintenance,other_nonmaintenance,medium,Assembly quality testing not maintenance,Interpretable Self-Supervised Learning for Fault Identification in Printed Circuit Board Assembly Testing,10.3390/app151810080,Applied Sciences (Switzerland)
paper-2313,included,excluded,generic_structural_material,other_nonmaintenance,high,Concrete impact failure modeling lacks maintenance,Machine Learning-Based Failure Prediction in Concrete Slabs and Cubes Under Impact Loading,10.1002/eng2.70313,Engineering Reports
paper-2364,included,excluded,heritage_culture_building,other_nonmaintenance,high,Building deformation monitoring not equipment maintenance,Automated Building Monitoring System Based on Reflectorless Measurements: A Case Study of the IMSGeo System,10.3390/s25175327,Sensors
paper-2375,included,excluded,generic_structural_material,other_nonmaintenance,medium,Flywheel crack simulation lacks maintenance decision,Crack propagation in an energy storage flywheel rotor using finite element method,10.1016/j.rineng.2025.105842,Results in Engineering
paper-2434,included,excluded,generic_structural_material,other_nonmaintenance,medium,Pipeline weld fatigue mechanics only,Fatigue life prediction and crack growth analysis of weld zones in API X60 steel using Weibull distribution and Monte Carlo simulations,10.1016/j.tafmec.2025.104962,Theoretical and Applied Fracture Mechanics
paper-2469,included,excluded,heritage_culture_building,other_nonmaintenance,high,Cultural heritage conservation system,Situation-aware Cyber–Physical–Social System for Cultural Heritage,10.1016/j.iswa.2025.200544,Intelligent Systems with Applications
paper-2497,included,excluded,heritage_culture_building,other_nonmaintenance,high,Smart building energy models,Data-driven predictive models for sustainable smart buildings,10.1016/j.rineng.2025.105916,Results in Engineering
paper-2563,included,excluded,generic_structural_material,other_nonmaintenance,high,Post failure boiler metallurgy study,Investigating short-term overheating failures in secondary superheater outlet of boiler steam power plant,10.1016/j.rineng.2025.105452,Results in Engineering
paper-2588,included,excluded,generic_structural_material,other_nonmaintenance,medium,Transformer oil material aging study,Improving Oxidation Stability and Insulation Performance of Plant-Based Oils for Sustainable Power Transformers,10.3390/physchem5020023,Physchem
paper-2602,included,excluded,other_nonmaintenance,other_nonmaintenance,high,Medical implant failure prediction,Hip prosthesis failure prediction through radiological deep sequence learning,10.1016/j.ijmedinf.2025.105802,International Journal of Medical Informatics
paper-2604,included,excluded,generic_structural_material,other_nonmaintenance,high,Pipeline steel embrittlement mechanics,Study on Hydrogen Embrittlement Behavior of X65 Pipeline Steel in Gaseous Hydrogen Environment,10.3390/met15060596,Metals
paper-2634,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Hydraulic fracturing geomechanics not maintenance,Prediction of casing failure risk locations under multi-stage hydraulic fracturing inter-well interference in “well factory” mode,10.1016/j.petsci.2025.02.016,Petroleum Science
paper-2671,included,excluded,generic_structural_material,other_nonmaintenance,high,Insulation design reliability study,Operation at Reduced Atmospheric Pressure and Concept of Reliability Redundancy for Optimized Design of Insulation Systems,10.3390/en18092371,Energies
paper-2791,included,excluded,generic_structural_material,other_nonmaintenance,high,Generic material failure report generation,Engineering material failure analysis report generation based on QWen and Llama2,10.1016/j.rineng.2025.104532,Results in Engineering
paper-2915,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Railway ground subsidence monitoring,Monitoring of High-Speed Railway Ground Deformation Using Interferometric Synthetic Aperture Radar Image Analysis,10.3390/app15084318,Applied Sciences (Switzerland)
paper-2953,included,excluded,heritage_culture_building,other_nonmaintenance,high,Apartment lifecycle energy study,THE IMPACT OF CONSTRUCTION MODIFICATIONS TO A 1930S APARTMENT ON THE LIFE CYCLE,10.2478/cee-2025-0048,Civil and Environmental Engineering
paper-2960,included,excluded,heritage_culture_building,other_nonmaintenance,high,School building condition assessment,Developing a Framework for Building Condition Assessment of Schools in Osijek-Baranja County,10.3390/buildings15091511,Buildings
paper-2965,included,excluded,generic_structural_material,other_nonmaintenance,high,Bridge construction vibration monitoring,Computer Vision-Based Monitoring of Bridge Structural Vibration During Incremental Launching Construction,10.3390/buildings15071139,Buildings
paper-3007,included,excluded,heritage_culture_building,other_nonmaintenance,high,Generic facility management not equipment maintenance,Optimizing Facilities Management Through Artificial Intelligence and Digital Twin Technology in Mega-Facilities,10.3390/su17051826,Sustainability (Switzerland)
paper-3139,included,excluded,heritage_culture_building,other_nonmaintenance,high,Heritage preservation not technical equipment maintenance,"Digital Transformation in African Heritage Preservation: A Digital Twin Framework for a Sustainable Bab Al-Mansour in Meknes City, Morocco",10.3390/smartcities8010029,Smart Cities
paper-3161,included,excluded,generic_structural_material,other_nonmaintenance,high,Composite material creep test lacks asset maintenance,Remaining useful life prediction of flax fibre biocomposites under creep load by acoustic emission and deep learning,10.1016/j.compositesa.2024.108572,Composites Part A: Applied Science and Manufacturing
paper-3199,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Rainfall slope failure geotechnical hazard,Predicting Railway Slope Failure Under Heavy Rainfall Using the Soil Moisture Extended Cohesive Damage Element Method,10.3390/geohazards6010014,GeoHazards
paper-3226,included,excluded,generic_structural_material,other_nonmaintenance,high,Fracture mechanics method no maintenance use case,A computational approach to integrate three-dimensional peridynamics and two-dimensional higher-order classical elasticity theory for fracture analysis,10.1007/s00366-024-02001-2,Engineering with Computers
paper-3308,included,excluded,generic_structural_material,other_nonmaintenance,high,Composite failure mechanics without maintenance decision,The Failure Prediction of Reinforced Composite Quasi-Brittle Structures by an Improved Version of the Extended Lumped Damage Approach,10.1002/nme.70006,International Journal for Numerical Methods in Engineering
paper-3375,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Mine ground support geotechnical monitoring,Health monitoring of ground support system through point-cloud processing: rockbolts extraction phase,10.1007/s13198-025-02758-9,International Journal of System Assurance Engineering and Management
paper-3391,included,excluded,generic_structural_material,other_nonmaintenance,medium,PCB reliability testing lacks maintenance decision,Reliability Analysis of Complex PCB Assemblies Under Temperature Cycling and Random Vibration,10.3390/mi16020212,Micromachines
paper-3625,included,excluded,heritage_culture_building,other_nonmaintenance,high,Construction failure monitoring lacks maintenance focus,Sustainable Emergency Rescue Products: Design and Monitoring Techniques for Preventing and Mitigating Construction Failures in Unforeseen Circumstances,10.32604/sdhm.2025.063890,SDHM Structural Durability and Health Monitoring
paper-3678,included,excluded,heritage_culture_building,other_nonmaintenance,high,Heritage building conservation not equipment maintenance,Integrating Knowledge Graphs and Digital Twins for Heritage Building Conservation,10.3390/buildings15010016,Buildings
paper-3774,included,excluded,generic_structural_material,other_nonmaintenance,high,Generic structural sampling method lacks maintenance case,Signal Sampling criteria and application of structural monitoring based on amplitude analysis,10.21595/jve.2025.24531,Journal of Vibroengineering
paper-3798,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Mine slope failure prediction,Development of a filtered inverse velocity method analyser: A comparative study of smoothing filters in surface mines for optimisation of slope failure predictions,10.17159/2411-9717/3709/2025,Journal of the Southern African Institute of Mining and Metallurgy
paper-3804,included,excluded,geotechnical_natural_hazard,environment_natural_system,high,Tunnel construction rock deformation prediction,Prediction of Surrounding Rock Deformation in a Highway Tunnel Using an LSTM-RF Hybrid Model,10.1155/je/6652758,Journal of Engineering (United Kingdom)
paper-3939,included,excluded,generic_structural_material,other_nonmaintenance,medium,Lab-scale tower deflection lacks maintenance decision,"Experimental and computational analysis of deflection angles in a lab-scale wind tower using gyroscope, wind sensor, and load sensor",10.1016/j.joes.2025.11.013,Journal of Ocean Engineering and Science
paper-3976,included,excluded,generic_structural_material,other_nonmaintenance,high,Sensor material SHM lacks asset maintenance case,Graphite-enhanced GNP/PVA composite piezoresistors with in-house data collection and prediction algorithm for structural health monitoring,10.1177/00219983251397501,Journal of Composite Materials
