corpus_id,old_decision,new_decision,civil_reason_category,mapped_screening_reason_category,civil_confidence,civil_notes,Title,DOI,Source title
paper-0609,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,turnout track monitoring,Automating Signal Synchronization for Enhanced Track Monitoring in Turnouts,10.3390/app16010223,Applied Sciences (Switzerland)
paper-0650,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement condition comparison,A Comparison of Connected-Vehicle Roughness and Traditional Pavement Condition Index,10.3390/futuretransp6010047,Future Transportation
paper-0661,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,prestressed concrete bridge monitoring,Long-term monitoring of externally prestressed concrete bridges using semi-closed elasto-magnetic sensors,10.1016/j.iintel.2025.100182,Journal of Infrastructure Intelligence and Resilience
paper-0687,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,long-span bridge point clouds,High-Precision Point Cloud Registration for Long-Span Bridges Based on Iterative Closest-Surface Method,10.3390/buildings16030495,Buildings
paper-0707,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,highway bridge monitoring,Bridge Health Monitoring and Assessment in Industry 5.0: Lessons Learned from Long-Term Real-Time Field Monitoring of Highway Bridges,10.3390/infrastructures11020055,Infrastructures
paper-0768,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,municipal road condition assessment,AI-Based Automated Visual Condition Assessment of Municipal Road Infrastructure Using High-Resolution 3D Street-Level Imagery,10.3390/infrastructures11030090,Infrastructures
paper-0806,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,tunnel surface crack detection,Research on Automatic Recognition and Dimensional Quantification of Surface Cracks in Tunnels Based on Deep Learning,10.3390/modelling7010004,Modelling
paper-0816,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,high-speed slab track debonding,Dynamic assessment of interlayer debonding in high-speed slab tracks using frequency-domain simulation,10.1016/j.rineng.2025.108515,Results in Engineering
paper-0845,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface wear fatigue,Effect of the rail surface topography on wear and fatigue,10.1016/j.wear.2025.206218,Wear
paper-0850,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,urban sewer network risk,A Probability-Based Risk Assessment Model for the Sustainable Management of Urban Wastewater Collection Systems,10.3390/w18060737,Water (Switzerland)
paper-0872,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway ballast deterioration,Mechanisms of Fouled Railway Ballast Deterioration Under Freeze–Thaw and Cyclic Loading: Implications for Sustainable Maintenance in Seasonal Frozen Regions,10.3390/su18062808,Sustainability (Switzerland)
paper-0879,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,asphalt pavement maintenance,Optimal condition-based maintenance of asphalt-concrete pavement systems,10.1080/14680629.2025.2501713,Road Materials and Pavement Design
paper-0890,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement health monitoring,Real-World Application of Non-Destructive Pavement Health Monitoring Sensors,10.3390/s26030899,Sensors
paper-0896,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,metallic infrastructure corrosion,Digital Twin Framework for Predictive Maintenance and Materials Selection Facing Climate Change,10.1149/2.F09261IF,Electrochemical Society Interface
paper-0904,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,runway pavement inspection,Digitalization and Automation of Runway Inspection Using Unmanned Aerial Vehicles,10.3390/s26041100,Sensors
paper-0905,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pedestrian bridge monitoring,AAE-CycleWGAN fusion framework for generating fused strain data from sparse to dense domains in bridge monitoring systems,10.1016/j.inffus.2025.103736,Information Fusion
paper-0926,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,CRTSIII slab track SHM,Life-cycle oriented strain reconstruction of CRTSIII slab tracks using quasi-distributed fiber Bragg grating sensing and deep learning toward sustainable high-speed rail,10.1016/j.dibe.2026.100879,Developments in the Built Environment
paper-0947,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete pavement punchout prediction,Data-Driven Prediction of Punchout Occurrence in CRCP Using an Optimized Gradient Boosting Model,10.3390/modelling7010038,Modelling
paper-0948,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,Water pipe network renewal is civil utility infrastructure,Near-future prediction of pipe failures in water supply networks: a key determinant for water pipe renewal policies through a machine learning approach,10.1007/s13201-025-02738-1,Applied Water Science
paper-1005,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Self healing concrete asphalt and civil infrastructure durability,Integrating Self-Healing Materials and Internet of Things for Enhanced Infrastructure Durability and Sustainability,10.15866/irece.v17i1.27546,International Review of Civil Engineering
paper-1011,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track heaving and vertical displacement defects,Evolution of isolated heaving defects for vertical rail displacements: a multi-disciplinary study,10.1080/23248378.2025.2469302,International Journal of Rail Transportation
paper-1051,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track quality index prediction,PREDICTIVE MODELING OF TRACK QUALITY INDEX WITH NEURAL NETWORKS,10.5937/jaes0-60022,Journal of Applied Engineering Science
paper-1054,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge condition assessment,A Hybrid Fuzzy Logic and Artificial Neural Network Approach for Engineering Structure Condition Assessment Based on Long-Term Inspection Data,10.3390/app16020794,Applied Sciences (Switzerland)
paper-1077,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Tunnel infrastructure facility maintenance system,Data-driven digital twin-based smart tunnel maintenance system,10.1016/j.ige.2025.09.002,Intelligent Geoengineering
paper-1133,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt pavement deterioration prediction,Deep learning models for asphalt material behavior analysis under smart city IoT infrastructures,10.1007/s43926-025-00253-y,Discover Internet of Things
paper-1138,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Switch rail and turnout wear prediction,Modeling switch rail wear using laser profilometry for predictive maintenance,10.12913/22998624/211838,Advances in Science and Technology Research Journal
paper-1152,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt road degradation monitoring,Learning road degradation with asphalt-integrated sensor fabric,10.1007/s41062-025-02415-x,Innovative Infrastructure Solutions
paper-1159,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track condition monitoring,Data-driven sparse coding for onboard condition monitoring of railway tracks,10.1016/j.ymssp.2025.113542,Mechanical Systems and Signal Processing
paper-1168,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway insulated rail joint track monitoring,Implementation of an AI-based predictive structural health monitoring strategy for bonded insulated rail joints using digital twins under varied bolt conditions,10.1007/s40534-024-00371-3,Railway Engineering Science
paper-1181,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Reinforced concrete bridge specimen damage,"Combined fatigue-corrosion damage in reinforced concrete: Experimental analysis, surface crack monitoring, and mechanical modeling",10.1016/j.conbuildmat.2025.144595,Construction and Building Materials
paper-1199,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Road condition and pothole detection,A Federated Learning Approach for Scalable Road Condition Detection in Connected Vehicles,10.1109/OJITS.2026.3670716,IEEE Open Journal of Intelligent Transportation Systems
paper-1200,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Highway embankment subgrade condition monitoring,Optimizing 3D Laser Scanning Parameters for Early-Stage Defect Detectability in Subgrade Condition Monitoring,10.3390/s25237174,Sensors
paper-1213,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track fastener tightness evaluation,TrinityNet: A Novel Cross-Modality Generative Reasoning Framework for Zero-Label Railway Fastener Tightness Evaluation,10.1049/itr2.70164,IET Intelligent Transport Systems
paper-1239,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway rail crack distance estimation,Skip-Feedback Neural Network With Unsupervised Feature Learning for Railway Crack Distance Estimation,10.1109/ACCESS.2026.3651372,IEEE Access
paper-1251,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt pavement polished surface monitoring,Texture-based image analysis and explainable machine learning for polished asphalt identification in pavement condition monitoring,10.1038/s41598-025-27203-6,Scientific Reports
paper-1294,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Quay wall geotechnical life cycle modeling,Hybrid surrogate models of quay walls,10.1680/jcien.25.00451,Proceedings of the Institution of Civil Engineers: Civil Engineering
paper-1298,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track longitudinal level estimation,A comprehensive data-driven approach to estimate track longitudinal level from inertial measurements,10.1007/s40534-026-00427-6,Railway Engineering Science
paper-1300,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Concrete anchorage fatigue warning,Smart sensing and automated fatigue warning in concrete anchorages using thermocouples and thermal imaging,10.1016/j.dibe.2025.100778,Developments in the Built Environment
paper-1314,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Road roughness and pavement maintenance,An Integrated Machine Learning-Based Framework for Road Roughness Severity Classification and Predictive Maintenance Planning in Urban Transportation System,10.3390/app152412916,Applied Sciences (Switzerland)
paper-1345,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track RUL and TQI modeling,Predictive maintenance of railway tracks using sparse time-series and health state-based RUL modeling,10.1186/s44147-025-00842-2,Journal of Engineering and Applied Science
paper-1353,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Road and pavement damage detection,A Real-Time Multi-Scale Feature Pyramid YOLO Architecture for Accurate and Deployment-Efficient Road Damage Detection,10.14569/IJACSA.2026.0170350,International Journal of Advanced Computer Science and Applications
paper-1364,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,Generic infrastructure digital twin operations,ChatTwin: Bridging the usability gap to digital twin adoption in infrastructure operations and maintenance with a Natural Language Interface,10.1016/j.autcon.2025.106655,Automation in Construction
paper-1397,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Reinforced concrete beam damage evaluation,Experimental evaluation of damage in RC beams using natural frequency and mechanical behavior,10.1016/j.cscm.2025.e05269,Case Studies in Construction Materials
paper-1442,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Highway bridge risk indicator,Configuring Taiwan’s highway bridge performance indicator: a semi-quantitative risk assessment approach,10.1080/15732479.2024.2322540,Structure and Infrastructure Engineering
paper-1462,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge inspection report extraction,Named entity recognition model for bridge inspection report with multi-features fusion and correction method,10.1177/13694332261452281,Advances in Structural Engineering
paper-1506,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge infrastructure demolition asset management,Digital twin-driven strategic demolition plan for circular asset management of bridge infrastructures,10.1038/s41598-025-94117-8,Scientific Reports
paper-1516,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway infrastructure stiffness monitoring,Bidirectional Long Short-Term Memory Approach for Infrastructure Health Monitoring Using On-Board Vibration Response,10.1177/03611981251342236,Transportation Research Record
paper-1560,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Cold region pavement elevation monitoring,Space-based long term condition monitoring of cold region pavement with PS-InSAR,10.1186/s43065-024-00110-2,Journal of Infrastructure Preservation and Resilience
paper-1563,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway turnout frog condition monitoring,Data-Driven Condition Monitoring of Fixed-Turnout Frogs Using Standard Track Recording Car Measurements,10.3390/app152011122,Applied Sciences (Switzerland)
paper-1564,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Pavement condition assessment,Evaluation Study of Pavement Condition Using Digital Twins and Deep Learning on IMU Signals,10.3390/fi17100436,Future Internet
paper-1570,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track maintenance from imagery,AI Ladder-Based Intelligent Enterprise Resource Planning for Predictive Railway Track Maintenance from UAV Imagery,10.18280/mmep.121023,Mathematical Modelling of Engineering Problems
paper-1571,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,Water pipeline defect assessment for urban infrastructure,Deep Learning-Based Back-Projection Parameter Estimation for Quantitative Defect Assessment in Single-Framed Endoscopic Imaging of Water Pipelines,10.3390/math13203291,Mathematics
paper-1588,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Rail track life prediction,Machine learning based life prediction of rail tracks using environmental and operational factors,10.1016/j.dibe.2025.100718,Developments in the Built Environment
paper-1603,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Ballastless track slab interlayer mechanics,Interlayer Mechanical Behavior in CRTS II Slab Ballastless Tracks Under Vertical Loading,10.3390/app152413058,Applied Sciences (Switzerland)
paper-1607,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Traffic sign roadway asset condition assessment,Geometric Condition Assessment of Traffic Signs Leveraging Sequential Video-Log Images and Point-Cloud Data,10.3390/rs17244061,Remote Sensing
paper-1645,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,Railway infrastructure CBM risk analysis,Event tree analysis for risk-based assessment of digitalised condition-based maintenance in railway,10.1007/s13198-025-02858-6,International Journal of System Assurance Engineering and Management
paper-1646,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Pavement distress deterioration prediction,Distress-Level Prediction of Pavement Deterioration with Causal Analysis and Uncertainty Quantification,10.3390/app152011250,Applied Sciences (Switzerland)
paper-1661,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Building condition assessment and prediction,Iterative building condition assessment and prediction using unified 3D point clouds and a BIM model: A case study,10.1016/j.iintel.2025.100180,Journal of Infrastructure Intelligence and Resilience
paper-1674,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge deterioration prediction,An unsupervised learning approach to predict the deterioration of aging bridges using inspection data,10.1002/suco.70046,Structural Concrete
paper-1680,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Urban tram track anomaly detection,Vehicle-as-a-Sensor Approach for Urban Track Anomaly Detection,10.3390/s25216679,Sensors
paper-1689,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Road crack detection dataset generation,High quality training set development for road crack detection using progressive data-driven models with integrated identification,10.1016/j.cscm.2025.e05416,Case Studies in Construction Materials
paper-1695,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge defect recognition,Recognition method of bridge apparent defects based on image processing and improved convolutional neural networks,10.1371/journal.pone.0335446,PLOS ONE
paper-1717,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Steel bridge corrosion severity assessment,Colour-Coded BIM Models for Corrosion Severity Assessment in Steel Bridges,10.3390/civileng6040067,CivilEng
paper-1729,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track fault diagnosis,GAN-based data augmentation of time series for fault diagnosis in railway track,10.1007/s40534-025-00396-2,Railway Engineering Science
paper-1754,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track tamping and behavior prediction,Balancing Efficiency and Cost: A Technical and Economic Analysis of Condensed Maintenance,10.3390/app152111688,Applied Sciences (Switzerland)
paper-1773,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Road surface state and pavement damage detection,Road Surface State Change Detection Based on Binocular Vision for Autonomous Driving System,10.1145/3757920,ACM Transactions on Autonomous and Adaptive Systems
paper-1795,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge intervention decision support,Ranking bridge intervention scenarios with a risk-based predictive decision support system,10.1016/j.autcon.2025.106553,Automation in Construction
paper-1807,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,Offshore wind foundation scour monitoring,Scour identification around offshore wind turbine monopile foundations using an unsupervised anomaly detection approach,10.1016/j.oceaneng.2025.122365,Ocean Engineering
paper-1815,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge condition rating prediction,Leveraging Artificial Intelligence for Predictive Maintenance and Condition Rating of Off-System Bridges,10.3390/app152111301,Applied Sciences (Switzerland)
paper-1867,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway turnout wheel rail force state evaluation,State Evaluation of Wheel–Rail Force in High-Speed Railway Turnouts Based on Multivariate Analysis and Unsupervised Clustering,10.3390/app152211934,Applied Sciences (Switzerland)
paper-1883,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,Railway vertical track alignment identification,Identification of Railway Vertical Track Alignment via the Unknown Input Observer †,10.3390/app152111332,Applied Sciences (Switzerland)
paper-1948,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete plaster and wall crack classification,Efficient crack and surface-type recognition via CNN-block development mechanism and edge profiling,10.1038/s41598-025-25956-8,Scientific Reports
paper-1953,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail squat and track condition monitoring,A Numerical Simulation Study on Vertical Vibration Response for Rail Squat Detection with a Train in Regular Traffic,10.3390/infrastructures10110313,Infrastructures
paper-1967,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track vertical alignment monitoring,Estimation of Railway Track Vertical Alignment Using Instrumented Wheelsets and Contact Force Recordings †,10.3390/machines13100963,Machines
paper-1969,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,construction formwork support structural monitoring,Intelligent Condition Monitoring of High-Formwork Support Systems: A Hybrid FEM-Deep Learning Approach with Large Language Model Integration,10.1177/00368504251393791,Science Progress
paper-1971,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road defect detection,Investigation of the Transferability of Measured Data for Application of YOLOv8s in the Identification of Road Defects: An SA-Indian Case Study,10.3390/su172310641,Sustainability (Switzerland)
paper-2002,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,smart water infrastructure operations focus,Contributions toward net-zero carbon in the water sector: application to a case study,10.2166/aqua.2025.031,"Aqua Water Infrastructure, Ecosystems and Society"
paper-2020,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,winter road surface condition monitoring,Advancing winter road maintenance: An AI-driven web platform for real-time road condition monitoring and spatial analysis,10.1016/j.trip.2025.101575,Transportation Research Interdisciplinary Perspectives
paper-2026,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete structure deterioration assessment,"An automated platform to detect, assess, and quantify deterioration in concrete structures",10.1016/j.dibe.2025.100728,Developments in the Built Environment
paper-2058,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,historical building structural assessment,Sensitivity driven model updating: a multi-step procedure for structural assessment,10.1016/j.jobe.2025.112941,Journal of Building Engineering
paper-2069,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge seismic retrofitting and deterioration,Holistic Benefit–Cost Analysis of Bridge Seismic Retrofitting Coupled with Artificial Intelligence-Based Decision Policy,10.1177/03611981251328984,Transportation Research Record
paper-2076,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement roughness monitoring,Evaluation of Connected Vehicle Pavement Roughness Data for Statewide Needs Assessment,10.3390/infrastructures10090248,Infrastructures
paper-2085,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,highway pavement performance prediction,Machine Learning-Based Highway Pavement Performance Prediction in Xinjiang,10.3390/infrastructures10070189,Infrastructures
paper-2127,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement crack deterioration prediction,Predicting pavement cracking performance using laser scanning and geocomplexity-enhanced machine learning,10.1111/mice.13489,Computer-Aided Civil and Infrastructure Engineering
paper-2132,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail corrugation track defect detection,A Mathematical Methodology for the Detection of Rail Corrugation Based on Acoustic Analysis: Toward Autonomous Operation,10.3390/math13172815,Mathematics
paper-2138,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,reinforced concrete deterioration modeling,Rational-RC: A Python package for probabilistic life-cycle deterioration modelling of reinforced concrete structures,10.1016/j.softx.2025.102238,SoftwareX
paper-2169,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,rail infrastructure and well deformation monitoring,Physics-Guided Modeling and Parameter Inversion for Complex Engineering Scenarios: With Applications in Horizontal Wells and Rail Infrastructure Monitoring,10.3390/sym17081334,Symmetry
paper-2191,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track irregularity detection,Enhancing Railway Safety in Indonesia: A Data-Driven Approach to Track Irregularity Detection using In-Service Train Accelerometers,10.18280/isi.300901,Ingenierie des Systemes d'Information
