corpus_id,old_decision,new_decision,controversy_level,normalized_reason_category,mapped_screening_reason_category,brief_reason,pdf_present_before,Title,DOI,Source title
paper-1620,included,excluded,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,Robotics digital-twin framework optimizes navigation/collaboration; predictive maintenance is only a generic claimed capability.,yes,Advancing Robotic Systems with Distributed Multi-Agent Digital Twins: A Scalable and Adaptive Framework,10.1007/s42979-025-04525-w,SN Computer Science
paper-1849,included,excluded,high,weak_maintenance_link,other_nonmaintenance,Acoustic fingerprint/database paper presents failure prediction and predictive service as future applications rather than demonstrated PdM.,yes,Acoustic fingerprint in vehicle manufacturing as a basis for future applications,10.1556/606.2025.01260,Pollack Periodica
paper-1899,included,excluded,high,business_social,business_social_finance,"Maintenance maturity and organizational continuity model lacks asset condition monitoring, diagnosis, or prognostics.",yes,Multidimensional Maintenance Maturity Modeling: Fuzzy Predictive Model and Case Study on Ensuring Operational Continuity Under Uncertainty,10.3390/app152212236,Applied Sciences (Switzerland)
paper-1986,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Aircraft maintenance-delay DMAIC/FMEA case is mainly process, inventory, and quality improvement rather than predictive asset maintenance.",yes,Addressing Aircraft Maintenance Delays Using a DMAIC-FMEA Framework: Insights from a Commercial Aviation Case Study,10.3390/app152212164,Applied Sciences (Switzerland)
paper-2074,included,excluded,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Holistic Industry 5.0 data/interface article; predictive maintenance is asserted without a concrete asset fault, degradation, or maintenance case.",yes,Harnessing Machine Learning for Data Transformation in Industry 5.0 Production Lines,10.48084/etasr.11318,"Engineering, Technology and Applied Science Research"
paper-2229,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Buried municipal water-supply pipe failure-pressure/material-response study; strict scope treats this as civil infrastructure rather than equipment PdM.,no,Mechanical response and failure pressure prediction of cracked PVC-UH buried thin-walled pipes,10.1016/j.cscm.2025.e04438,Case Studies in Construction Materials
paper-2231,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Water distribution leak/burst detection targets utility infrastructure and conservation, not electromechanical equipment maintenance.",yes,Early Leak and Burst Detection in Water Pipeline Networks Using Machine Learning Approaches,10.3390/w17142164,Water (Switzerland)
paper-2275,included,excluded,high,weak_maintenance_link,other_nonmaintenance,"High-current rectifier design for metal recycling; predictive maintenance appears as a built-in feature, not the research focus.",yes,Development and Design Of a 4000 Amp DC Rectifier for Industrial Metal Scrapping,10.14445/23488379/IJEEE-V12I7P115,SSRG International Journal of Electrical and Electronics Engineering
paper-2290,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Water transmission-line failure-risk and rehabilitation planning is civil water infrastructure despite maintenance-planning language.,no,Risk-Based Water Pipe Failure Prediction through Machine Learning and Hydraulic Models,10.1061/JWRMD5.WRENG-6958,Journal of Water Resources Planning and Management
paper-2387,included,excluded,high,software_it_cyber,software_it_cyber,Theoretical passive-assessment model for water pipeline networks; no electromechanical asset or maintenance decision is demonstrated.,no,Extended theoretical model for water pipeline passive assessment using ambient noise correlation,10.1016/j.ymssp.2025.113223,Mechanical Systems and Signal Processing
paper-2419,included,excluded,high,sensor_material_only,other_nonmaintenance,"Piezoelectric strain-sensor characterization lacks a specific asset, fault, degradation mechanism, or maintenance decision.",no,Piezoelectric sensor characterization for structural strain measurements,10.1016/j.sna.2025.116659,Sensors and Actuators A: Physical
paper-2437,included,excluded,high,software_it_cyber,software_it_cyber,GenAI opportunities paper for water distribution networks is broad utility management; PdM is only one possible application.,no,Making waves: Generative artificial intelligence in water distribution networks: Opportunities and challenges,10.1016/j.wroa.2025.100316,Water Research X
paper-2538,included,excluded,high,business_social,business_social_finance,Urban water-supply infrastructure asset management for buried pipes; civil utility infrastructure rather than industrial/electromechanical equipment.,no,Ilorin metropolitan water supply infrastructure (WSI) asset management under limited data,10.2166/wpt.2025.057,Water Practice and Technology
paper-2639,included,excluded,high,software_it_cyber,software_it_cyber,Road-network maintenance backlog decision study; civil road infrastructure and budgeting rather than predictive maintenance of equipment.,yes,Exploring information needed in maintenance backlog-related decision-making in the Finnish road network,10.1108/BEPAM-05-2024-0131,Built Environment Project and Asset Management
paper-2734,included,excluded,high,software_it_cyber,software_it_cyber,Water-distribution-network leak/burst prediction for urban utility pipes; civil infrastructure rather than in-scope industrial pipeline/equipment.,no,Explainable deep learning models for predicting water pipe failures,10.1016/j.jenvman.2025.124738,Journal of Environmental Management
paper-2755,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Urban water distribution pipe failure prediction using cross-infrastructure data; civil utility infrastructure outside strict equipment PdM.,yes,PREDICTING WATER DISTRIBUTION PIPE FAILURES USING MACHINE LEARNING AND CROSS-INFRASTRUCTURE DATA; [NAPOVED OKVAR VODOVODNIH CEVI S STROJNIM UČENJEM IN PODATKI O SOSEDNJI INFRASTRUKTURI],10.15292/acta.hydro.2025.05,Acta Hydrotechnica
paper-2769,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Lifecycle vulnerability and predictive maintenance planning for urban water utilities; buried civil assets and planning, not equipment PdM.",yes,Lifecycle Vulnerability in Urban Water Infrastructure for Predictive Maintenance Planning,10.3362/1756-3488.25-00003,Waterlines
paper-2830,included,excluded,high,software_it_cyber,software_it_cyber,Water-distribution pipe life prognosis and renewal planning; civil utility network rather than industrial/electromechanical asset maintenance.,yes,Data-driven approaches for pipe life prognosis in water distribution networks: the Barcelona water distribution network case study,10.2166/hydro.2025.003,Journal of Hydroinformatics
paper-2869,included,excluded,high,software_it_cyber,software_it_cyber,Data-center server memory failure prediction; close to IT hardware/service reliability rather than engineered-asset predictive maintenance.,yes,Research on memory failure prediction based on ensemble learning,10.1371/journal.pone.0321954,PLoS ONE
paper-2917,included,excluded,high,software_it_cyber,software_it_cyber,SSD failure prediction for real-time cloud services/data availability; IT storage reliability boundary case outside strict equipment PdM.,yes,Solid-State Drive Failure Prediction Using Anomaly Detection,10.3390/electronics14071433,Electronics (Switzerland)
paper-2943,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,Urban water distribution pipe failure risk using road-pipeline topology; civil infrastructure rather than in-scope equipment PdM.,yes,Predicting Water Pipe Failures with Graph Neural Networks: Integrating Coupled Road and Pipeline Features,10.3390/w17091307,Water (Switzerland)
paper-2975,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Flash-burner flame monitoring characterizes combustion quality for process control; PdM is only a downstream implication.,yes,Development and Application of an Optoelectronic Sensor for Flame Monitoring of a Copper Concentrate Flash Burner,10.3390/s25092897,Sensors
paper-3210,included,excluded,high,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Adaptive machining process monitoring is framed around quality/control limits, not equipment health, degradation, repair, or maintenance decisions.",yes,An Adaptive Process Monitoring Method Based on an Improved ADALINE Neural Network,10.3390/app15042090,Applied Sciences (Switzerland)
paper-3407,included,excluded,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Focus is consumer IoT anomaly/security detection, including wearables/health data and unauthorized access, not physical-asset maintenance.",no,Safeguarding IoT consumer devices: Deep learning with TinyML driven real-time anomaly detection for predictive maintenance,10.1016/j.asej.2025.103281,Ain Shams Engineering Journal
paper-3409,included,excluded,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Title is about hydride hydrogen supply for combustion engines while abstract/keywords describe gearbox PdM, suggesting a mismatched or unreliable record.",yes,APPLICATION OF HYDRIDE SYSTEMS FOR SUPPLYING INTERNAL COMBUSTION ENGINES WITH HYDROGEN,10.17683/ijomam/issue22.v1.21,International Journal of Mechatronics and Applied Mechanics
paper-3546,included,excluded,high,software_it_cyber,software_it_cyber,"Focus is wireless-sensor-network scheduling/QoS for data transport, not asset condition diagnosis or maintenance decisions.",yes,Scheduling Algorithm for Power Wireless Sensor Networks Considering Service Priority and Delay Constraints,10.1049/smt2.70008,"IET Science, Measurement and Technology"
paper-3615,included,excluded,high,generic_method_no_asset_case,generic_nonmaintenance_ai_control,Compares Unity and Gazebo for a robotic-arm digital twin; predictive maintenance appears mainly as background motivation.,yes,Comparative Study of Digital Twin Developed in Unity and Gazebo,10.3390/electronics14020276,Electronics (Switzerland)
paper-3733,included,excluded,high,weak_maintenance_link,other_nonmaintenance,Primarily a statistical distribution paper mixing disability prevalence with one reliability case; asset maintenance focus is weak.,yes,A light-tail Pareto Type II model for disability and reliability case studies with potential risk assessment under disability prevalence dates data in Saudi Arabia,10.3934/math.2025863,AIMS Mathematics
paper-3790,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Glass curtain-wall health monitoring is building/civil-structure SHM, which the criteria exclude from strict PdM scope.",yes,Research on Health Condition Monitoring for Glass Panel of Hidden Frame Glass Curtain Wall Under Wind Load Using Fuzzy Comprehensive Evaluation,10.1155/vib/6514166,Shock and Vibration
paper-3860,included,excluded,high,business_social,business_social_finance,Tyre defect classification is framed around waste sorting/recycling and quality inspection; maintenance relevance is incidental.,yes,A Sustainable Approach to Waste Management of Tyres: Using Artificial Intelligence for Enhanced Accuracy,10.14453/aabfj.v19i1.02,"Australasian Accounting, Business and Finance Journal"
paper-3984,included,excluded,high,software_it_cyber,software_it_cyber,"Ultra-wideband adaptive networking supports power monitoring communications, not asset fault diagnosis or maintenance decision-making.",no,Research on Wireless Sensor Adaptive Networking for Power Monitoring Based on Ultra Wide Band,10.1049/gtd2.70105,"IET Generation, Transmission and Distribution"
paper-3985,included,excluded,high,civil_geotechnical_infrastructure,environment_natural_system,"Robot viewpoint planning is for visual inspection of civil engineering structures, explicitly outside the strict equipment PdM scope.",no,Viewpoint Generation Algorithm for Gimbal-Mounted Robots for Visual Inspection of Civil Engineering Structures,10.1109/ACCESS.2025.3546992,IEEE Access
paper-0013,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Manufacturing anomaly/root-cause analysis targets process deviations and optimization; the physical asset health target is unclear.,no,Multi-objective optimization-based sequential clustering and classification approach for anomaly detection and root cause analysis in the multi-stage manufacturing process,10.1088/2631-8695/ae6421,Engineering Research Express
paper-0055,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Slip prediction in roll-to-roll web processing mainly prevents tension/product-quality problems rather than equipment degradation or maintenance.,yes,Data-Driven Slip Prediction in Web Processing Machines Using Virtual Sensors and Ensemble Machine Learning,10.3390/s26092878,Sensors
paper-0113,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Vibro-separator study optimizes amplitude/flow-rate behavior; predictive maintenance appears mostly as motivation, not a demonstrated asset-health task.",yes,EXPERIMENTAL VALIDATION OF VIBRO SEPARATOR AND ANOVA TECHNIQUE FOR AMPLITUDE,10.5935/jetia.v12i58.2749,Journal of Engineering and Technology for Industrial Applications
paper-0126,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Predicts power-quality disturbances and carbon impacts for grid stability/control rather than maintenance of a specific physical asset.,no,Adaptive Q-Wavelet Transform and Kalman Filtering for Power Quality Disturbance Prediction and Carbon Emission Impact Analysis in Smart Grids,10.1002/eng2.70825,Engineering Reports
paper-0248,included,excluded,medium,software_it_cyber,software_it_cyber,"Remote-handling networking supports maintenance/inspection operations in fusion facilities, but it is not predictive maintenance or asset-health prediction.",no,Remote handling operation for IFMIF-DONES supported by time-sensitive networking,10.1088/1741-4326/ae511e,Nuclear Fusion
paper-0431,included,excluded,medium,business_social,business_social_finance,"Industrial electricity dataset is useful for forecasting/control/PdM research, but the paper contains no maintenance task or asset-health model.",yes,High-resolution energy data from a sustainable industrial production area in Karlsruhe,10.1038/s41597-026-06955-4,Scientific Data 
paper-0432,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Cascading-failure prediction in AC/DC grids supports outage prevention and system stability, not a clear maintenance or inspection decision.",yes,The research on cascading failure prediction in AC-DC hybrid power grids based on deep learning,10.1007/s10791-026-10130-z,Discover Computing
paper-0516,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Railway scheduling under traffic uncertainty; asset-condition prediction/maintenance target is unclear.,yes,Optimizing of Railway Maintenance Activities Using Fuzzy Logic: An Intelligent Approach for Improved Reliability,10.15837/ijccc.2026.1.7209,"International Journal of Computers, Communications and Control"
paper-0551,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Adaptive manufacturing planning focuses on OEE, energy, carbon and waste; predictive maintenance is not a clear core contribution.",yes,A Digital-Twin-Enabled AI-Driven Adaptive Planning Platform for Sustainable and Reliable Manufacturing,10.3390/machines14020197,Machines
paper-0572,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Lab-scale hydrogen microgrid digital twin is mainly monitoring/control proof-of-concept; PdM is only a stated future benefit.,no,Lab-scale green hydrogen and fuel cell microgrid digital twin,10.1016/j.enconman.2025.120928,Energy Conversion and Management
paper-0638,included,excluded,medium,business_social,business_social_finance,Analyzes firm financial/performance effects of digitalized PdM adoption; no specific physical asset condition or maintenance model.,yes,"Digitalization-Based Predictive Maintenance Systems, Internet of Things Sensor Networks, and Machine Intelligence Algorithms for Industry 4.0/5.0 Manufacturing Processes †",10.3390/systems14030281,Systems
paper-0788,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Energy harvesting powers wireless sensors for possible PdM; no asset-condition prediction, diagnosis or maintenance optimization.",yes,Batteryless IoT Sensing Using Thermoelectric Energy Harvesting from Industrial Motor Waste Heat,10.3390/s26051644,Sensors
paper-0928,included,excluded,medium,business_social,business_social_finance,Federated-learning/blockchain PdM framework for unmanned logistics has unclear maintained asset and appears simulation/platform focused.,yes,Privacy-preserving predictive maintenance method for cross-border unmanned logistics system integrating federated learning and blockchain,10.1007/s42452-025-07980-5,Discover Applied Sciences
paper-0964,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Wind-turbine SCADA model predicts active/reactive power; condition monitoring/maintenance planning is asserted but no fault or degradation target.,yes,Multi-Channel SCADA-Based Image-Driven Power Prediction for Wind Turbines Using Optimized LeNet-5-LSTM Hybrid Neural Architecture,10.3390/en19051169,Energies
paper-0993,included,excluded,medium,weak_maintenance_link,other_nonmaintenance,RENE system monitors experiment/environment parameters for stable operation; abstract lacks predictive maintenance or failure/degradation modeling.,no,Integrated Monitoring and Predictive Maintenance System for the Reactor Experiment for Neutrino and Exotics (RENE),10.1093/ptep/ptag009,Progress of Theoretical and Experimental Physics
paper-1022,included,excluded,medium,software_it_cyber,software_it_cyber,"Predicts failures in a heat-supply network, a civil/utility pipe-network target rather than electromechanical equipment.",yes,Development of a machine learning-based framework for predicting failures in heat supply networks,10.11591/eei.v14i6.10327,Bulletin of Electrical Engineering and Informatics
paper-1120,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,"Targets traffic signals, cameras, sensors and congestion anomalies; broader smart-city infrastructure rather than strict equipment PdM.",yes,AIP-Urban: Edge-Enabled Deep Learning Framework for Predictive Maintenance and Anomaly Detection in Urban Traffic Infrastructure,10.3390/systems13121117,Systems
paper-1227,included,excluded,medium,generic_method_no_asset_case,generic_nonmaintenance_ai_control,Pipeline wax cleaning methods are maintenance actions; the predictive/IoT link is secondary rather than the core study.,yes,DEVELOPMENT AND EVALUATION OF COMBINED METHODS FOR CLEANING PARAFFIN WAX DEPOSITS IN PIPELINES OIL AND GAS INDUSTRY; [Розробка й оцінка комбінованих методів очищення парафінових відкладень у трубопроводах нафтогазової промисловості],10.33271/nvngu/2026-1/050,Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu
paper-1354,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Focuses on maintaining power quality/grid operation rather than asset degradation or equipment health.,yes,Machine Learning for Predictive Power Quality Maintenance in Modern Power Grids,10.14445/23488379/IJEEE-V13I1P113,SSRG International Journal of Electrical and Electronics Engineering
paper-1378,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Focuses on DT standards and grid-planning optimization; maintenance/fault prediction is secondary.,yes,Advancing Modern Power Grid Planning Through Digital Twins: Standards Analysis and Implementation,10.3390/en19020556,Energies
paper-1396,included,excluded,medium,business_social,business_social_finance,Broad IoT renewable-energy performance/energy-management study; PdM is only one of several operational claims.,no,IoT-Enabled Technologies for Advancing Renewable Energy Systems,10.62527/joiv.10.1.5093,International Journal on Informatics Visualization
paper-1443,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Site-acceptance testing/quality control for newly installed offshore wind cables; CBM value is secondary.,yes,Technical Benchmarking of Site Acceptance Testing Methods of Offshore Wind Farm HVAC Power Cables,10.3390/en18246624,Energies
paper-1771,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Chatter detection predicts chatter marks/process instability, closer to product quality control than asset maintenance.",yes,Chatter Detection and Identification Based on Mode Decompositions,10.1002/adem.202500382,Advanced Engineering Materials
paper-1783,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Ball-mill load state classification targets production optimization and operating conditions, not asset degradation or maintenance.",yes,Ball Mill Load Classification Method Based on Multi-Scale Feature Collaborative Perception,10.3390/machines13111045,Machines
paper-2066,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Self-powered wireless temperature sensor for vehicle monitoring; no fault, degradation, prognosis, or maintenance decision model is demonstrated.",no,A self-powered wireless temperature sensing system using flexible thermoelectric generators under simulated thermal condition,10.1016/j.measurement.2025.117637,Measurement: Journal of the International Measurement Confederation
paper-2067,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,AI-integrated PLC work is mainly intelligent motion control; predictive maintenance is a claimed capability rather than the central asset-health task.,yes,A Computational Intelligence Framework for Industry 4.0-based Intelligent Motion Control using AI-Integrated PLCs,10.56042/jsir.v84i9.18846,Journal of Scientific and Industrial Research
paper-2098,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,"Lunar DT/XR/XD conceptual framework treats predictive maintenance as one broad capability among many, with no specific PdM model.",no,"LUNAR-XDT: An integrated framework for sustainable lunar manufacturing using digital twin (DT), extended reality (XR), and extreme design (XD) principles",10.1016/j.mfglet.2025.06.193,Manufacturing Letters
paper-2197,included,excluded,medium,sensor_material_only,other_nonmaintenance,Generic hardware implementation for sensor-data ML; predictive maintenance is only a motivating application and no asset case is shown.,yes,Efficient hardware implementation of interpretable machine learning based on deep neural network representations for sensor data processing,10.5194/jsss-14-169-2025,Journal of Sensors and Sensor Systems
paper-2247,included,excluded,medium,sensor_material_only,other_nonmaintenance,Protective-relay wavelet runtime testing targets grid stability and transient protection rather than a maintenance or asset-health decision.,no,Evaluating wavelet decomposition techniques in protective relays under continuous run-time simulated operation,10.1016/j.rineng.2025.106936,Results in Engineering
paper-2286,included,excluded,medium,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Mill-relining manipulator path planning supports maintenance execution and safety, not prediction of asset condition or maintenance need.",yes,Digital Twin System for Mill Relining Manipulator Path Planning Simulation,10.3390/machines13090823,Machines
paper-2295,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Smartphone acceleration study focuses on ride comfort and possible future track/rolling-stock monitoring; no actual PdM task is performed.,yes,The Application of Mobile Devices for Measuring Accelerations in Rail Vehicles: Methodology and Field Research Outcomes in Tramway Transport,10.3390/s25154635,Sensors
paper-2309,included,excluded,medium,business_social,business_social_finance,"Mission-abort policy uses alarms to protect a UAV mission, but the decision is operational safety rather than inspection/repair/replacement maintenance.",yes,Mission Abort Policy Considering Imperfect Alarms and Two Abort Options,10.1002/nav.22260,Naval Research Logistics
paper-2399,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Microscopic corrosion detection for generic ferrous-metal parts; predictive maintenance is only a broad industrial implication.,yes,"Surface Corrosion Detection for Ferrous-metal Parts: Application of Artificial Intelligence, Python and Microscopic Images",10.5755/j02.ms.41377,Medziagotyra
paper-2413,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Through-metal communication for batteryless sensors enables SHM/PdM data collection but contains no asset condition model and also invokes civil infrastructure.,yes,Wideband Communication with Batteryless Sensors Embedded in Metal Structures,10.1145/3748517,ACM Transactions on Internet of Things
paper-2514,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Virtual-sensing paper evaluated partly on train-bridge live-load prediction; maintenance use is only potential and includes civil SHM.,no,Graph neural networks for virtual sensing in complex systems: Addressing heterogeneous temporal dynamics,10.1016/j.ymssp.2025.112544,Mechanical Systems and Signal Processing
paper-2547,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,"Broad generative-AI solar-energy overview spanning design, site selection, forecasting, and grids; predictive maintenance is only one application.",no,Revolutionizing solar energy resources: The central role of generative AI in elevating system sustainability and efficiency,10.1016/j.apenergy.2025.125296,Applied Energy
paper-2672,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,"Wheel-rail friction estimation supports low-adhesion mitigation and operations safety, not fault/degradation maintenance of an asset.",no,Estimation of wheel-rail friction coefficient using deep CNN on axlebox accelerations,10.1016/j.ymssp.2025.112756,Mechanical Systems and Signal Processing
paper-2710,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Combustible-gas detection predicts gas concentrations/leaks for safety; physical asset fault or repair target is unclear.,yes,A Wireless Sensor Network-Based Combustible Gas Detection System Using PSO-DBO-Optimized BP Neural Network,10.3390/s25103151,Sensors
