removed_at,corpus_id,pdf_path,civil_reason_category,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:34:49,paper-0318,extraction_papers\paper-0318_urban_water_leakage_detection_system_over_dark_fiber_networks_based_on_distributed_acoustic.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,urban water network leakage monitoring,Urban Water Leakage Detection System over Dark Fiber Networks Based on Distributed Acoustic Sensing and Sparse Autoencoders,10.3390/s26072152
2026-06-11T14:34:49,paper-0362,extraction_papers\paper-0362_a_hybrid_physics_based_and_ai_enabled_framework_for_mine_road_infrastructure_maintenance_usi.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,mine haul road condition monitoring,A Hybrid Physics-Based and AI-Enabled Framework for Mine Road Infrastructure Maintenance Using Inertial Sensors,10.3390/su18094402
2026-06-11T14:34:49,paper-0395,extraction_papers\paper-0395_development_and_validation_of_a_cloud_based_road_surface_condition_monitoring_framework_usin.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,road surface condition monitoring,Development and Validation of a Cloud-Based Road Surface Condition Monitoring Framework using Citizen-Sourced Smartphone Sensor Data in the Philippines,10.5815/ijem.2026.02.13
2026-06-11T14:34:49,paper-0470,extraction_papers\paper-0470_active_digital_twins_via_active_inference.pdf,other_nonmaintenance,other_nonmaintenance,medium,generic active digital twin method,Active digital twins via active inference,10.1016/j.engappai.2026.114519
2026-06-11T14:34:49,paper-0472,extraction_papers\paper-0472_bayesian_multivariate_track_geometry_degradation_modeling_and_its_use_in_condition_based_ins.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,track geometry degradation,Bayesian multivariate track geometry degradation modeling and its use in condition-based inspection,10.1007/s40534-025-00394-4
2026-06-11T14:34:49,paper-0485,extraction_papers\paper-0485_automated_prognostics_and_diagnostics_of_highspeed_railway_faults_using_machine_learning_app.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,railway network fault prediction,Automated prognostics and diagnostics of highspeed railway faults using machine learning approaches,10.1016/j.treng.2026.100438
2026-06-11T14:34:49,paper-0556,extraction_papers\paper-0556_detecting_rail_surface_contaminants_using_a_combined_short_time_fourier_transform_and_convol.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface contaminant detection,Detecting Rail Surface Contaminants Using a Combined Short-Time Fourier Transform and Convolutional Neural Network Approach,10.3390/modelling7010035
2026-06-11T14:34:49,paper-0609,extraction_papers\paper-0609_automating_signal_synchronization_for_enhanced_track_monitoring_in_turnouts.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,turnout track monitoring,Automating Signal Synchronization for Enhanced Track Monitoring in Turnouts,10.3390/app16010223
2026-06-11T14:34:49,paper-0650,extraction_papers\paper-0650_a_comparison_of_connected_vehicle_roughness_and_traditional_pavement_condition_index.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,pavement condition comparison,A Comparison of Connected-Vehicle Roughness and Traditional Pavement Condition Index,10.3390/futuretransp6010047
2026-06-11T14:34:49,paper-0687,extraction_papers\paper-0687_high_precision_point_cloud_registration_for_long_span_bridges_based_on_iterative_closest_sur.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,long-span bridge point clouds,High-Precision Point Cloud Registration for Long-Span Bridges Based on Iterative Closest-Surface Method,10.3390/buildings16030495
2026-06-11T14:34:49,paper-0707,extraction_papers\paper-0707_bridge_health_monitoring_and_assessment_in_industry_5_0_lessons_learned_from_long_term_real.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,highway bridge monitoring,Bridge Health Monitoring and Assessment in Industry 5.0: Lessons Learned from Long-Term Real-Time Field Monitoring of Highway Bridges,10.3390/infrastructures11020055
2026-06-11T14:34:49,paper-0768,extraction_papers\paper-0768_ai_based_automated_visual_condition_assessment_of_municipal_road_infrastructure_using_high_r.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,municipal road condition assessment,AI-Based Automated Visual Condition Assessment of Municipal Road Infrastructure Using High-Resolution 3D Street-Level Imagery,10.3390/infrastructures11030090
2026-06-11T14:34:49,paper-0806,extraction_papers\paper-0806_research_on_automatic_recognition_and_dimensional_quantification_of_surface_cracks_in_tunnel.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,tunnel surface crack detection,Research on Automatic Recognition and Dimensional Quantification of Surface Cracks in Tunnels Based on Deep Learning,10.3390/modelling7010004
2026-06-11T14:34:49,paper-0850,extraction_papers\paper-0850_a_probability_based_risk_assessment_model_for_the_sustainable_management_of_urban_wastewater.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,urban sewer network risk,A Probability-Based Risk Assessment Model for the Sustainable Management of Urban Wastewater Collection Systems,10.3390/w18060737
2026-06-11T14:34:49,paper-0872,extraction_papers\paper-0872_mechanisms_of_fouled_railway_ballast_deterioration_under_freeze_thaw_and_cyclic_loading_impl.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,railway ballast deterioration,Mechanisms of Fouled Railway Ballast Deterioration Under Freeze–Thaw and Cyclic Loading: Implications for Sustainable Maintenance in Seasonal Frozen Regions,10.3390/su18062808
2026-06-11T14:34:49,paper-0879,extraction_papers\paper-0879_optimal_condition_based_maintenance_of_asphalt_concrete_pavement_systems.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,asphalt pavement maintenance,Optimal condition-based maintenance of asphalt-concrete pavement systems,10.1080/14680629.2025.2501713
2026-06-11T14:34:49,paper-0890,extraction_papers\paper-0890_real_world_application_of_non_destructive_pavement_health_monitoring_sensors.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,pavement health monitoring,Real-World Application of Non-Destructive Pavement Health Monitoring Sensors,10.3390/s26030899
2026-06-11T14:34:49,paper-0904,extraction_papers\paper-0904_digitalization_and_automation_of_runway_inspection_using_unmanned_aerial_vehicles.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,runway pavement inspection,Digitalization and Automation of Runway Inspection Using Unmanned Aerial Vehicles,10.3390/s26041100
2026-06-11T14:34:49,paper-0947,extraction_papers\paper-0947_data_driven_prediction_of_punchout_occurrence_in_crcp_using_an_optimized_gradient_boosting_m.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,concrete pavement punchout prediction,Data-Driven Prediction of Punchout Occurrence in CRCP Using an Optimized Gradient Boosting Model,10.3390/modelling7010038
2026-06-11T14:34:49,paper-0948,extraction_papers\paper-0948_near_future_prediction_of_pipe_failures_in_water_supply_networks_a_key_determinant_for_water.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,Water pipe network renewal is civil utility infrastructure,Near-future prediction of pipe failures in water supply networks: a key determinant for water pipe renewal policies through a machine learning approach,10.1007/s13201-025-02738-1
2026-06-11T14:34:49,paper-1005,extraction_papers\paper-1005_integrating_self_healing_materials_and_internet_of_things_for_enhanced_infrastructure_durabi.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Self healing concrete asphalt and civil infrastructure durability,Integrating Self-Healing Materials and Internet of Things for Enhanced Infrastructure Durability and Sustainability,10.15866/irece.v17i1.27546
2026-06-11T14:34:49,paper-1011,extraction_papers\paper-1011_evolution_of_isolated_heaving_defects_for_vertical_rail_displacements_a_multi_disciplinary_s.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track heaving and vertical displacement defects,Evolution of isolated heaving defects for vertical rail displacements: a multi-disciplinary study,10.1080/23248378.2025.2469302
2026-06-11T14:34:49,paper-1051,extraction_papers\paper-1051_predictive_modeling_of_track_quality_index_with_neural_networks.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track quality index prediction,PREDICTIVE MODELING OF TRACK QUALITY INDEX WITH NEURAL NETWORKS,10.5937/jaes0-60022
2026-06-11T14:34:49,paper-1054,extraction_papers\paper-1054_a_hybrid_fuzzy_logic_and_artificial_neural_network_approach_for_engineering_structure_condit.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge condition assessment,A Hybrid Fuzzy Logic and Artificial Neural Network Approach for Engineering Structure Condition Assessment Based on Long-Term Inspection Data,10.3390/app16020794
2026-06-11T14:34:49,paper-1133,extraction_papers\paper-1133_deep_learning_models_for_asphalt_material_behavior_analysis_under_smart_city_iot_infrastruct.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt pavement deterioration prediction,Deep learning models for asphalt material behavior analysis under smart city IoT infrastructures,10.1007/s43926-025-00253-y
2026-06-11T14:34:49,paper-1138,extraction_papers\paper-1138_modeling_switch_rail_wear_using_laser_profilometry_for_predictive_maintenance.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Switch rail and turnout wear prediction,Modeling switch rail wear using laser profilometry for predictive maintenance,10.12913/22998624/211838
2026-06-11T14:34:49,paper-1152,extraction_papers\paper-1152_learning_road_degradation_with_asphalt_integrated_sensor_fabric.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt road degradation monitoring,Learning road degradation with asphalt-integrated sensor fabric,10.1007/s41062-025-02415-x
2026-06-11T14:34:49,paper-1168,extraction_papers\paper-1168_implementation_of_an_ai_based_predictive_structural_health_monitoring_strategy_for_bonded_in.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway insulated rail joint track monitoring,Implementation of an AI-based predictive structural health monitoring strategy for bonded insulated rail joints using digital twins under varied bolt conditions,10.1007/s40534-024-00371-3
2026-06-11T14:34:49,paper-1200,extraction_papers\paper-1200_optimizing_3d_laser_scanning_parameters_for_early_stage_defect_detectability_in_subgrade_con.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Highway embankment subgrade condition monitoring,Optimizing 3D Laser Scanning Parameters for Early-Stage Defect Detectability in Subgrade Condition Monitoring,10.3390/s25237174
2026-06-11T14:34:49,paper-1251,extraction_papers\paper-1251_texture_based_image_analysis_and_explainable_machine_learning_for_polished_asphalt_identific.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Asphalt pavement polished surface monitoring,Texture-based image analysis and explainable machine learning for polished asphalt identification in pavement condition monitoring,10.1038/s41598-025-27203-6
2026-06-11T14:34:49,paper-1298,extraction_papers\paper-1298_a_comprehensive_data_driven_approach_to_estimate_track_longitudinal_level_from_inertial_meas.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track longitudinal level estimation,A comprehensive data-driven approach to estimate track longitudinal level from inertial measurements,10.1007/s40534-026-00427-6
2026-06-11T14:34:49,paper-1314,extraction_papers\paper-1314_an_integrated_machine_learning_based_framework_for_road_roughness_severity_classification_an.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Road roughness and pavement maintenance,An Integrated Machine Learning-Based Framework for Road Roughness Severity Classification and Predictive Maintenance Planning in Urban Transportation System,10.3390/app152412916
2026-06-11T14:34:49,paper-1345,extraction_papers\paper-1345_predictive_maintenance_of_railway_tracks_using_sparse_time_series_and_health_state_based_rul.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track RUL and TQI modeling,Predictive maintenance of railway tracks using sparse time-series and health state-based RUL modeling,10.1186/s44147-025-00842-2
2026-06-11T14:34:49,paper-1353,extraction_papers\paper-1353_a_real_time_multi_scale_feature_pyramid_yolo_architecture_for_accurate_and_deployment_effici.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Road and pavement damage detection,A Real-Time Multi-Scale Feature Pyramid YOLO Architecture for Accurate and Deployment-Efficient Road Damage Detection,10.14569/IJACSA.2026.0170350
2026-06-11T14:34:49,paper-1442,extraction_papers\paper-1442_configuring_taiwan_s_highway_bridge_performance_indicator_a_semi_quantitative_risk_assessmen.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Highway bridge risk indicator,Configuring Taiwan’s highway bridge performance indicator: a semi-quantitative risk assessment approach,10.1080/15732479.2024.2322540
2026-06-11T14:34:49,paper-1462,extraction_papers\paper-1462_named_entity_recognition_model_for_bridge_inspection_report_with_multi_features_fusion_and_c.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge inspection report extraction,Named entity recognition model for bridge inspection report with multi-features fusion and correction method,10.1177/13694332261452281
2026-06-11T14:34:49,paper-1506,extraction_papers\paper-1506_digital_twin_driven_strategic_demolition_plan_for_circular_asset_management_of_bridge_infras.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge infrastructure demolition asset management,Digital twin-driven strategic demolition plan for circular asset management of bridge infrastructures,10.1038/s41598-025-94117-8
2026-06-11T14:34:49,paper-1516,extraction_papers\paper-1516_bidirectional_long_short_term_memory_approach_for_infrastructure_health_monitoring_using_on.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway infrastructure stiffness monitoring,Bidirectional Long Short-Term Memory Approach for Infrastructure Health Monitoring Using On-Board Vibration Response,10.1177/03611981251342236
2026-06-11T14:34:49,paper-1560,extraction_papers\paper-1560_space_based_long_term_condition_monitoring_of_cold_region_pavement_with_ps_insar.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Cold region pavement elevation monitoring,Space-based long term condition monitoring of cold region pavement with PS-InSAR,10.1186/s43065-024-00110-2
2026-06-11T14:34:49,paper-1563,extraction_papers\paper-1563_data_driven_condition_monitoring_of_fixed_turnout_frogs_using_standard_track_recording_car_m.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway turnout frog condition monitoring,Data-Driven Condition Monitoring of Fixed-Turnout Frogs Using Standard Track Recording Car Measurements,10.3390/app152011122
2026-06-11T14:34:49,paper-1564,extraction_papers\paper-1564_evaluation_study_of_pavement_condition_using_digital_twins_and_deep_learning_on_imu_signals.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Pavement condition assessment,Evaluation Study of Pavement Condition Using Digital Twins and Deep Learning on IMU Signals,10.3390/fi17100436
2026-06-11T14:34:49,paper-1570,extraction_papers\paper-1570_ai_ladder_based_intelligent_enterprise_resource_planning_for_predictive_railway_track_mainte.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track maintenance from imagery,AI Ladder-Based Intelligent Enterprise Resource Planning for Predictive Railway Track Maintenance from UAV Imagery,10.18280/mmep.121023
2026-06-11T14:34:49,paper-1571,extraction_papers\paper-1571_deep_learning_based_back_projection_parameter_estimation_for_quantitative_defect_assessment.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,Water pipeline defect assessment for urban infrastructure,Deep Learning-Based Back-Projection Parameter Estimation for Quantitative Defect Assessment in Single-Framed Endoscopic Imaging of Water Pipelines,10.3390/math13203291
2026-06-11T14:34:49,paper-1603,extraction_papers\paper-1603_interlayer_mechanical_behavior_in_crts_ii_slab_ballastless_tracks_under_vertical_loading.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Ballastless track slab interlayer mechanics,Interlayer Mechanical Behavior in CRTS II Slab Ballastless Tracks Under Vertical Loading,10.3390/app152413058
2026-06-11T14:34:49,paper-1607,extraction_papers\paper-1607_geometric_condition_assessment_of_traffic_signs_leveraging_sequential_video_log_images_and_p.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Traffic sign roadway asset condition assessment,Geometric Condition Assessment of Traffic Signs Leveraging Sequential Video-Log Images and Point-Cloud Data,10.3390/rs17244061
2026-06-11T14:34:49,paper-1645,extraction_papers\paper-1645_event_tree_analysis_for_risk_based_assessment_of_digitalised_condition_based_maintenance_in.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,Railway infrastructure CBM risk analysis,Event tree analysis for risk-based assessment of digitalised condition-based maintenance in railway,10.1007/s13198-025-02858-6
2026-06-11T14:34:49,paper-1646,extraction_papers\paper-1646_distress_level_prediction_of_pavement_deterioration_with_causal_analysis_and_uncertainty_qua.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Pavement distress deterioration prediction,Distress-Level Prediction of Pavement Deterioration with Causal Analysis and Uncertainty Quantification,10.3390/app152011250
2026-06-11T14:34:49,paper-1674,extraction_papers\paper-1674_an_unsupervised_learning_approach_to_predict_the_deterioration_of_aging_bridges_using_inspec.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge deterioration prediction,An unsupervised learning approach to predict the deterioration of aging bridges using inspection data,10.1002/suco.70046
2026-06-11T14:34:49,paper-1680,extraction_papers\paper-1680_vehicle_as_a_sensor_approach_for_urban_track_anomaly_detection.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Urban tram track anomaly detection,Vehicle-as-a-Sensor Approach for Urban Track Anomaly Detection,10.3390/s25216679
2026-06-11T14:34:49,paper-1695,extraction_papers\paper-1695_recognition_method_of_bridge_apparent_defects_based_on_image_processing_and_improved_convolu.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge defect recognition,Recognition method of bridge apparent defects based on image processing and improved convolutional neural networks,10.1371/journal.pone.0335446
2026-06-11T14:34:49,paper-1717,extraction_papers\paper-1717_colour_coded_bim_models_for_corrosion_severity_assessment_in_steel_bridges.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Steel bridge corrosion severity assessment,Colour-Coded BIM Models for Corrosion Severity Assessment in Steel Bridges,10.3390/civileng6040067
2026-06-11T14:34:49,paper-1729,extraction_papers\paper-1729_gan_based_data_augmentation_of_time_series_for_fault_diagnosis_in_railway_track.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track fault diagnosis,GAN-based data augmentation of time series for fault diagnosis in railway track,10.1007/s40534-025-00396-2
2026-06-11T14:34:49,paper-1754,extraction_papers\paper-1754_balancing_efficiency_and_cost_a_technical_and_economic_analysis_of_condensed_maintenance.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway track tamping and behavior prediction,Balancing Efficiency and Cost: A Technical and Economic Analysis of Condensed Maintenance,10.3390/app152111688
2026-06-11T14:34:49,paper-1773,extraction_papers\paper-1773_road_surface_state_change_detection_based_on_binocular_vision_for_autonomous_driving_system.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Road surface state and pavement damage detection,Road Surface State Change Detection Based on Binocular Vision for Autonomous Driving System,10.1145/3757920
2026-06-11T14:34:49,paper-1815,extraction_papers\paper-1815_leveraging_artificial_intelligence_for_predictive_maintenance_and_condition_rating_of_off_sy.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Bridge condition rating prediction,Leveraging Artificial Intelligence for Predictive Maintenance and Condition Rating of Off-System Bridges,10.3390/app152111301
2026-06-11T14:34:49,paper-1867,extraction_papers\paper-1867_state_evaluation_of_wheel_rail_force_in_high_speed_railway_turnouts_based_on_multivariate_an.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway turnout wheel rail force state evaluation,State Evaluation of Wheel–Rail Force in High-Speed Railway Turnouts Based on Multivariate Analysis and Unsupervised Clustering,10.3390/app152211934
2026-06-11T14:34:49,paper-1883,extraction_papers\paper-1883_identification_of_railway_vertical_track_alignment_via_the_unknown_input_observer.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,Railway vertical track alignment identification,Identification of Railway Vertical Track Alignment via the Unknown Input Observer †,10.3390/app152111332
2026-06-11T14:34:49,paper-1948,extraction_papers\paper-1948_efficient_crack_and_surface_type_recognition_via_cnn_block_development_mechanism_and_edge_pr.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,concrete plaster and wall crack classification,Efficient crack and surface-type recognition via CNN-block development mechanism and edge profiling,10.1038/s41598-025-25956-8
2026-06-11T14:34:49,paper-1953,extraction_papers\paper-1953_a_numerical_simulation_study_on_vertical_vibration_response_for_rail_squat_detection_with_a.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,rail squat and track condition monitoring,A Numerical Simulation Study on Vertical Vibration Response for Rail Squat Detection with a Train in Regular Traffic,10.3390/infrastructures10110313
2026-06-11T14:34:49,paper-1967,extraction_papers\paper-1967_estimation_of_railway_track_vertical_alignment_using_instrumented_wheelsets_and_contact_forc.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,railway track vertical alignment monitoring,Estimation of Railway Track Vertical Alignment Using Instrumented Wheelsets and Contact Force Recordings †,10.3390/machines13100963
2026-06-11T14:34:49,paper-1969,extraction_papers\paper-1969_intelligent_condition_monitoring_of_high_formwork_support_systems_a_hybrid_fem_deep_learning.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,construction formwork support structural monitoring,Intelligent Condition Monitoring of High-Formwork Support Systems: A Hybrid FEM-Deep Learning Approach with Large Language Model Integration,10.1177/00368504251393791
2026-06-11T14:34:49,paper-1971,extraction_papers\paper-1971_investigation_of_the_transferability_of_measured_data_for_application_of_yolov8s_in_the_iden.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,road defect detection,Investigation of the Transferability of Measured Data for Application of YOLOv8s in the Identification of Road Defects: An SA-Indian Case Study,10.3390/su172310641
2026-06-11T14:34:49,paper-2069,extraction_papers\paper-2069_holistic_benefit_cost_analysis_of_bridge_seismic_retrofitting_coupled_with_artificial_intell.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,bridge seismic retrofitting and deterioration,Holistic Benefit–Cost Analysis of Bridge Seismic Retrofitting Coupled with Artificial Intelligence-Based Decision Policy,10.1177/03611981251328984
2026-06-11T14:34:49,paper-2076,extraction_papers\paper-2076_evaluation_of_connected_vehicle_pavement_roughness_data_for_statewide_needs_assessment.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,pavement roughness monitoring,Evaluation of Connected Vehicle Pavement Roughness Data for Statewide Needs Assessment,10.3390/infrastructures10090248
2026-06-11T14:34:49,paper-2085,extraction_papers\paper-2085_machine_learning_based_highway_pavement_performance_prediction_in_xinjiang.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,highway pavement performance prediction,Machine Learning-Based Highway Pavement Performance Prediction in Xinjiang,10.3390/infrastructures10070189
2026-06-11T14:34:49,paper-2127,extraction_papers\paper-2127_predicting_pavement_cracking_performance_using_laser_scanning_and_geocomplexity_enhanced_mac.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,pavement crack deterioration prediction,Predicting pavement cracking performance using laser scanning and geocomplexity-enhanced machine learning,10.1111/mice.13489
2026-06-11T14:34:49,paper-2132,extraction_papers\paper-2132_a_mathematical_methodology_for_the_detection_of_rail_corrugation_based_on_acoustic_analysis.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,rail corrugation track defect detection,A Mathematical Methodology for the Detection of Rail Corrugation Based on Acoustic Analysis: Toward Autonomous Operation,10.3390/math13172815
2026-06-11T14:34:49,paper-2169,extraction_papers\paper-2169_physics_guided_modeling_and_parameter_inversion_for_complex_engineering_scenarios_with_appli.pdf,civil_geotechnical_infrastructure,environment_natural_system,medium,rail infrastructure and well deformation monitoring,Physics-Guided Modeling and Parameter Inversion for Complex Engineering Scenarios: With Applications in Horizontal Wells and Rail Infrastructure Monitoring,10.3390/sym17081334
2026-06-11T14:34:49,paper-2191,extraction_papers\paper-2191_enhancing_railway_safety_in_indonesia_a_data_driven_approach_to_track_irregularity_detection.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,railway track irregularity detection,Enhancing Railway Safety in Indonesia: A Data-Driven Approach to Track Irregularity Detection using In-Service Train Accelerometers,10.18280/isi.300901
2026-06-11T14:34:49,paper-2220,extraction_papers\paper-2220_regional_scale_bridge_condition_monitoring_using_insar_displacements_and_environmental_data.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,bridge condition monitoring,Regional-scale bridge condition monitoring using InSAR displacements and environmental data,10.1177/14759217241302369
2026-06-11T14:34:49,paper-2243,extraction_papers\paper-2243_managing_and_predicting_the_condition_of_paved_road_network_in_finland_essential_technical_i.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,paved road network condition management,MANAGING AND PREDICTING THE CONDITION OF PAVED ROAD NETWORK IN FINLAND: ESSENTIAL TECHNICAL INFORMATION,10.7250/bjrbe.2025-20.658
2026-06-11T14:34:49,paper-2279,extraction_papers\paper-2279_hybrid_gaussian_process_regression_models_for_accurate_prediction_of_carbonation_induced_ste.pdf,civil_geotechnical_infrastructure,environment_natural_system,high,cementitious mortar corrosion prediction,Hybrid Gaussian Process Regression Models for Accurate Prediction of Carbonation-Induced Steel Corrosion in Cementitious Mortars,10.3390/buildings15142464
