id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-2244,medium,business_contract_risk,review_keep,Sensor data are used mainly for service-contract maintenance risk/cost assessment; asset-health decision support is secondary.,The use of IoT sensor data to dynamically assess maintenance risk in service contracts
paper-2247,medium,grid_protection_testing,review_exclude,Protective-relay wavelet runtime testing targets grid stability and transient protection rather than a maintenance or asset-health decision.,Evaluating wavelet decomposition techniques in protective relays under continuous run-time simulated operation
paper-2250,medium,cybersecurity_transport_framework,review_keep,"Quantum-secure VANET architecture includes vehicle fault detection, but cybersecurity/communication design dominates the PdM content.",Quantum-Secure Predictive Maintenance Framework for Future VANET-Based Smart Transportation Systems
paper-2263,low,reliability_testing_not_pdm,review_keep,Automated life-cycle testing of caster-wheel brakes provides reliability/QA insight rather than a predictive maintenance model.,Development of A PLC-Based Automated Test System for The Life Cycle Evaluation of The Caster Wheel Brake Mechanisms in Medical Devices
paper-2275,high,equipment_design_incidental_pdm,review_exclude,"High-current rectifier design for metal recycling; predictive maintenance appears as a built-in feature, not the research focus.",Development and Design Of a 4000 Amp DC Rectifier for Industrial Metal Scrapping
paper-2286,medium,maintenance_execution_not_pdm,review_exclude,"Mill-relining manipulator path planning supports maintenance execution and safety, not prediction of asset condition or maintenance need.",Digital Twin System for Mill Relining Manipulator Path Planning Simulation
paper-2290,high,civil_water_infrastructure,review_exclude,Water transmission-line failure-risk and rehabilitation planning is civil water infrastructure despite maintenance-planning language.,Risk-Based Water Pipe Failure Prediction through Machine Learning and Hydraulic Models
paper-2295,medium,measurement_method_track_rolling_stock,review_exclude,Smartphone acceleration study focuses on ride comfort and possible future track/rolling-stock monitoring; no actual PdM task is performed.,The Application of Mobile Devices for Measuring Accelerations in Rail Vehicles: Methodology and Field Research Outcomes in Tramway Transport
paper-2309,medium,operational_abort_policy,review_exclude,"Mission-abort policy uses alarms to protect a UAV mission, but the decision is operational safety rather than inspection/repair/replacement maintenance.",Mission Abort Policy Considering Imperfect Alarms and Two Abort Options
paper-2360,medium,human_factors_dss,review_keep,Selects AI decision-support systems for prognostics using user preferences; meta/organizational focus rather than direct asset PdM.,Decision factors for the selection of AI-based decision support systems—The case of task delegation in prognostics
paper-2387,high,civil_water_infrastructure,review_exclude,Theoretical passive-assessment model for water pipeline networks; no electromechanical asset or maintenance decision is demonstrated.,Extended theoretical model for water pipeline passive assessment using ambient noise correlation
paper-2399,medium,generic_material_damage_detection,review_exclude,Microscopic corrosion detection for generic ferrous-metal parts; predictive maintenance is only a broad industrial implication.,"Surface Corrosion Detection for Ferrous-metal Parts: Application of Artificial Intelligence, Python and Microscopic Images"
paper-2409,low,sensor_instrumentation_only,review_keep,Low-cost torque-sensing proof of concept for drivetrain shafts; PdM use is potential rather than an evaluated diagnostic/prognostic task.,A Low-Cost IoT-Based Bidirectional Torque Measurement System with Strain Gauge Technology
paper-2413,medium,enabling_sensor_communication,review_exclude,Through-metal communication for batteryless sensors enables SHM/PdM data collection but contains no asset condition model and also invokes civil infrastructure.,Wideband Communication with Batteryless Sensors Embedded in Metal Structures
paper-2415,medium,business_context_asset_pdm,review_keep,"Pandemic/SME decision-support framing is business-oriented, though the application remains asset predictive maintenance.",Artificial intelligence-based human-centric decision support framework: an application to predictive maintenance in asset management under pandemic environments
paper-2419,high,generic_sensor_characterization,review_exclude,"Piezoelectric strain-sensor characterization lacks a specific asset, fault, degradation mechanism, or maintenance decision.",Piezoelectric sensor characterization for structural strain measurements
paper-2437,high,civil_infrastructure_generic_ai,review_exclude,GenAI opportunities paper for water distribution networks is broad utility management; PdM is only one possible application.,Making waves: Generative artificial intelligence in water distribution networks: Opportunities and challenges
paper-2440,low,vr_planning_weak_pdm,review_keep,"VR/AI live-line distribution-network simulation includes fault prediction and scheduling, but design visualization/planning is the main contribution.",Improving transmission systems through virtual reality modeling and simulation to enhance design visualization
paper-2474,low,inspection_vegetation_infrastructure,review_keep,"Transmission-line laser inspection and vegetation/sag monitoring support O&M, but the work is inspection automation rather than predictive maintenance.",Research on Power Laser Inspection Technology Based on High-Precision Servo Control System
paper-2479,low,design_prototyping_lifecycle,review_keep,Crusher-blade digital replica focuses on sustainable design/prototyping; condition-based maintenance use is prospective.,Sustainable Design and Lifecycle Prediction of Crusher Blades Through a Digital Replica-Based Predictive Prototyping Framework and Data-Efficient Machine Learning
