id,update_decision,new_reason_category,confidence,notes
paper-0573,keep,still_relevant_physical_asset_maintenance,high,C-MAPSS RUL PHM modeling
paper-0574,keep,still_relevant_physical_asset_maintenance,high,Grinding mill wear monitoring for PdM
paper-0575,newly_exclude,generic_nonmaintenance,high,Generic Weibull PdM method lacks asset case
paper-0578,newly_exclude,generic_nonmaintenance,medium,Generic IoT reliability model lacks asset case
paper-0585,newly_exclude,generic_nonmaintenance,medium,Generic deformation sensor lacks maintenance asset
paper-0587,newly_exclude,heritage_culture_building,high,Facilities appliance classification lacks maintenance focus
paper-0588,keep,still_relevant_physical_asset_maintenance,medium,DC motor thermal condition monitoring
paper-0590,keep,still_relevant_physical_asset_maintenance,high,Pneumatic conveying predictive maintenance
paper-0591,keep,still_relevant_physical_asset_maintenance,high,RUL estimation for maintenance planning
paper-0593,keep,still_relevant_physical_asset_maintenance,high,Induction motor diagnostic denoising for fault monitoring
paper-0598,keep,still_relevant_physical_asset_maintenance,high,Submarine cable strain monitoring for operational reliability
paper-0602,keep,still_relevant_physical_asset_maintenance,high,Industrial batch process decision support includes maintenance planning
paper-0604,keep,still_relevant_physical_asset_maintenance,high,Ship hull damage monitoring for condition based maintenance
paper-0612,keep,still_relevant_physical_asset_maintenance,high,Vehicle HVAC field failures inform maintenance interventions
paper-0627,keep,still_relevant_physical_asset_maintenance,medium,Access control supports collaborative machinery predictive maintenance
paper-0631,keep,still_relevant_physical_asset_maintenance,high,Digital twin failure data generation for PHM models
paper-0632,keep,still_relevant_physical_asset_maintenance,high,Industrial machinery and engine failure and RUL prediction
paper-0634,newly_exclude,generic_structural_material,high,Pipeline material corrosion study lacks maintenance decision
paper-0638,keep,still_relevant_physical_asset_maintenance,high,Automotive manufacturing predictive maintenance implementation study
paper-0643,keep,still_relevant_physical_asset_maintenance,high,Composite joint fatigue RUL supports SHM
paper-0645,keep,still_relevant_physical_asset_maintenance,high,EV battery enclosure temperature prediction supports condition monitoring
paper-0649,keep,still_relevant_physical_asset_maintenance,high,Aerospace composite health indicators enable PHM maintenance
paper-0652,keep,still_relevant_physical_asset_maintenance,high,Optical network amplifier failure prediction for proactive maintenance
paper-0656,newly_exclude,generic_nonmaintenance,medium,Production state monitoring lacks maintenance focus
paper-0659,keep,still_relevant_physical_asset_maintenance,high,5G radio link failure prediction supports reliability
paper-0672,keep,still_relevant_physical_asset_maintenance,medium,Wind turbine bearing temperature virtual sensing
paper-0674,newly_exclude,generic_nonmaintenance,medium,Milling chatter detection targets process quality not maintenance
paper-0687,keep,still_relevant_physical_asset_maintenance,medium,Bridge point cloud registration supports condition monitoring
paper-0691,newly_exclude,heritage_culture_building,high,Architectural heritage conservation is excluded
paper-0692,keep,still_relevant_physical_asset_maintenance,high,Aeronautical structure health indicators for condition based maintenance
paper-0696,keep,still_relevant_physical_asset_maintenance,medium,Switchgear temperature reconstruction supports equipment condition monitoring
paper-0697,keep,still_relevant_physical_asset_maintenance,high,Nuclear protection component RUL for predictive maintenance
paper-0698,keep,still_relevant_physical_asset_maintenance,high,Building HVAC equipment predictive maintenance and diagnostics
paper-0713,keep,still_relevant_physical_asset_maintenance,high,Gearbox vibration fault detection for predictive maintenance
paper-0715,keep,still_relevant_physical_asset_maintenance,high,Working machine structure fault detection and diagnosis
paper-0737,keep,still_relevant_physical_asset_maintenance,medium,Printed crack sensors support structural condition monitoring
paper-0751,keep,still_relevant_physical_asset_maintenance,medium,Federated learning framework targets industrial predictive maintenance
paper-0753,keep,still_relevant_physical_asset_maintenance,medium,Gas turbine vibration prediction supports condition monitoring
paper-0762,newly_exclude,generic_nonmaintenance,medium,Injection molding process monitoring lacks asset maintenance focus
paper-0765,keep,still_relevant_physical_asset_maintenance,high,DC converter telemetry enables condition monitoring
paper-0786,keep,still_relevant_physical_asset_maintenance,high,Refrigeration subsystem fault and RUL management
paper-0788,keep,still_relevant_physical_asset_maintenance,medium,Energy harvesting powers motor predictive maintenance sensors
paper-0795,keep,still_relevant_physical_asset_maintenance,high,Turbofan engine failure prediction for predictive maintenance
paper-0800,keep,still_relevant_physical_asset_maintenance,high,Air handling unit predictive maintenance with FDD
paper-0803,newly_exclude,generic_nonmaintenance,medium,Thermocouple fabrication study lacks maintenance use case
paper-0816,keep,still_relevant_physical_asset_maintenance,high,Rail slab track debonding detection for monitoring
paper-0820,keep,still_relevant_physical_asset_maintenance,high,Freight train subsystem condition monitoring for maintenance
paper-0823,keep,still_relevant_physical_asset_maintenance,medium,Pneumatic seal degradation assessment supports diagnostics
paper-0824,keep,still_relevant_physical_asset_maintenance,high,Renewable asset fault prediction for predictive maintenance
paper-0833,newly_exclude,generic_structural_material,medium,Generic eddy current crack method lacks asset context
paper-0835,keep,still_relevant_physical_asset_maintenance,medium,Nuclear plant digital twin mentions predictive maintenance
paper-0841,keep,still_relevant_physical_asset_maintenance,high,Power electronics reliability RUL and condition monitoring roadmap
paper-0843,keep,still_relevant_physical_asset_maintenance,high,Wind turbine predictive maintenance framework
paper-0845,keep,still_relevant_physical_asset_maintenance,high,Rail grinding surface effects inform maintenance degradation
paper-0847,newly_exclude,heritage_culture_building,medium,Facility structural monitoring is building management
paper-0854,newly_exclude,generic_nonmaintenance,medium,SCADA simulation tool lacks implemented maintenance use case
paper-0863,keep,still_relevant_physical_asset_maintenance,high,Induction motor health monitoring for predictive maintenance
paper-0872,keep,still_relevant_physical_asset_maintenance,high,Railway ballast deterioration informs maintenance planning
paper-0891,keep,still_relevant_physical_asset_maintenance,high,Wind turbine gearbox fault detection with cost aware maintenance
paper-0892,keep,still_relevant_physical_asset_maintenance,medium,Engine deposits and wear analysis supports reliability
paper-0897,newly_exclude,generic_structural_material,high,Marine steel corrosion study lacks asset maintenance context
paper-0913,keep,still_relevant_physical_asset_maintenance,high,Transformer winding deformation informs CBM and fault prediction
paper-0915,keep,still_relevant_physical_asset_maintenance,high,Induction motor simultaneous fault diagnosis
paper-0916,newly_exclude,generic_nonmaintenance,medium,Wind power forecasting lacks asset health monitoring
paper-0918,keep,still_relevant_physical_asset_maintenance,high,Bogie frame fatigue crack RUL assessment
paper-0920,newly_exclude,generic_structural_material,high,Pressure vessel creep mechanics lacks maintenance decision
paper-0926,keep,still_relevant_physical_asset_maintenance,high,Slab track strain reconstruction supports lifecycle monitoring
paper-0929,keep,still_relevant_physical_asset_maintenance,high,Degrading equipment RUL prediction method
paper-0931,keep,still_relevant_physical_asset_maintenance,high,Industrial anomaly detection and failure prediction
paper-0934,keep,still_relevant_physical_asset_maintenance,high,Heavy industry gearbox diagnostic analytics for predictive maintenance
paper-0943,keep,still_relevant_physical_asset_maintenance,high,Power converter lifetime monitoring for reliability and reuse
paper-0947,keep,still_relevant_physical_asset_maintenance,high,Pavement distress prediction supports maintenance management
paper-0948,keep,still_relevant_physical_asset_maintenance,high,Water pipe failure prediction informs renewal policies
paper-0958,newly_exclude,generic_nonmaintenance,high,Abstract queueing maintenance policy lacks physical asset
paper-0967,keep,still_relevant_physical_asset_maintenance,high,Aerospace actuator health management and life extension
paper-0970,keep,still_relevant_physical_asset_maintenance,high,Space station fluid loop PHM and health monitoring
paper-0973,newly_exclude,generic_nonmaintenance,medium,Ship digital twin focuses fuel prediction not maintenance
paper-0976,keep,still_relevant_physical_asset_maintenance,high,Critical IT component predictive maintenance
paper-0981,keep,still_relevant_physical_asset_maintenance,high,Wind turbine prognostics under concept drift
paper-0993,keep,still_relevant_physical_asset_maintenance,medium,Experiment instrumentation monitoring for predictive maintenance
paper-0995,keep,still_relevant_physical_asset_maintenance,medium,Air conditioning compressor vibration virtual sensing for reliability
paper-1002,newly_exclude,generic_nonmaintenance,high,Manufacturing twin focuses supply disruption decisions
paper-1004,newly_exclude,generic_nonmaintenance,medium,Slag flow monitoring targets quality not maintenance
paper-1009,keep,still_relevant_physical_asset_maintenance,high,Electric drive degradation modeling and RUL prediction
paper-1011,keep,still_relevant_physical_asset_maintenance,high,Rail heaving defect prediction enables maintenance prioritization
paper-1014,keep,still_relevant_physical_asset_maintenance,high,Printer fleet predictive maintenance analytics
paper-1015,newly_exclude,generic_structural_material,high,Composite plate deformation twin lacks maintenance use case
paper-1050,keep,still_relevant_physical_asset_maintenance,medium,IIoT automation framework includes predictive maintenance workflows
paper-1057,newly_exclude,generic_nonmaintenance,medium,Wind turbine curve estimation lacks health maintenance focus
paper-1072,keep,still_relevant_physical_asset_maintenance,high,Tunnel ventilation system condition monitoring
paper-1074,keep,still_relevant_physical_asset_maintenance,medium,Voltage transformer insulation degradation and failure mechanism
paper-1077,keep,still_relevant_physical_asset_maintenance,high,Digital twin smart tunnel predictive maintenance system
paper-1094,keep,still_relevant_physical_asset_maintenance,high,Bearing anomaly detection for predictive maintenance
paper-1099,newly_exclude,heritage_culture_building,high,Historical building preventive management is heritage conservation
paper-1100,newly_exclude,generic_nonmaintenance,medium,Pipeline wax deposition study lacks maintenance decision
paper-1102,keep,still_relevant_physical_asset_maintenance,high,Elevator fault diagnosis for safety critical equipment
paper-1103,keep,still_relevant_physical_asset_maintenance,high,Transmission line discharge monitoring prevents tripping
paper-1109,keep,still_relevant_physical_asset_maintenance,high,Water service line failure prediction for asset management
paper-1119,newly_exclude,geotechnical_natural_hazard,high,Rock fracture precursor monitoring is geotechnical
paper-1120,keep,still_relevant_physical_asset_maintenance,high,Urban traffic infrastructure predictive maintenance and anomaly detection
paper-1133,keep,still_relevant_physical_asset_maintenance,high,Asphalt pavement deterioration prediction for predictive maintenance
paper-1135,newly_exclude,generic_structural_material,medium,Insulation nanocomposite aging classification lacks maintenance decision
paper-1143,keep,still_relevant_physical_asset_maintenance,medium,Generic PHM anomaly detection and degradation trend prediction
paper-1146,keep,still_relevant_physical_asset_maintenance,medium,Air conditioner performance monitoring supports diagnostics
paper-1148,keep,still_relevant_physical_asset_maintenance,medium,Industrial IoT predictive maintenance method
paper-1157,keep,still_relevant_physical_asset_maintenance,high,Railway 5G condition monitoring for communication reliability
paper-1162,keep,still_relevant_physical_asset_maintenance,high,Micro machining tool wear condition monitoring
paper-1167,newly_exclude,generic_nonmaintenance,high,Generic accelerated degradation model lacks asset use case
paper-1169,keep,still_relevant_physical_asset_maintenance,high,Hard disk drive failure prediction
paper-1171,keep,still_relevant_physical_asset_maintenance,high,Split air conditioner fault impact supports predictive maintenance
paper-1177,keep,still_relevant_physical_asset_maintenance,medium,Combine harvester V belt failure modeling
paper-1181,keep,still_relevant_physical_asset_maintenance,medium,Bridge concrete crack monitoring under fatigue corrosion
paper-1189,newly_exclude,generic_nonmaintenance,medium,Control data acquisition method lacks maintenance use case
paper-1195,keep,still_relevant_physical_asset_maintenance,medium,Industrial fryer state classification detects maintenance transitions
paper-1202,newly_exclude,generic_nonmaintenance,medium,Floating platform offset monitoring lacks maintenance decision
paper-1203,keep,still_relevant_physical_asset_maintenance,high,Industrial failure prediction for edge predictive maintenance
paper-1209,keep,still_relevant_physical_asset_maintenance,high,Rail pantograph contact force condition monitoring
paper-1213,keep,still_relevant_physical_asset_maintenance,high,Railway fastener tightness monitoring for maintenance
paper-1214,keep,still_relevant_physical_asset_maintenance,medium,Dredger cutter tooth wear modeling
paper-1218,keep,still_relevant_physical_asset_maintenance,medium,Circuit breaker repetitive fault degradation analysis
paper-1221,keep,still_relevant_physical_asset_maintenance,high,Hard disk failure prediction dataset
paper-1224,newly_exclude,generic_structural_material,medium,Printed electronics ink aging lacks asset maintenance use case
paper-1228,keep,still_relevant_physical_asset_maintenance,medium,IPMSM drive modeling supports condition monitoring
paper-1229,newly_exclude,generic_nonmaintenance,medium,Broad smart transport review not maintenance focused
paper-1234,keep,still_relevant_physical_asset_maintenance,high,Sewer network failure prediction for risk based maintenance
paper-1235,keep,still_relevant_physical_asset_maintenance,high,Analog gauge reading supports industrial predictive maintenance
paper-1239,keep,still_relevant_physical_asset_maintenance,high,Railway crack distance estimation for predictive maintenance
paper-1245,keep,still_relevant_physical_asset_maintenance,high,Wind turbine predictive maintenance optimization
paper-1246,keep,still_relevant_physical_asset_maintenance,medium,Aerospace FBG sensing supports structural health monitoring
paper-1255,keep,still_relevant_physical_asset_maintenance,medium,Battery RUL supports storage asset decisions
paper-1260,newly_exclude,generic_nonmaintenance,medium,Quality-control faults not maintenance
paper-1263,keep,still_relevant_physical_asset_maintenance,high,Wind turbine blade fault diagnosis
paper-1265,keep,still_relevant_physical_asset_maintenance,high,EV drive condition monitoring
paper-1272,keep,still_relevant_physical_asset_maintenance,high,Spare parts forecasting supports maintenance planning
paper-1278,keep,still_relevant_physical_asset_maintenance,medium,Battery discharge prognosis supports PHM decisions
paper-1280,newly_exclude,generic_structural_material,high,Pipe erosion model lacks maintenance use-case
paper-1287,keep,still_relevant_physical_asset_maintenance,medium,Printing equipment predictive maintenance framework
paper-1294,keep,still_relevant_physical_asset_maintenance,medium,Quay wall lifecycle asset management
paper-1302,keep,still_relevant_physical_asset_maintenance,high,Aeroengine rotor reliability evaluation
paper-1315,newly_exclude,generic_structural_material,high,Generic concrete crack segmentation only
paper-1316,keep,still_relevant_physical_asset_maintenance,high,Power supply outage diagnostics and forecasting
paper-1321,newly_exclude,generic_nonmaintenance,medium,Metrology error dataset not maintenance
paper-1332,keep,still_relevant_physical_asset_maintenance,high,UAV engine sensing for health management
paper-1335,keep,still_relevant_physical_asset_maintenance,high,Industrial machine failure prediction framework
paper-1346,keep,still_relevant_physical_asset_maintenance,high,Industrial equipment failure prediction
paper-1355,keep,still_relevant_physical_asset_maintenance,medium,Substation equipment anomaly monitoring
paper-1359,keep,still_relevant_physical_asset_maintenance,medium,Packaging line digital twin for maintenance
paper-1360,keep,still_relevant_physical_asset_maintenance,high,Gas turbine failure prediction and planning
paper-1372,keep,still_relevant_physical_asset_maintenance,medium,Intelligent fault diagnosis for predictive maintenance
paper-1378,keep,still_relevant_physical_asset_maintenance,medium,Power grid digital twin maintenance planning
paper-1392,newly_exclude,generic_nonmaintenance,high,Broad printing AI overview
paper-1396,keep,still_relevant_physical_asset_maintenance,medium,Renewable energy systems predictive maintenance
paper-1397,keep,still_relevant_physical_asset_maintenance,medium,Bridge component damage monitoring study
paper-1399,keep,still_relevant_physical_asset_maintenance,high,Robotic drilling tool condition monitoring
paper-1405,newly_exclude,generic_structural_material,medium,Engine bearing simulation for design durability
paper-1407,keep,still_relevant_physical_asset_maintenance,high,Composting plant machinery predictive maintenance
paper-1410,keep,still_relevant_physical_asset_maintenance,high,Waste-to-energy reliability and repairs
paper-1416,keep,still_relevant_physical_asset_maintenance,high,Railway predictive maintenance framework
paper-1420,newly_exclude,geotechnical_natural_hazard,high,Seismic fragility not maintenance
paper-1433,keep,still_relevant_physical_asset_maintenance,high,Industrial sensor anomaly detection
paper-1434,keep,still_relevant_physical_asset_maintenance,high,Sensor battery life maintenance planning
paper-1435,keep,still_relevant_physical_asset_maintenance,medium,Oil condition monitoring method
paper-1437,keep,still_relevant_physical_asset_maintenance,medium,Semiconductor equipment anomaly detection
paper-1438,keep,still_relevant_physical_asset_maintenance,high,PV inverter health monitoring
paper-1443,keep,still_relevant_physical_asset_maintenance,medium,Wind farm cable testing supports service
paper-1447,newly_exclude,other_nonmaintenance,medium,Nuclear process monitoring not maintenance
paper-1448,newly_exclude,generic_nonmaintenance,high,Educational sensor network no asset case
paper-1458,keep,still_relevant_physical_asset_maintenance,high,IIoT predictive maintenance scheduling
paper-1460,newly_exclude,generic_structural_material,high,Tribology wear tester no maintenance decision
paper-1461,keep,still_relevant_physical_asset_maintenance,high,Industrial motor health anomaly detection
paper-1466,keep,still_relevant_physical_asset_maintenance,high,Gearbox fault severity diagnosis
paper-1467,keep,still_relevant_physical_asset_maintenance,medium,Switchgear reliability analysis supports decisions
paper-1474,keep,still_relevant_physical_asset_maintenance,medium,IIoT anomaly maintenance framework
paper-1478,newly_exclude,generic_structural_material,high,Graphene sensor material aging study
paper-1479,newly_exclude,generic_structural_material,high,Carbon fiber material defect inspection only
paper-1480,keep,still_relevant_physical_asset_maintenance,high,Ship engine predictive maintenance scheduling
paper-1482,newly_exclude,heritage_culture_building,medium,Construction maintenance framework no equipment
paper-1486,keep,still_relevant_physical_asset_maintenance,high,Equipment prescriptive maintenance causality
paper-1489,keep,still_relevant_physical_asset_maintenance,high,Automotive bearing fault prediction
paper-1494,keep,still_relevant_physical_asset_maintenance,high,Power line monitoring for predictive maintenance
paper-1495,keep,still_relevant_physical_asset_maintenance,high,Smart farm equipment PHM
paper-1497,keep,still_relevant_physical_asset_maintenance,high,Conveyor belt condition monitoring
paper-1502,keep,still_relevant_physical_asset_maintenance,high,Oil pumping unit condition diagnosis
paper-1506,keep,still_relevant_physical_asset_maintenance,medium,Bridge lifecycle replacement asset management
paper-1521,keep,still_relevant_physical_asset_maintenance,medium,IoT device failure risk maintenance
paper-1536,newly_exclude,generic_structural_material,medium,Steering clearance FEA not maintenance
paper-1538,keep,still_relevant_physical_asset_maintenance,high,Insulator aging assessment for CBM
paper-1539,newly_exclude,generic_structural_material,high,Coating corrosion mechanism study
paper-1544,keep,still_relevant_physical_asset_maintenance,high,Power line failure prediction and restoration
paper-1548,keep,still_relevant_physical_asset_maintenance,high,Railway axle crack detection
paper-1549,keep,still_relevant_physical_asset_maintenance,medium,Vehicle wear monitoring system
paper-1550,keep,still_relevant_physical_asset_maintenance,high,Pipeline blockage detection for maintenance
paper-1553,newly_exclude,generic_structural_material,high,TBC corrosion mechanism study
paper-1555,keep,still_relevant_physical_asset_maintenance,medium,Industrial piping failure root-cause analysis
paper-1557,newly_exclude,generic_structural_material,high,RC slab shear prediction only
paper-1558,keep,still_relevant_physical_asset_maintenance,high,Wind turbine bearing condition monitoring
paper-1560,keep,still_relevant_physical_asset_maintenance,high,Airport pavement condition monitoring
paper-1571,keep,still_relevant_physical_asset_maintenance,high,Water pipeline defect assessment
paper-1573,newly_exclude,heritage_culture_building,high,Smart building control not equipment maintenance
paper-1579,newly_exclude,generic_nonmaintenance,high,Renewable energy AI overview
paper-1580,keep,still_relevant_physical_asset_maintenance,high,Battery storage degradation-aware management
