id,controversy_level,reason_category,recommended_action,brief_reason,title
paper-0108,low,sensor_method_only,review_keep,Presents a hydraulic displacement transducer/demodulation method for control and condition monitoring with no explicit fault or prognostic task.,Digital Demodulation Method and Application of a PWM-Excited Differential Self-Inductive Displacement Transducer
paper-0110,low,generic_structural_materials,review_keep,Generic creep/RUL framework for structural materials; engineered asset or component application is implied rather than specified.,A framework for probabilistic prediction of remaining useful life in structural materials
paper-0113,medium,process_optimization_not_asset_health,review_exclude,"Vibro-separator study optimizes amplitude/flow-rate behavior; predictive maintenance appears mostly as motivation, not a demonstrated asset-health task.",EXPERIMENTAL VALIDATION OF VIBRO SEPARATOR AND ANOVA TECHNIQUE FOR AMPLITUDE
paper-0125,low,safety_parameter_selection,review_keep,"Selects aircraft flight parameters for condition monitoring and risk warning, but maintenance/asset-health outcome is implicit.",A Method for Selecting Key Flight Parameters of Aircraft Based on Dual-Domain Rough Set and Three-Branch Decision
paper-0126,medium,smart_grid_control_emissions,review_exclude,Predicts power-quality disturbances and carbon impacts for grid stability/control rather than maintenance of a specific physical asset.,Adaptive Q-Wavelet Transform and Kalman Filtering for Power Quality Disturbance Prediction and Carbon Emission Impact Analysis in Smart Grids
paper-0162,low,nonindustrial_science_equipment,review_keep,"Forecasts normal telemetry for Cherenkov telescope motors; early anomaly basis is plausible, but maintenance purpose is indirect.",Multivariate time-series forecasting of ASTRI-Horn monitoring data: A Normal Behavior Model
paper-0177,low,pv_performance_optimization,review_keep,"PV supervisory interface emphasizes efficiency, shading, and tilt optimization; diagnostic/maintenance linkage is secondary.",Enhancing Photovoltaic (PV) System Efficiency Through Integrated Inclination Control and I-V Curve-Based Diagnostics
paper-0237,medium,environmental_vibration_study,review_keep,AC motor vibration study mainly characterizes vibration and environmental impact; predictive maintenance is presented as a future/use implication.,EXPERIMENTAL STUDY ON VIBRATION CHARACTERISTICS OF AN AC SYNCHRONOUS MOTOR AND THEIR ENVIRONMENTAL IMPACT
paper-0248,medium,maintenance_execution_not_pdm,review_exclude,"Remote-handling networking supports maintenance/inspection operations in fusion facilities, but it is not predictive maintenance or asset-health prediction.",Remote handling operation for IFMIF-DONES supported by time-sensitive networking
paper-0251,medium,process_temperature_prediction,review_keep,"Extruder nozzle temperature prediction may help avoid clogging/failure, but the study is closer to additive-manufacturing process monitoring.",An ensemble stacking machine learning model for temperature prediction of extruder nozzle in an additive manufacturing process
paper-0275,low,efficiency_monitoring_not_fault,review_keep,Estimates compressor polytropic efficiency from vibration; condition-monitoring relevance is plausible but no fault/degradation prediction is shown.,A measurement method for compressor polytropic efficiency utilising vibrational components induced by electromagnetic excitations
paper-0293,medium,lab_scale_operational_anomaly,review_keep,Lab-scale pipe-flow digital twin detects flow-rate anomalies; predictive-maintenance use for hydro turbines is only prospective.,Digital twin of a pipe conveying fluid: Flow rate anomaly detection and quantification via multi-fidelity Kalman filters and event based cameras signals
paper-0300,medium,operational_control_strategy,review_keep,"Gas-turbine transient performance/control study discusses reliability and FDD, but primary contribution is control strategy rather than maintenance prediction.",Transient performance and control strategy of three shaft variable geometry industrial gas turbines
paper-0358,low,software_tool_only,review_keep,Software library accelerates cyclostationary analysis for condition monitoring but is not itself an asset PdM study.,CycloTorch: A library for GPU accelerated cyclostationary analysis
paper-0431,medium,dataset_only_energy_management,review_exclude,"Industrial electricity dataset is useful for forecasting/control/PdM research, but the paper contains no maintenance task or asset-health model.",High-resolution energy data from a sustainable industrial production area in Karlsruhe
paper-0432,medium,grid_reliability_not_maintenance,review_exclude,"Cascading-failure prediction in AC/DC grids supports outage prevention and system stability, not a clear maintenance or inspection decision.",The research on cascading failure prediction in AC-DC hybrid power grids based on deep learning
paper-0440,high,generic_data_imputation,review_exclude,"Industrial data imputation method is motivated by control/fault detection/PdM, but evaluates missing-value reconstruction rather than asset condition.",An Implicit-Explicit Diffusion Model for Industrial Data Imputation
paper-0447,low,enabling_sensor_harvester,review_keep,Triboelectric harvester powers wireless vibration sensing; it enables monitoring but does not perform asset diagnostics or prognostics.,Compliant mechanism-engineered triboelectric harvester for micro-vibration energy harvesting and wireless sensing
paper-0451,low,parameter_extraction_only,review_keep,"PV module parameter extraction aids characterization/digital twins, but direct fault, degradation, or maintenance decision support is not demonstrated.","Physics-informed hybrid fuzzy-metaheuristic optimization for trustworthy photovoltaic module characterization: Enhancing identifiability, stability, and physical consistency"
