removed_at,corpus_id,pdf_path,screening_reason_category,screening_confidence,screening_notes,title,doi
2026-06-11T14:56:46,paper-0585,extraction_papers\paper-0585_embedded_printing_of_integrated_quantum_dot_waveguide_deformation_sensors.pdf,generic_nonmaintenance_ai_control,medium,Generic deformation sensor lacks maintenance asset,Embedded Printing of Integrated Quantum Dot Waveguide Deformation Sensors,10.3390/s26041160
2026-06-11T14:56:46,paper-0656,extraction_papers\paper-0656_production_system_monitoring_based_on_petri_nets_enhanced_with_multi_source_information.pdf,generic_nonmaintenance_ai_control,medium,Production state monitoring lacks maintenance focus,Production System Monitoring Based on Petri Nets Enhanced with Multi-Source Information,10.3390/s26061785
2026-06-11T14:56:46,paper-0674,extraction_papers\paper-0674_assessment_of_the_effectiveness_and_computational_performance_of_an_innovative_time_domain_c.pdf,generic_nonmaintenance_ai_control,medium,Milling chatter detection targets process quality not maintenance,Assessment of the effectiveness and computational performance of an innovative time-domain chatter detection strategy in milling,10.1007/s00170-026-17604-w
2026-06-11T14:56:46,paper-0803,extraction_papers\paper-0803_advancing_industry_4_0_with_microfabrication_of_k_type_tftcs_on_stainless_steel_316_l_substr.pdf,generic_nonmaintenance_ai_control,medium,Thermocouple fabrication study lacks maintenance use case,"Advancing industry 4.0 with microfabrication of K-type TFTCs on stainless steel 316 L substrates: A study on SiO2 insulation, substrate thickness, and surface roughness optimization",10.1007/s00170-025-17306-9
2026-06-11T14:56:46,paper-0854,extraction_papers\paper-0854_supervisory_monitoring_and_control_using_chemical_process_simulators_and_scada_systems.pdf,generic_nonmaintenance_ai_control,medium,SCADA simulation tool lacks implemented maintenance use case,Supervisory Monitoring and Control Using Chemical Process Simulators and SCADA Systems,10.3390/methane5010008
2026-06-11T14:56:46,paper-0916,extraction_papers\paper-0916_optimized_gdtp_xgboost_framework_for_wind_power_forecasting_toward_condition_based_maintenan.pdf,generic_nonmaintenance_ai_control,medium,Wind power forecasting lacks asset health monitoring,Optimized GDTP-XGBoost Framework for Wind Power Forecasting Toward Condition-Based Maintenance,10.17531/ein/214376
2026-06-11T14:56:46,paper-0958,extraction_papers\paper-0958_optimal_joining_strategy_and_pricing_analysis_in_unreliable_retrial_queues_with_predictive_m.pdf,generic_nonmaintenance_ai_control,high,Abstract queueing maintenance policy lacks physical asset,Optimal joining strategy and pricing analysis in unreliable retrial queues with predictive maintenance,10.1051/ro/2025150
2026-06-11T14:56:46,paper-1004,extraction_papers\paper-1004_an_accelerometer_based_dataset_for_monitoring_slag_in_steel_manufacturing.pdf,generic_nonmaintenance_ai_control,medium,Slag flow monitoring targets quality not maintenance,An accelerometer-based dataset for monitoring slag in steel manufacturing,10.1186/s13104-025-07486-8
2026-06-11T14:56:46,paper-1057,extraction_papers\paper-1057_estimation_of_power_coefficient_curve_from_scada_data_for_digital_twin_applications.pdf,generic_nonmaintenance_ai_control,medium,Wind turbine curve estimation lacks health maintenance focus,Estimation of Power-Coefficient Curve from SCADA Data for Digital-Twin Applications,10.3390/en18246394
2026-06-11T14:56:46,paper-1100,extraction_papers\paper-1100_investigation_of_wax_deposition_aging_rate_for_oil_water_emulsions_using_polyethylene_and_st.pdf,generic_nonmaintenance_ai_control,medium,Pipeline wax deposition study lacks maintenance decision,Investigation of wax deposition aging rate for oil-water emulsions using polyethylene and steel pipes,10.1080/10916466.2025.2498134
2026-06-11T14:56:46,paper-1167,extraction_papers\paper-1167_reliability_modeling_method_for_constant_stress_accelerated_degradation_based_on_the_general.pdf,generic_nonmaintenance_ai_control,high,Generic accelerated degradation model lacks asset use case,Reliability Modeling Method for Constant Stress Accelerated Degradation Based on the Generalized Wiener Process,10.3390/e27121197
2026-06-11T14:56:46,paper-1189,extraction_papers\paper-1189_high_throughput_control_data_acquisition_for_multicore_mcu_based_real_time_control_systems_u.pdf,generic_nonmaintenance_ai_control,medium,Control data acquisition method lacks maintenance use case,High-Throughput Control-Data Acquisition for Multicore MCU-Based Real-Time Control Systems Using Double Buffering over Ethernet,10.3390/electronics15020469
2026-06-11T14:56:46,paper-1260,extraction_papers\paper-1260_claire_compressed_latent_autoencoder_for_industrial_representation_and_evaluation_a_deep_lea.pdf,generic_nonmaintenance_ai_control,medium,Quality-control faults not maintenance,CLAIRE: Compressed Latent Autoencoder for Industrial Representation and Evaluation—A Deep Learning Framework for Smart Manufacturing,10.1109/TSMC.2026.3671163
2026-06-11T14:56:46,paper-1321,extraction_papers\paper-1321_digital_metrology_for_nanoindentation_synthetic_data_generator_for_error_identification.pdf,generic_nonmaintenance_ai_control,medium,Metrology error dataset not maintenance,Digital Metrology for Nanoindentation: Synthetic Data Generator for Error Identification,10.3390/mi16121394
2026-06-11T14:56:46,paper-1392,extraction_papers\paper-1392_ai_in_modern_printing_design_and_production.pdf,generic_nonmaintenance_ai_control,high,Broad printing AI overview,AI IN MODERN PRINTING DESIGN AND PRODUCTION,10.29121/shodhkosh.v6.i1s.2025.6630
2026-06-11T14:56:46,paper-1579,extraction_papers\paper-1579_the_role_of_artificial_intelligence_in_optimising_renewable_energy_systems_for_sustainable_d.pdf,generic_nonmaintenance_ai_control,high,Renewable energy AI overview,The Role of Artificial Intelligence in Optimising Renewable Energy Systems for Sustainable Development,10.37933/nipes/7.4.2025.SI369
2026-06-11T14:56:46,paper-1599,extraction_papers\paper-1599_artificial_intelligence_in_reliability_of_engineering_design_an_overview.pdf,generic_nonmaintenance_ai_control,high,Generic reliability engineering overview,Artificial Intelligence in Reliability of Engineering Design-an Overview,10.37933/nipes/7.4.2025.SI348
2026-06-11T14:56:46,paper-1847,extraction_papers\paper-1847_line_defect_phononic_crystal_structure_for_directional_enhancement_detection_of_weak_acousti.pdf,generic_nonmaintenance_ai_control,high,Generic acoustic sensor no asset case,Line-Defect Phononic Crystal Structure for Directional Enhancement Detection of Weak Acoustic Signals,10.3390/cryst15100907
2026-06-11T14:56:46,paper-1880,extraction_papers\paper-1880_partial_differential_solutions_with_lumped_parameter_model_for_single_phase_transformer_wind.pdf,generic_nonmaintenance_ai_control,medium,Transformer voltage model lacks maintenance decision,Partial Differential Solutions with Lumped Parameter Model for Single Phase Transformer Windings Voltage Distribution,10.17576/jkukm-2025-37(7)-31
2026-06-11T14:56:46,paper-1958,extraction_papers\paper-1958_data_recovery_methods_for_sensor_data_in_water_distribution_systems_based_on_spatiotemporal.pdf,generic_nonmaintenance_ai_control,medium,Sensor data recovery not maintenance prediction,Data Recovery Methods for Sensor Data in Water Distribution Systems Based on Spatiotemporal Redundancy,10.3390/w17213082
2026-06-11T14:56:46,paper-2171,extraction_papers\paper-2171_a_deep_learning_framework_for_enhancing_high_frequency_optical_fiber_vibration_sensing_from.pdf,generic_nonmaintenance_ai_control,medium,Motor vibration sensing lacks maintenance diagnosis,A Deep Learning Framework for Enhancing High-Frequency Optical Fiber Vibration Sensing from Low-Sampling-Rate FBG Interrogators,10.3390/s25134047
2026-06-11T14:56:46,paper-2204,extraction_papers\paper-2204_ai_bias_in_power_systems_domain_exemplary_cases_and_approaches.pdf,generic_nonmaintenance_ai_control,medium,AI bias overview not maintenance study,AI Bias in Power Systems Domain—Exemplary Cases and Approaches,10.3390/en18184819
2026-06-11T14:56:46,paper-2331,extraction_papers\paper-2331_optimising_manufacturing_efficiency_a_data_analytics_solution_for_machine_utilisation_and_pr.pdf,generic_nonmaintenance_ai_control,medium,Machine utilization analytics not maintenance focused,Optimising Manufacturing Efficiency: A Data Analytics Solution for Machine Utilisation and Production Insights,10.3390/jmmp9070210
2026-06-11T14:56:46,paper-2421,extraction_papers\paper-2421_a_performance_study_of_deep_neural_network_representations_of_interpretable_ml_on_edge_devic.pdf,generic_nonmaintenance_ai_control,high,Generic edge ML without asset case,A Performance Study of Deep Neural Network Representations of Interpretable ML on Edge Devices with AI Accelerators,10.3390/s25185681
2026-06-11T14:56:46,paper-2490,extraction_papers\paper-2490_end_of_line_quality_control_based_on_mel_frequency_spectrogram_analysis_and_deep_learning.pdf,generic_nonmaintenance_ai_control,medium,End of line motor quality inspection,End-of-Line Quality Control Based on Mel-Frequency Spectrogram Analysis and Deep Learning,10.3390/machines13070626
2026-06-11T14:56:46,paper-2569,extraction_papers\paper-2569_electromagnetic_mechanical_acoustic_coupling_analysis_of_transformers_under_geomagnetically.pdf,generic_nonmaintenance_ai_control,medium,Transformer GIC coupling lacks maintenance,Electromagnetic–Mechanical–Acoustic Coupling Analysis of Transformers Under Geomagnetically Induced Current Interference,10.3390/machines13050437
2026-06-11T14:56:46,paper-2651,extraction_papers\paper-2651_reliable_machine_learning_models_for_manufacturing_processes.pdf,generic_nonmaintenance_ai_control,medium,Manufacturing process monitoring not maintenance,Reliable machine learning models for manufacturing processes,10.1007/s00170-025-15785-4
2026-06-11T14:56:46,paper-2726,extraction_papers\paper-2726_reliability_of_high_frequency_earth_meters_in_measuring_tower_footing_resistance_simulations.pdf,generic_nonmaintenance_ai_control,medium,Grounding meter validation not maintenance,Reliability of High-Frequency Earth Meters in Measuring Tower-Footing Resistance: Simulations and Experimental Validation,10.3390/en18081959
2026-06-11T14:56:46,paper-2750,extraction_papers\paper-2750_development_of_real_time_models_of_electromechanical_actuators_for_a_hybrid_iron_bird_of_a_r.pdf,generic_nonmaintenance_ai_control,medium,Iron bird simulation model validation,Development of Real-Time Models of Electromechanical Actuators for a Hybrid Iron Bird of a Regional Aircraft,10.3390/act14040172
2026-06-11T14:56:46,paper-2903,extraction_papers\paper-2903_smart_tags_as_enablers_for_digital_product_passports_in_circular_electronics_value_chains.pdf,generic_nonmaintenance_ai_control,high,Circular electronics passport not PdM,Smart Tags as Enablers for Digital Product Passports in Circular Electronics Value Chains,10.1007/s43615-025-00500-y
2026-06-11T14:56:46,paper-2995,extraction_papers\paper-2995_concept_of_efficient_utilization_of_railway_station_technical_hygienic_maintenance_centers_a.pdf,generic_nonmaintenance_ai_control,medium,Railway hygiene maintenance center operations,Concept of Efficient Utilization of Railway Station Technical–Hygienic Maintenance Centers—A Case Study from Slovakia,10.3390/vehicles7020048
2026-06-11T14:56:46,paper-3019,extraction_papers\paper-3019_ics_for_multivariate_functional_anomaly_detection_with_applications_to_predictive_maintenanc.pdf,generic_nonmaintenance_ai_control,high,Statistical anomaly method lacks asset use case,ICS for multivariate functional anomaly detection with applications to predictive maintenance and quality control,10.1016/j.ecosta.2022.03.003
2026-06-11T14:56:46,paper-3063,extraction_papers\paper-3063_transforming_industrial_maintenance_with_thermoelectric_energy_harvesting_and_nb_iot_a_case.pdf,generic_nonmaintenance_ai_control,medium,Energy harvesting for sensors not asset maintenance,Transforming Industrial Maintenance with Thermoelectric Energy Harvesting and NB-IoT: A Case Study in Oil Refinery Applications,10.3390/s25030703
2026-06-11T14:56:46,paper-3080,extraction_papers\paper-3080_real_time_analysis_of_industrial_data_using_the_unsupervised_hierarchical_density_based_spat.pdf,generic_nonmaintenance_ai_control,medium,Welding process monitoring not equipment maintenance,Real-Time Analysis of Industrial Data Using the Unsupervised Hierarchical Density-Based Spatial Clustering of Applications with Noise Method in Monitoring the Welding Process in a Robotic Cell,10.3390/info16020079
2026-06-11T14:56:46,paper-3082,extraction_papers\paper-3082_a_practical_prognostics_method_based_on_stepwise_linear_approximation_of_a_nonlinear_degrada.pdf,generic_nonmaintenance_ai_control,high,Synthetic RUL method lacks asset use case,A Practical Prognostics Method Based on Stepwise Linear Approximation of a Nonlinear Degradation Model,10.3390/app15010266
2026-06-11T14:56:46,paper-3228,extraction_papers\paper-3228_reliability_assessment_and_remaining_useful_life_prediction_based_on_the_unit_gompertz_distr.pdf,generic_nonmaintenance_ai_control,high,Generic reliability distribution no asset use case,Reliability assessment and remaining useful life prediction based on the unit Gompertz distribution,10.3934/math.20251018
2026-06-11T14:56:46,paper-3250,extraction_papers\paper-3250_overview_of_implementation_principles_of_artificial_intelligence_methods_in_industrial_contr.pdf,generic_nonmaintenance_ai_control,high,AI control overview lacks asset maintenance use case,Overview of implementation principles of artificial intelligence methods in industrial control systems,10.2478/jee-2025-0010
2026-06-11T14:56:46,paper-3325,extraction_papers\paper-3325_a_generalized_diffusion_model_for_remaining_useful_life_prediction_with_uncertainty.pdf,generic_nonmaintenance_ai_control,high,Generic RUL diffusion model lacks asset case,A generalized diffusion model for remaining useful life prediction with uncertainty,10.1007/s40747-024-01773-w
2026-06-11T14:56:46,paper-3370,extraction_papers\paper-3370_optimizing_wireless_sensor_networks_with_machine_learning_based_predictive_maintenance.pdf,generic_nonmaintenance_ai_control,high,WSN QoS prediction not physical asset maintenance,Optimizing Wireless Sensor Networks with Machine Learning-Based Predictive Maintenance,10.18280/MMEP.120324
2026-06-11T14:56:46,paper-3377,extraction_papers\paper-3377_a_novel_non_markovian_degradation_model_with_global_state_dependency_for_prognostics.pdf,generic_nonmaintenance_ai_control,high,Generic degradation model lacks asset case,A novel non-Markovian degradation model with global state dependency for prognostics,10.1080/13873954.2025.2597305
2026-06-11T14:56:46,paper-3454,extraction_papers\paper-3454_remaining_useful_life_prediction_based_on_multisource_domain_transfer_and_unsupervised_align.pdf,generic_nonmaintenance_ai_control,high,Generic RUL transfer model lacks asset case,Remaining Useful Life Prediction based on Multisource Domain Transfer and Unsupervised Alignment,10.17531/ein/194116
2026-06-11T14:56:46,paper-3487,extraction_papers\paper-3487_sampling_approaches_to_reduce_very_frequent_seasonal_time_series.pdf,generic_nonmaintenance_ai_control,high,Generic time series reduction lacks asset use case,Sampling approaches to reduce very frequent seasonal time series,10.1111/exsy.13690
2026-06-11T14:56:46,paper-3532,extraction_papers\paper-3532_productivity_enhancement_in_indian_auto_component_manufacturing_supply_chain_with_iot_using.pdf,generic_nonmaintenance_ai_control,medium,Supply chain IoT study not equipment maintenance,Productivity enhancement in Indian auto component manufacturing supply chain with IoT using neural networks,10.1590/0103-6513.20240047
2026-06-11T14:56:46,paper-3538,extraction_papers\paper-3538_generative_and_predictive_ai_for_digital_twin_systems_in_manufacturing.pdf,generic_nonmaintenance_ai_control,medium,Manufacturing quality twin not asset maintenance,Generative and Predictive AI for digital twin systems in manufacturing,10.3389/frai.2025.1655470
2026-06-11T14:56:46,paper-3560,extraction_papers\paper-3560_advancement_in_electromechanical_systems_for_innovative_product_design.pdf,generic_nonmaintenance_ai_control,medium,Product design sensors lack maintenance application,Advancement in electromechanical systems for innovative product design,10.1504/IJICT.2025.150953
2026-06-11T14:56:46,paper-3589,extraction_papers\paper-3589_internet_of_things_driven_safety_and_efficiency_in_high_risk_environments_challenges_applica.pdf,generic_nonmaintenance_ai_control,high,Broad IoT review lacks asset maintenance focus,"Internet of Things-Driven Safety and Efficiency in High-Risk Environments: Challenges, Applications, and Future Directions",10.14569/IJACSA.2025.0160563
2026-06-11T14:56:46,paper-3627,extraction_papers\paper-3627_management_of_digital_printing_studios_with_ai_tools.pdf,generic_nonmaintenance_ai_control,medium,Studio workflow AI lacks clear equipment maintenance focus,MANAGEMENT OF DIGITAL PRINTING STUDIOS WITH AI TOOLS,10.29121/shodhkosh.v6.i4s.2025.6834
2026-06-11T14:56:46,paper-3655,extraction_papers\paper-3655_application_of_bispectral_technology_and_deep_learning_for_feature_extraction_and_classifica.pdf,generic_nonmaintenance_ai_control,medium,Generic signal classification lacks asset use case,Application of Bispectral Technology and Deep Learning for Feature Extraction and Classification,10.1155/vib/8119232
2026-06-11T14:56:46,paper-3701,extraction_papers\paper-3701_analysis_of_impact_of_mems_accelerometer_positioning_on_vibration_sensor_performance.pdf,generic_nonmaintenance_ai_control,medium,Sensor placement method lacks specific asset case,ANALYSIS OF IMPACT OF MEMS ACCELEROMETER POSITIONING ON VIBRATION SENSOR PERFORMANCE,10.24425/mms.2025.155798
2026-06-11T14:56:46,paper-3787,extraction_papers\paper-3787_a_framework_for_integrating_vision_transformers_with_digital_twins_in_industry_5_0_context.pdf,generic_nonmaintenance_ai_control,medium,Conceptual Industry 5.0 framework lacks asset case,A Framework for Integrating Vision Transformers with Digital Twins in Industry 5.0 Context,10.3390/machines13010036
2026-06-11T14:56:46,paper-3895,extraction_papers\paper-3895_comparative_analysis_of_ai_and_xai_techniques_across_diverse_performance_metrics_on_varied_d.pdf,generic_nonmaintenance_ai_control,medium,Generic AI benchmark on machine failure data,COMPARATIVE ANALYSIS OF AI AND XAI TECHNIQUES ACROSS DIVERSE PERFORMANCE METRICS ON VARIED DATASETS,10.12732/ijam.v38i1s.29
