id,decision,reason_category,confidence,notes
paper-2271,included,physical_asset_maintenance,high,road tunnel ventilation fan monitoring
paper-2275,included,physical_asset_maintenance,high,industrial rectifier predictive maintenance
paper-2279,excluded,civil_geotechnical_infrastructure,high,cementitious mortar corrosion prediction
paper-2289,excluded,civil_geotechnical_infrastructure,high,dike structural health monitoring
paper-2292,included,physical_asset_maintenance,high,power distribution grid fault prediction
paper-2295,included,physical_asset_maintenance,medium,tram vehicle acceleration monitoring
paper-2305,included,physical_asset_maintenance,high,wind turbine RUL prediction
paper-2313,excluded,civil_geotechnical_infrastructure,high,concrete slab and cube failure prediction
paper-2314,excluded,civil_geotechnical_infrastructure,high,bridge structural health monitoring
paper-2315,excluded,civil_geotechnical_infrastructure,high,road pothole detection
paper-2343,excluded,civil_geotechnical_infrastructure,high,bridge digital twin structural monitoring
paper-2351,included,physical_asset_maintenance,high,high speed train braking system anomalies
paper-2362,included,physical_asset_maintenance,high,mechanical system gearbox fault diagnosis
paper-2364,excluded,civil_geotechnical_infrastructure,high,building deformation monitoring
paper-2384,included,physical_asset_maintenance,high,industrial paper cutting machinery diagnostics
paper-2395,included,physical_asset_maintenance,high,hard disk drive failure prediction
paper-2396,excluded,civil_geotechnical_infrastructure,high,bridge bearing sensor energy harvesting
paper-2397,included,physical_asset_maintenance,high,offshore wind turbine predictive maintenance
paper-2413,included,physical_asset_maintenance,medium,through metal sensors for industrial maintenance
paper-2431,included,physical_asset_maintenance,high,pavement sweeping robot condition monitoring
paper-2434,included,physical_asset_maintenance,high,pipeline weld fatigue life prediction
paper-2437,included,physical_asset_maintenance,medium,water distribution network predictive maintenance
paper-2465,included,physical_asset_maintenance,high,PV storage degradation optimization
paper-2467,included,physical_asset_maintenance,high,pantograph catenary contact wire wear
paper-2469,excluded,civil_geotechnical_infrastructure,high,cultural heritage monitoring and maintenance
paper-2477,included,physical_asset_maintenance,high,accelerator neutron source operation maintenance
paper-2497,included,physical_asset_maintenance,medium,smart building systems predictive maintenance
paper-2511,included,physical_asset_maintenance,high,aircraft environmental control system diagnostics
paper-2513,included,physical_asset_maintenance,high,oil and gas IIoT predictive maintenance
paper-2514,included,physical_asset_maintenance,medium,virtual sensing for complex industrial systems
paper-2523,included,physical_asset_maintenance,medium,industrial sensor data imputation for monitoring
paper-2538,included,physical_asset_maintenance,medium,water pipe asset management under sparse data
paper-2554,excluded,civil_geotechnical_infrastructure,high,bridge slab deterioration prediction
paper-2555,excluded,civil_geotechnical_infrastructure,high,railway track defect assessment
paper-2579,included,physical_asset_maintenance,high,elevator PMSM fault diagnosis
paper-2597,excluded,civil_geotechnical_infrastructure,high,road quality measurement
paper-2606,included,physical_asset_maintenance,medium,environmental sensor system fault prediction
paper-2611,included,physical_asset_maintenance,high,wireless sensor network battery prognostics
paper-2617,included,physical_asset_maintenance,high,electronic toll OBU equipment monitoring
paper-2621,included,physical_asset_maintenance,high,floating offshore wind turbine monitoring
paper-2634,included,physical_asset_maintenance,medium,oil well casing failure prediction
paper-2643,included,physical_asset_maintenance,high,BLDC motor fault detection
paper-2655,excluded,civil_geotechnical_infrastructure,high,noise barrier tunnel infrastructure monitoring
paper-2658,included,physical_asset_maintenance,high,building service HVAC failure warning
paper-2669,included,physical_asset_maintenance,high,solar PV system fault detection
paper-2696,included,physical_asset_maintenance,high,aircraft engine RUL estimation
paper-2698,excluded,civil_geotechnical_infrastructure,medium,generic structural damage inverse analysis
paper-2723,included,physical_asset_maintenance,high,bearing health indicator extraction
paper-2726,included,physical_asset_maintenance,medium,transmission line grounding diagnostics
paper-2731,included,physical_asset_maintenance,high,maintenance spare parts optimization
paper-2732,excluded,civil_geotechnical_infrastructure,high,paved road network condition management
paper-2755,included,physical_asset_maintenance,medium,water distribution pipe failure prediction
paper-2756,excluded,civil_geotechnical_infrastructure,high,steel railway bridge digital twin monitoring
paper-2762,included,physical_asset_maintenance,high,tool wear prediction
paper-2769,included,physical_asset_maintenance,medium,urban water pipe asset vulnerability planning
paper-2780,excluded,civil_geotechnical_infrastructure,high,road crack detection
paper-2789,included,physical_asset_maintenance,high,marine energy system maintenance scheduling
paper-2791,excluded,other_nonmaintenance,medium,LLM failure report generation not maintenance prediction
paper-2792,excluded,civil_geotechnical_infrastructure,high,reinforced concrete beam structural monitoring
paper-2799,included,physical_asset_maintenance,high,expressway electromechanical equipment maintenance
paper-2822,included,physical_asset_maintenance,high,concreting equipment reliability prediction
paper-2830,included,physical_asset_maintenance,medium,water distribution pipe life prognosis
paper-2834,excluded,civil_geotechnical_infrastructure,high,rail surface crack monitoring
paper-2847,included,physical_asset_maintenance,high,bearing vibration dataset for predictive maintenance
paper-2851,included,physical_asset_maintenance,high,HVAC predictive maintenance
paper-2853,excluded,civil_geotechnical_infrastructure,high,road maintenance decision making
paper-2861,included,physical_asset_maintenance,medium,maritime maintenance scheduling decision support
paper-2864,included,physical_asset_maintenance,high,wind turbine normal behavior modeling
paper-2874,included,physical_asset_maintenance,high,building maintenance unit machinery diagnostics
paper-2882,included,physical_asset_maintenance,medium,carbon steel defect reconstruction for RUL
paper-2891,excluded,civil_geotechnical_infrastructure,high,asphalt pavement fatigue crack prediction
paper-2895,included,physical_asset_maintenance,high,train control system predictive maintenance
paper-2899,excluded,civil_geotechnical_infrastructure,high,steel structure coating corrosion deterioration
paper-2915,excluded,civil_geotechnical_infrastructure,high,railway ground deformation monitoring
paper-2920,included,physical_asset_maintenance,high,hydroelectric plant discharge ring vibration
paper-2941,included,physical_asset_maintenance,high,airplane engine RUL prediction
paper-2943,included,physical_asset_maintenance,medium,water pipeline failure prediction with GNNs
paper-2953,excluded,civil_geotechnical_infrastructure,high,apartment building life cycle assessment
paper-2955,excluded,civil_geotechnical_infrastructure,high,highway pavement condition prediction
paper-2956,included,physical_asset_maintenance,high,water pumping system anomaly detection
paper-2960,excluded,civil_geotechnical_infrastructure,high,school building condition assessment
paper-2965,excluded,civil_geotechnical_infrastructure,high,bridge construction vibration monitoring
paper-2968,excluded,civil_geotechnical_infrastructure,high,bridge crack identification
paper-2976,included,physical_asset_maintenance,high,machine health indicators and digital twins
paper-2995,included,physical_asset_maintenance,medium,railway rolling stock maintenance facilities
paper-3007,excluded,civil_geotechnical_infrastructure,medium,mega facility building management focus
paper-3010,included,physical_asset_maintenance,high,offshore wind turbine cable monitoring
paper-3015,included,physical_asset_maintenance,high,power plant boiler diagnostics and RUL
paper-3016,excluded,civil_geotechnical_infrastructure,high,road damage detection
paper-3021,included,physical_asset_maintenance,high,hydraulic excavator predictive maintenance
paper-3050,included,physical_asset_maintenance,high,offshore wind turbine cable maintenance
paper-3053,included,physical_asset_maintenance,medium,desalination plant inspection and maintenance
paper-3054,excluded,civil_geotechnical_infrastructure,high,bridge structural integrity assessment
paper-3063,included,physical_asset_maintenance,high,oil refinery industrial maintenance sensors
paper-3069,included,physical_asset_maintenance,high,aero engine RUL prediction
paper-3070,excluded,civil_geotechnical_infrastructure,high,concrete civil infrastructure assessment
paper-3099,included,physical_asset_maintenance,high,vehicle predictive maintenance
