batch_index,corpus_id,filename,source_path,staged_path,staged_by
38,paper-2428,paper-2428_designing_an_iot_based_fault_detection_system_for_real_time_vehicle_diagnostics_using_cloud.pdf,extraction_papers/paper-2428_designing_an_iot_based_fault_detection_system_for_real_time_vehicle_diagnostics_using_cloud.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2428_designing_an_iot_based_fault_detection_system_for_real_time_vehicle_diagnostics_using_cloud.pdf,hardlink
39,paper-2431,paper-2431_ai_enabled_condition_monitoring_framework_for_autonomous_pavement_sweeping_robots.pdf,extraction_papers/paper-2431_ai_enabled_condition_monitoring_framework_for_autonomous_pavement_sweeping_robots.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2431_ai_enabled_condition_monitoring_framework_for_autonomous_pavement_sweeping_robots.pdf,hardlink
40,paper-2432,paper-2432_an_oil_debris_analysis_method_of_gearbox_condition_monitoring_based_on_an_improved_multi_var.pdf,extraction_papers/paper-2432_an_oil_debris_analysis_method_of_gearbox_condition_monitoring_based_on_an_improved_multi_var.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2432_an_oil_debris_analysis_method_of_gearbox_condition_monitoring_based_on_an_improved_multi_var.pdf,hardlink
41,paper-2433,paper-2433_in_situ_condition_monitoring_of_floating_offshorewind_turbines_using_kurtosis_anddeep_learni.pdf,extraction_papers/paper-2433_in_situ_condition_monitoring_of_floating_offshorewind_turbines_using_kurtosis_anddeep_learni.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2433_in_situ_condition_monitoring_of_floating_offshorewind_turbines_using_kurtosis_anddeep_learni.pdf,hardlink
42,paper-2438,paper-2438_simultaneous_fault_prediction_in_evolving_industrial_environments_with_ensembles_of_hoeffdin.pdf,extraction_papers/paper-2438_simultaneous_fault_prediction_in_evolving_industrial_environments_with_ensembles_of_hoeffdin.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2438_simultaneous_fault_prediction_in_evolving_industrial_environments_with_ensembles_of_hoeffdin.pdf,hardlink
43,paper-2439,paper-2439_method_for_predicting_transformer_top_oil_temperature_based_on_multi_model_combination.pdf,extraction_papers/paper-2439_method_for_predicting_transformer_top_oil_temperature_based_on_multi_model_combination.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2439_method_for_predicting_transformer_top_oil_temperature_based_on_multi_model_combination.pdf,hardlink
44,paper-2440,paper-2440_improving_transmission_systems_through_virtual_reality_modeling_and_simulation_to_enhance_de.pdf,extraction_papers/paper-2440_improving_transmission_systems_through_virtual_reality_modeling_and_simulation_to_enhance_de.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2440_improving_transmission_systems_through_virtual_reality_modeling_and_simulation_to_enhance_de.pdf,hardlink
45,paper-2444,paper-2444_random_forest_based_machine_failure_prediction_a_performance_comparison.pdf,extraction_papers/paper-2444_random_forest_based_machine_failure_prediction_a_performance_comparison.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2444_random_forest_based_machine_failure_prediction_a_performance_comparison.pdf,hardlink
46,paper-2446,paper-2446_integrating_spatial_and_temporal_features_for_bearing_fault_diagnosis_a_cross_domain_analysi.pdf,extraction_papers/paper-2446_integrating_spatial_and_temporal_features_for_bearing_fault_diagnosis_a_cross_domain_analysi.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2446_integrating_spatial_and_temporal_features_for_bearing_fault_diagnosis_a_cross_domain_analysi.pdf,hardlink
47,paper-2447,paper-2447_fusion_ai_consensus_driven_multimodal_models_and_autonomous_agents_for_fault_tolerant_energy.pdf,extraction_papers/paper-2447_fusion_ai_consensus_driven_multimodal_models_and_autonomous_agents_for_fault_tolerant_energy.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2447_fusion_ai_consensus_driven_multimodal_models_and_autonomous_agents_for_fault_tolerant_energy.pdf,hardlink
48,paper-2449,paper-2449_constraint_guided_learning_of_data_driven_health_indicator_models_an_application_on_bearings.pdf,extraction_papers/paper-2449_constraint_guided_learning_of_data_driven_health_indicator_models_an_application_on_bearings.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2449_constraint_guided_learning_of_data_driven_health_indicator_models_an_application_on_bearings.pdf,hardlink
49,paper-2455,paper-2455_predicting_the_remaining_useful_life_of_non_ideal_data_through_a_joint_framework_of_sequenti.pdf,extraction_papers/paper-2455_predicting_the_remaining_useful_life_of_non_ideal_data_through_a_joint_framework_of_sequenti.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2455_predicting_the_remaining_useful_life_of_non_ideal_data_through_a_joint_framework_of_sequenti.pdf,hardlink
50,paper-2456,paper-2456_advance_technique_for_online_condition_monitoring_of_surge_arresters.pdf,extraction_papers/paper-2456_advance_technique_for_online_condition_monitoring_of_surge_arresters.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2456_advance_technique_for_online_condition_monitoring_of_surge_arresters.pdf,hardlink
51,paper-2463,paper-2463_calculation_of_aging_coefficient_for_establishing_aging_condition_index_of_thermoplastic_ins.pdf,extraction_papers/paper-2463_calculation_of_aging_coefficient_for_establishing_aging_condition_index_of_thermoplastic_ins.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2463_calculation_of_aging_coefficient_for_establishing_aging_condition_index_of_thermoplastic_ins.pdf,hardlink
52,paper-2465,paper-2465_quantum_enhanced_predictive_degradation_pathway_optimization_for_pv_storage_systems_a_hybrid.pdf,extraction_papers/paper-2465_quantum_enhanced_predictive_degradation_pathway_optimization_for_pv_storage_systems_a_hybrid.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2465_quantum_enhanced_predictive_degradation_pathway_optimization_for_pv_storage_systems_a_hybrid.pdf,hardlink
53,paper-2466,paper-2466_a_hybrid_deep_learning_framework_for_fault_diagnosis_in_milling_machines.pdf,extraction_papers/paper-2466_a_hybrid_deep_learning_framework_for_fault_diagnosis_in_milling_machines.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2466_a_hybrid_deep_learning_framework_for_fault_diagnosis_in_milling_machines.pdf,hardlink
54,paper-2467,paper-2467_predicting_the_wear_rate_and_thickness_of_train_contact_wire_using_data_driven_modelling.pdf,extraction_papers/paper-2467_predicting_the_wear_rate_and_thickness_of_train_contact_wire_using_data_driven_modelling.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2467_predicting_the_wear_rate_and_thickness_of_train_contact_wire_using_data_driven_modelling.pdf,hardlink
55,paper-2468,paper-2468_a_comprehensive_framework_for_iot_driven_predictive_maintenance_leveraging_ai_and_edge_compu.pdf,extraction_papers/paper-2468_a_comprehensive_framework_for_iot_driven_predictive_maintenance_leveraging_ai_and_edge_compu.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2468_a_comprehensive_framework_for_iot_driven_predictive_maintenance_leveraging_ai_and_edge_compu.pdf,hardlink
56,paper-2470,paper-2470_a_hybrid_approach_based_on_a_windowed_emd_temporal_convolution_reallocation_network_and_phys.pdf,extraction_papers/paper-2470_a_hybrid_approach_based_on_a_windowed_emd_temporal_convolution_reallocation_network_and_phys.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2470_a_hybrid_approach_based_on_a_windowed_emd_temporal_convolution_reallocation_network_and_phys.pdf,hardlink
57,paper-2472,paper-2472_remaining_useful_life_prediction_for_aero_engines_based_on_multi_scale_dilated_fusion_attent.pdf,extraction_papers/paper-2472_remaining_useful_life_prediction_for_aero_engines_based_on_multi_scale_dilated_fusion_attent.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2472_remaining_useful_life_prediction_for_aero_engines_based_on_multi_scale_dilated_fusion_attent.pdf,hardlink
58,paper-2473,paper-2473_bearing_remaining_useful_life_prediction_based_on_optimized_vmd_and_bilstm_cbam.pdf,extraction_papers/paper-2473_bearing_remaining_useful_life_prediction_based_on_optimized_vmd_and_bilstm_cbam.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2473_bearing_remaining_useful_life_prediction_based_on_optimized_vmd_and_bilstm_cbam.pdf,hardlink
59,paper-2474,paper-2474_research_on_power_laser_inspection_technology_based_on_high_precision_servo_control_system.pdf,extraction_papers/paper-2474_research_on_power_laser_inspection_technology_based_on_high_precision_servo_control_system.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2474_research_on_power_laser_inspection_technology_based_on_high_precision_servo_control_system.pdf,hardlink
60,paper-2479,paper-2479_sustainable_design_and_lifecycle_prediction_of_crusher_blades_through_a_digital_replica_base.pdf,extraction_papers/paper-2479_sustainable_design_and_lifecycle_prediction_of_crusher_blades_through_a_digital_replica_base.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2479_sustainable_design_and_lifecycle_prediction_of_crusher_blades_through_a_digital_replica_base.pdf,hardlink
61,paper-2482,paper-2482_anomaly_detection_for_semiconductor_wafer_multi_wire_sawing_machines_using_statistical_and_d.pdf,extraction_papers/paper-2482_anomaly_detection_for_semiconductor_wafer_multi_wire_sawing_machines_using_statistical_and_d.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2482_anomaly_detection_for_semiconductor_wafer_multi_wire_sawing_machines_using_statistical_and_d.pdf,hardlink
62,paper-2485,paper-2485_local_entropy_optimization_adaptive_demodulation_reassignment_transform_for_advanced_analysi.pdf,extraction_papers/paper-2485_local_entropy_optimization_adaptive_demodulation_reassignment_transform_for_advanced_analysi.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2485_local_entropy_optimization_adaptive_demodulation_reassignment_transform_for_advanced_analysi.pdf,hardlink
63,paper-2488,paper-2488_research_on_the_online_monitoring_and_fault_early_warning_system_of_infrared_thermography_fo.pdf,extraction_papers/paper-2488_research_on_the_online_monitoring_and_fault_early_warning_system_of_infrared_thermography_fo.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2488_research_on_the_online_monitoring_and_fault_early_warning_system_of_infrared_thermography_fo.pdf,hardlink
64,paper-2489,paper-2489_domain_shifts_in_industrial_condition_monitoring_a_comparative_analysis_of_automated_machine.pdf,extraction_papers/paper-2489_domain_shifts_in_industrial_condition_monitoring_a_comparative_analysis_of_automated_machine.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2489_domain_shifts_in_industrial_condition_monitoring_a_comparative_analysis_of_automated_machine.pdf,hardlink
65,paper-2492,paper-2492_intelligent_fault_diagnosis_system_for_running_gear_of_high_speed_trains.pdf,extraction_papers/paper-2492_intelligent_fault_diagnosis_system_for_running_gear_of_high_speed_trains.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2492_intelligent_fault_diagnosis_system_for_running_gear_of_high_speed_trains.pdf,hardlink
66,paper-2498,paper-2498_modal_identification_of_machine_tool_spindle_units_by_output_only_operational_modal_analysis.pdf,extraction_papers/paper-2498_modal_identification_of_machine_tool_spindle_units_by_output_only_operational_modal_analysis.pdf,extraction_papers/ontocast_runs/run_remaining_500_gpt-5.6-luna_20260723_010000/input/paper-2498_modal_identification_of_machine_tool_spindle_units_by_output_only_operational_modal_analysis.pdf,hardlink
