id,decision,reason_category,confidence,notes
paper-2961,included,physical_asset_maintenance,high,Industrial CPS fault diagnosis
paper-2962,included,physical_asset_maintenance,high,Shaft bearing condition monitoring
paper-2963,excluded,clinical_human_outcome,high,Kidney allograft failure prediction
paper-2964,excluded,business_social_finance,high,Educational management resource allocation
paper-2965,included,uncertain_but_included,medium,Bridge vibration safety monitoring
paper-2966,included,physical_asset_maintenance,high,Railway contact network maintenance optimization
paper-2967,excluded,business_social_finance,high,Business failure prediction
paper-2968,included,physical_asset_maintenance,high,Bridge crack condition monitoring
paper-2969,excluded,generic_nonmaintenance_ai_control,medium,Visual quality inspection framework
paper-2970,excluded,generic_nonmaintenance_ai_control,high,Electrolyzer performance test protocol
paper-2971,included,physical_asset_maintenance,high,Ship engine maintenance time prediction
paper-2972,included,physical_asset_maintenance,high,Wind turbine drivetrain fault diagnosis
paper-2973,included,physical_asset_maintenance,high,IIoT predictive maintenance
paper-2974,included,physical_asset_maintenance,high,Axle test bench damage detection
paper-2975,included,uncertain_but_included,medium,Flash burner combustion anomaly monitoring
paper-2976,included,physical_asset_maintenance,high,Machine health indicators digital twins
paper-2977,included,physical_asset_maintenance,high,Rolling bearing fault diagnosis
paper-2978,included,physical_asset_maintenance,high,Gearbox fault diagnosis
paper-2979,included,physical_asset_maintenance,high,Pressure vessel corrosion RUL
paper-2980,excluded,other_nonmaintenance,medium,Transformer insulation material behavior
paper-2981,included,physical_asset_maintenance,high,PEMFC degradation and RUL
paper-2982,included,physical_asset_maintenance,high,Hydrodynamic bearing instability detection
paper-2983,excluded,generic_nonmaintenance_ai_control,high,Voltage measurement device only
paper-2984,excluded,acronym_collision,high,CBM means conduction band minimum
paper-2985,excluded,clinical_human_outcome,high,Heart failure prediction
paper-2986,included,physical_asset_maintenance,high,Textile equipment predictive maintenance
paper-2987,included,physical_asset_maintenance,high,Naval equipment predictive diagnostics
paper-2988,included,physical_asset_maintenance,high,Equipment health indicator RUL
paper-2989,included,physical_asset_maintenance,high,Avionics board RUL validation
paper-2990,included,physical_asset_maintenance,high,Aero-engine RUL prediction
paper-2991,excluded,other_nonmaintenance,high,Timber joint design failure analysis
paper-2992,included,physical_asset_maintenance,high,Digital twin PHM scaling
paper-2993,excluded,generic_nonmaintenance_ai_control,high,AR assistance and safety framework
paper-2994,included,physical_asset_maintenance,high,Aircraft brake wear prediction
paper-2995,included,uncertain_but_included,medium,Railway maintenance center optimization
paper-2996,included,physical_asset_maintenance,high,Mandrel remaining useful life
paper-2997,excluded,environment_natural_system,high,Geological fault recognition
paper-2998,included,physical_asset_maintenance,high,DC circuit breaker diagnostics
paper-2999,included,physical_asset_maintenance,high,Motor misalignment fault detection
paper-3000,excluded,generic_nonmaintenance_ai_control,high,Process automation without maintenance
