query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
14;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22144ece04a0.ttl;1;Fault detection;Maintainable item;44.10 kWp array;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;44.10 kWp array;;;;5;15
15;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_22483bb7fa86.ttl;1;Remaining useful life estimation;Maintainable item;FactsWindTurbineBlade;Unknown synchronization;Not reported;FactsIsolationForestFeature, FactsNoveltyFeature, FactsThermalImaging, FactsUavImages, FactsVibrationData;case-study type dropped: Maintainable item | case study dropped: FactsWindTurbineBlade | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;FactsIsolationForestFeature, FactsNoveltyFeature, FactsThermalImaging, FactsUavImages, FactsVibrationData;5;15
16;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_247755c3ba72.ttl;1;One step future state forecast;Maintainable item;FactsCoolingSystem;Unknown synchronization;Not reported;FactsTimeFrequencyFeature, Factsvibrationsignal_1;case-study type dropped: Maintainable item | case study dropped: FactsCoolingSystem | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;;;;FactsTimeFrequencyFeature, Factsvibrationsignal_1;5;15
17;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_29441e0fc052.ttl;1;Fault detection;Maintainable item;FactsIndustrialEquipment;Unknown synchronization;Not reported;FactsTemperatureSpike, FactsVoltageAnomaly, Factsdataset1_2;case-study type dropped: Maintainable item | case study dropped: FactsIndustrialEquipment | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactsTemperatureSpike, FactsVoltageAnomaly, Factsdataset1_2;5;15
18;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_30b468dfe762.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;FactsInputChannelCwt;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsInputChannelCwt;One step future state forecast;;;;;;5;15
19;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_32c353e565f9.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
20;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_36823d5c6b0e.ttl;2;One step future state forecast;Maintainable item;FactstoolInsert;Unknown synchronization;Not reported;Factscomparison1_1;case-study type dropped: Maintainable item | case study dropped: FactstoolInsert | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factscomparison1_1;One step future state forecast;;;;;;5;15
21;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_369f47a9c5e1.ttl;2;Remaining useful life estimation;Maintainable item;compressor (data-center refrigeration component);Unknown synchronization;Not reported;electric current, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;compressor (data-center refrigeration component);;;electric current, vibration;5;15
22;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_37204455217d.ttl;5;Fault detection;Maintainable item;hydraulic directional control valve;Unknown synchronization;Not reported;inter-port pressure difference features, inter-sensor pressure difference, FactshydraulicPressureSignal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;hydraulic directional control valve;;;inter-port pressure difference features, inter-sensor pressure difference, FactshydraulicPressureSignal;5;15
23;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_374ab1994bf9.ttl;1;Fault feature extraction;Maintainable item;Ball bearing (generic);Unknown synchronization;Not reported;AR coefficient vector (theta), Number of Intrinsic Mode Functions (N);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;Ball bearing (generic);;;AR coefficient vector (theta), Number of Intrinsic Mode Functions (N);5;15
24;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3945d25e6654.ttl;1;Fault detection;Maintainable item;FactsCoilSpring;Unknown synchronization;Not reported;FactsdataVariableLateral, FactsdataVariableZBogie, FactstimeDomainFeatures;case-study type dropped: Maintainable item | case study dropped: FactsCoilSpring | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactsdataVariableLateral, FactsdataVariableZBogie, FactstimeDomainFeatures;5;15
25;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_39a966494a3b.ttl;2;Remaining useful life estimation;Maintainable item;ship shafting;Unknown synchronization;Not reported;FactsalignmentDeviation, FactsvibrationEnergy, FactswearParticleConcentration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;ship shafting;;;FactsalignmentDeviation, FactsvibrationEnergy, FactswearParticleConcentration;5;15
26;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_3a301111e1fe.ttl;1;One step future state forecast;Maintainable item;FactsTurbofanEngine_1;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsTurbofanEngine_1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
27;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_40a36423982c.ttl;1;Fault detection;Maintainable item;FactsBess;Unknown synchronization;Not reported;cell temperature, full equivalent cycle (FEC) counter, depth of discharge (DOD), state of charge (SOC);case-study type dropped: Maintainable item | case study dropped: FactsBess | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;cell temperature, full equivalent cycle (FEC) counter, depth of discharge (DOD), state of charge (SOC);5;15
28;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4660ee2adb7e.ttl;1;Fault feature extraction;Maintainable item;Rolling bearing under study;Unknown synchronization;Not reported;FactsindicatorRms;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsindicatorRms;Fault feature extraction;;Rolling bearing under study;;;;5;15
29;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4abf47988e1b.ttl;2;One step future state forecast;Maintainable item;TK-type shell-and-tube heat exchanger;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;TK-type shell-and-tube heat exchanger;;;;5;15
30;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4b28dc65fe44.ttl;2;Fault detection;Maintainable item;FactsCapAndPinInsulatorString;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsCapAndPinInsulatorString | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;;;;;5;15
31;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_4ef590c98f1b.ttl;1;One step future state forecast;Maintainable item;FactsTurbofanEngine_2;Unknown synchronization;Not reported;augmentor duct total pressure, augmentor light-off detector signal, burner pressure, fan turbine inlet temperature, low-pressure spool rotational speed N1, convergent exhaust nozzle controller position transmitter, main oil pressure and low oil pressure sensors, static pressure Ps2, CIVV resolver position transmitter, total temperature at engine inlet Tt2;case-study type dropped: Maintainable item | case study dropped: FactsTurbofanEngine_2 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;;;;augmentor duct total pressure, augmentor light-off detector signal, burner pressure, fan turbine inlet temperature, low-pressure spool rotational speed N1, convergent exhaust nozzle controller position transmitter, main oil pressure and low oil pressure sensors, static pressure Ps2, CIVV resolver position transmitter, total temperature at engine inlet Tt2;5;15
32;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5250ed7e7ce4.ttl;2;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
33;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_550b300f2513.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
34;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55a5963df187.ttl;1;One step future state forecast;Maintainable item;Self-aligning ball bearing;Unknown synchronization;Not reported;FactsBearSignal, FactsFaultFrequencyComponent, vibration signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;Self-aligning ball bearing;;;FactsBearSignal, FactsFaultFrequencyComponent, vibration signal;5;15
35;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_55e23d1ad9f5.ttl;3;Remaining useful life estimation;Maintainable item;UAV lithium-ion battery;Unknown synchronization;Not reported;discharge C-rate (experimental range), humidity level (experimental range), wind speed (experimental range), FactstempLow;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;UAV lithium-ion battery;;;discharge C-rate (experimental range), humidity level (experimental range), wind speed (experimental range), FactstempLow;5;15
36;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5d3461a99457.ttl;2;Fault detection;Maintainable item;FactsAh36;Unknown synchronization;Not reported;factsMbnrms;case-study type dropped: Maintainable item | case study dropped: FactsAh36 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: factsMbnrms;Fault detection;;;;;;5;15
37;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5dec38f8cc66.ttl;1;Remaining useful life estimation;Maintainable item;FactsCncMillingTestbed;Unknown synchronization;Not reported;FactssensorVibration, Factsvibration;case-study type dropped: Maintainable item | case study dropped: FactsCncMillingTestbed | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;FactssensorVibration, Factsvibration;5;15
38;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f139e146360.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
39;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_5f2bc68116b8.ttl;2;Fault feature extraction;Maintainable item;coaxial cable;Unknown synchronization;Not reported;active pixel count, number of effective pixels, degree of red-blue aliasing, radial dispersion, reflection coefficient spectrum, red-blue overlap index, FactsWeakSignal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;coaxial cable;;;active pixel count, number of effective pixels, degree of red-blue aliasing, radial dispersion, reflection coefficient spectrum, red-blue overlap index, FactsWeakSignal;5;15
40;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_623ac38deaa2.ttl;1;Health assessment;Maintainable item;FactsSensorArray1;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsSensorArray1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;;;;;5;15
41;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6269de1ae371.ttl;2;Fault feature extraction;Maintainable item;FactsFixture;Unknown synchronization;FactsDataAcquisition;Key product characteristics (KPCs), FactsOilAnalysisData;case-study type dropped: Maintainable item | case study dropped: FactsFixture | default online/offline dropped: Unknown synchronization | input-for-model dropped: FactsDataAcquisition;Fault feature extraction;;;;;Key product characteristics (KPCs), FactsOilAnalysisData;5;15
42;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_64dc30950f8c.ttl;1;Multiple steps future state forecast;Maintainable item;Grid-connected inverter;Unknown synchronization;Not reported;operating-state variable, power measurement, temperature measurement, FactsslidingWindow;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Multiple steps future state forecast;;Grid-connected inverter;;;operating-state variable, power measurement, temperature measurement, FactsslidingWindow;5;15
43;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_6e7c4f90a8d7.ttl;1;Health assessment;Maintainable item;FactsDegradedSystem;Unknown synchronization;Not reported;FactsinspectionInterval;case-study type dropped: Maintainable item | case study dropped: FactsDegradedSystem | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsinspectionInterval;Health assessment;;;;;;5;15
44;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_73e4a95e45ca.ttl;2;Health assessment;Maintainable item;FactsMarineBlower;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsMarineBlower | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;;;;;5;15
45;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_772695bf4051.ttl;2;Remaining useful life estimation;Maintainable item;Lithium-ion battery;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;Lithium-ion battery;;;;5;15
46;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7893f607735e.ttl;2;Fault identification;Maintainable item;Not reported;Unknown synchronization;Not reported;FactsImpulsiveComponents, FactsIncipientWear, FactsSignalTransients, FactsVibrationMonitoring, FactsstrainMeasurement, FactssurfaceRoughnessMeasurement;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;;;;FactsImpulsiveComponents, FactsIncipientWear, FactsSignalTransients, FactsVibrationMonitoring, FactsstrainMeasurement, FactssurfaceRoughnessMeasurement;5;15
47;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7e8b13361693.ttl;2;Remaining useful life estimation;Maintainable item;Lithium-ion battery;Unknown synchronization;Not reported;capacity degradation signals, operational parameters;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;Lithium-ion battery;;;capacity degradation signals, operational parameters;5;15
48;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7ecb8b8f68bb.ttl;1;Remaining useful life estimation;Maintainable item;FactsAircraftEngine;Unknown synchronization;Not reported;Cumulative heating time, Cumulative water output (total purified volume), Flow rate (volume per minute), Inlet water pressure, Intelligent rinse cycles (cumulative count), Membrane Type, Operational days (aggregated daily), pH level, Remaining Useful Life (RUL), Total Dissolved Solids (TDS);case-study type dropped: Maintainable item | case study dropped: FactsAircraftEngine | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;Cumulative heating time, Cumulative water output (total purified volume), Flow rate (volume per minute), Inlet water pressure, Intelligent rinse cycles (cumulative count), Membrane Type, Operational days (aggregated daily), pH level, Remaining Useful Life (RUL), Total Dissolved Solids (TDS);5;15
49;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_7f3c89f45832.ttl;1;One step future state forecast;Maintainable item;hydraulic cylinder;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;hydraulic cylinder;;;;5;15
50;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8068c91cfcfb.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
51;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8477986e81ed.ttl;1;Health assessment;Maintainable item;smart home system;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;smart home system;;;;5;15
52;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8a2e7a6c3819.ttl;6;Fault feature extraction;Maintainable item;face-milling tool;Unknown synchronization;Not reported;cutting parameters, tool geometry, workpiece material properties, vibration signal acquired during drilling;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;face-milling tool;;;cutting parameters, tool geometry, workpiece material properties, vibration signal acquired during drilling;5;15
53;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8bb32487bd90.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;AE preprocessing;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: AE preprocessing | input type dropped: Not reported;One step future state forecast;;;;;;5;15
54;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8c97841ffeb0.ttl;1;Remaining useful life estimation;Maintainable item;FactsBearingMaintainableItem;Unknown synchronization;Not reported;Factshealth_indicator_1, temperature signal, vibration signal, factsTemperatureVar, factsVibrationVar;case-study type dropped: Maintainable item | case study dropped: FactsBearingMaintainableItem | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;Factshealth_indicator_1, temperature signal, vibration signal, factsTemperatureVar, factsVibrationVar;5;15
55;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d2f5e129936.ttl;1;Fault feature extraction;Maintainable item;Not reported;Unknown synchronization;Not reported;magnetic field phase, multiscale mutual information features extracted from the magnetostriction series, time-domain statistical features;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;;;;magnetic field phase, multiscale mutual information features extracted from the magnetostriction series, time-domain statistical features;5;15
56;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8d8a5b72c774.ttl;2;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;FactsGroundSpeed, FactsVerticalDistance, FactsWindShearSource;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;;;;FactsGroundSpeed, FactsVerticalDistance, FactsWindShearSource;5;15
57;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_8ff4d31a1511.ttl;3;Fault feature extraction;Maintainable item;connector (component example);Unknown synchronization;Not reported;Noise factors;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;connector (component example);;;Noise factors;5;15
58;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_93799b400c86.ttl;1;Remaining useful life estimation;Maintainable item;end mill;Unknown synchronization;Not reported;FactscuttingForce, FactsdepthOfCut, FactsfeedRate, FactsmachinePowerSignal, FactsmachineVibrationSignal, wear area, FactswearAreaFeature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;end mill;;;FactscuttingForce, FactsdepthOfCut, FactsfeedRate, FactsmachinePowerSignal, FactsmachineVibrationSignal, wear area, FactswearAreaFeature;5;15
59;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9a39f3592864.ttl;2;Fault feature extraction;Maintainable item;CNC cutting tool;Unknown synchronization;Not reported;FactsForceSignal, FactsMicroGeometryOfCuttingEdge, FactsTemperature_3;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;CNC cutting tool;;;FactsForceSignal, FactsMicroGeometryOfCuttingEdge, FactsTemperature_3;5;15
60;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b451b7f7ee0.ttl;1;Health assessment;Maintainable item;FactsMaintainableItemExample;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsMaintainableItemExample | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;;;;;5;15
61;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_9b53e6caba2d.ttl;1;Remaining useful life estimation;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;;;;;5;15
62;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a012354ab36b.ttl;1;Remaining useful life estimation;Maintainable item;FactsMachine;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsMachine | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;;;;;5;15
63;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a258a3b603ad.ttl;2;Remaining useful life estimation;Maintainable item;FactsAutomatedGuidedVehicle;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsAutomatedGuidedVehicle | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;;;;;5;15
