batch_index,corpus_id,filename,source_path,staged_path
11,paper-0025,paper-0025_energy_based_multiresolution_analysis_of_fbg_measured_strain_responses_for_void_detection_in.pdf,extraction_papers/paper-0025_energy_based_multiresolution_analysis_of_fbg_measured_strain_responses_for_void_detection_in.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0025_energy_based_multiresolution_analysis_of_fbg_measured_strain_responses_for_void_detection_in.pdf
12,paper-0026,paper-0026_physics_informed_monotonic_conformer_for_remaining_useful_life_prediction_of_hydraulic_syste.pdf,extraction_papers/paper-0026_physics_informed_monotonic_conformer_for_remaining_useful_life_prediction_of_hydraulic_syste.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0026_physics_informed_monotonic_conformer_for_remaining_useful_life_prediction_of_hydraulic_syste.pdf
13,paper-0029,paper-0029_simulation_guided_interpretable_fault_diagnosis_of_hydraulic_directional_control_valves_unde.pdf,extraction_papers/paper-0029_simulation_guided_interpretable_fault_diagnosis_of_hydraulic_directional_control_valves_unde.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0029_simulation_guided_interpretable_fault_diagnosis_of_hydraulic_directional_control_valves_unde.pdf
14,paper-0034,paper-0034_continuous_lifetime_monitoring_technique_for_structural_components_and_main_bearings_in_wind.pdf,extraction_papers/paper-0034_continuous_lifetime_monitoring_technique_for_structural_components_and_main_bearings_in_wind.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0034_continuous_lifetime_monitoring_technique_for_structural_components_and_main_bearings_in_wind.pdf
15,paper-0035,paper-0035_optimal_condition_based_maintenance_decision_making_for_nonlinear_degrading_systems_a_time_s.pdf,extraction_papers/paper-0035_optimal_condition_based_maintenance_decision_making_for_nonlinear_degrading_systems_a_time_s.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0035_optimal_condition_based_maintenance_decision_making_for_nonlinear_degrading_systems_a_time_s.pdf
16,paper-0042,paper-0042_analysis_of_the_external_network_parameters_influence_on_the_operating_characteristics_of_se.pdf,extraction_papers/paper-0042_analysis_of_the_external_network_parameters_influence_on_the_operating_characteristics_of_se.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0042_analysis_of_the_external_network_parameters_influence_on_the_operating_characteristics_of_se.pdf
17,paper-0046,paper-0046_rul_prediction_based_on_xlstm_transformer_neural_network_for_rolling_element_bearings_under.pdf,extraction_papers/paper-0046_rul_prediction_based_on_xlstm_transformer_neural_network_for_rolling_element_bearings_under.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0046_rul_prediction_based_on_xlstm_transformer_neural_network_for_rolling_element_bearings_under.pdf
18,paper-0047,paper-0047_a_deep_learning_framework_for_remaining_useful_life_prediction_of_turbofan_engines_with_part.pdf,extraction_papers/paper-0047_a_deep_learning_framework_for_remaining_useful_life_prediction_of_turbofan_engines_with_part.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0047_a_deep_learning_framework_for_remaining_useful_life_prediction_of_turbofan_engines_with_part.pdf
19,paper-0048,paper-0048_deployment_oriented_lithium_ion_battery_remaining_useful_life_prediction_with_adaptive_histo.pdf,extraction_papers/paper-0048_deployment_oriented_lithium_ion_battery_remaining_useful_life_prediction_with_adaptive_histo.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0048_deployment_oriented_lithium_ion_battery_remaining_useful_life_prediction_with_adaptive_histo.pdf
20,paper-0051,paper-0051_hydraulic_seal_wear_classification_by_fine_tuning_a_transformer_based_audio_model_using_acou.pdf,extraction_papers/paper-0051_hydraulic_seal_wear_classification_by_fine_tuning_a_transformer_based_audio_model_using_acou.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0051_hydraulic_seal_wear_classification_by_fine_tuning_a_transformer_based_audio_model_using_acou.pdf
21,paper-0052,paper-0052_feature_enhanced_rocketstack_ensemble_for_multi_class_wind_turbine_blade_crack_severity_pred.pdf,extraction_papers/paper-0052_feature_enhanced_rocketstack_ensemble_for_multi_class_wind_turbine_blade_crack_severity_pred.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0052_feature_enhanced_rocketstack_ensemble_for_multi_class_wind_turbine_blade_crack_severity_pred.pdf
22,paper-0053,paper-0053_logistics_equipment_condition_monitoring_and_prediction_based_on_digital_twin_and_machine_le.pdf,extraction_papers/paper-0053_logistics_equipment_condition_monitoring_and_prediction_based_on_digital_twin_and_machine_le.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0053_logistics_equipment_condition_monitoring_and_prediction_based_on_digital_twin_and_machine_le.pdf
23,paper-0056,paper-0056_remaining_useful_life_prediction_for_rotating_machinery_via_multi_graph_based_spatiotemporal.pdf,extraction_papers/paper-0056_remaining_useful_life_prediction_for_rotating_machinery_via_multi_graph_based_spatiotemporal.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0056_remaining_useful_life_prediction_for_rotating_machinery_via_multi_graph_based_spatiotemporal.pdf
24,paper-0060,paper-0060_digital_twin_integration_for_enhancing_robotic_fastening_systems_in_industrial_automation.pdf,extraction_papers/paper-0060_digital_twin_integration_for_enhancing_robotic_fastening_systems_in_industrial_automation.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0060_digital_twin_integration_for_enhancing_robotic_fastening_systems_in_industrial_automation.pdf
25,paper-0062,paper-0062_impedance_modeling_and_analysis_of_solid_liquid_hybrid_electrolyte_lithium_ion_batteries.pdf,extraction_papers/paper-0062_impedance_modeling_and_analysis_of_solid_liquid_hybrid_electrolyte_lithium_ion_batteries.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0062_impedance_modeling_and_analysis_of_solid_liquid_hybrid_electrolyte_lithium_ion_batteries.pdf
26,paper-0065,paper-0065_a_hybrid_temporal_convolutional_attention_model_for_water_filter_remaining_useful_life_predi.pdf,extraction_papers/paper-0065_a_hybrid_temporal_convolutional_attention_model_for_water_filter_remaining_useful_life_predi.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0065_a_hybrid_temporal_convolutional_attention_model_for_water_filter_remaining_useful_life_predi.pdf
27,paper-0066,paper-0066_condition_based_maintenance_for_serial_multistage_manufacturing_system_considering_reliabili.pdf,extraction_papers/paper-0066_condition_based_maintenance_for_serial_multistage_manufacturing_system_considering_reliabili.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0066_condition_based_maintenance_for_serial_multistage_manufacturing_system_considering_reliabili.pdf
28,paper-0069,paper-0069_genetic_algorithm_optimized_cnn_bilstm_framework_for_predicting_the_remaining_useful_life_of.pdf,extraction_papers/paper-0069_genetic_algorithm_optimized_cnn_bilstm_framework_for_predicting_the_remaining_useful_life_of.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0069_genetic_algorithm_optimized_cnn_bilstm_framework_for_predicting_the_remaining_useful_life_of.pdf
29,paper-0071,paper-0071_a_multi_step_rul_prediction_method_for_lithium_ion_batteries_based_on_multi_scale_temporal_f.pdf,extraction_papers/paper-0071_a_multi_step_rul_prediction_method_for_lithium_ion_batteries_based_on_multi_scale_temporal_f.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0071_a_multi_step_rul_prediction_method_for_lithium_ion_batteries_based_on_multi_scale_temporal_f.pdf
30,paper-0077,paper-0077_remaining_useful_life_estimation_for_aircraft_engines_with_risk_aware_prediction_intervals_v.pdf,extraction_papers/paper-0077_remaining_useful_life_estimation_for_aircraft_engines_with_risk_aware_prediction_intervals_v.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0077_remaining_useful_life_estimation_for_aircraft_engines_with_risk_aware_prediction_intervals_v.pdf
31,paper-0081,paper-0081_an_unsupervised_data_driven_framework_for_bearing_failure_prognosis_via_health_stage_cluster.pdf,extraction_papers/paper-0081_an_unsupervised_data_driven_framework_for_bearing_failure_prognosis_via_health_stage_cluster.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0081_an_unsupervised_data_driven_framework_for_bearing_failure_prognosis_via_health_stage_cluster.pdf
32,paper-0082,paper-0082_physics_guided_data_driven_machine_health_monitoring_for_two_photon_lithography_via_part_geo.pdf,extraction_papers/paper-0082_physics_guided_data_driven_machine_health_monitoring_for_two_photon_lithography_via_part_geo.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0082_physics_guided_data_driven_machine_health_monitoring_for_two_photon_lithography_via_part_geo.pdf
33,paper-0083,paper-0083_silicone_rubber_triboelectric_nanogenerator_for_self_powered_wide_range_frequency_vibration.pdf,extraction_papers/paper-0083_silicone_rubber_triboelectric_nanogenerator_for_self_powered_wide_range_frequency_vibration.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0083_silicone_rubber_triboelectric_nanogenerator_for_self_powered_wide_range_frequency_vibration.pdf
34,paper-0089,paper-0089_adaptive_thresholding_for_production_imbalance_detection_in_renewable_energy_systems_using_s.pdf,extraction_papers/paper-0089_adaptive_thresholding_for_production_imbalance_detection_in_renewable_energy_systems_using_s.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0089_adaptive_thresholding_for_production_imbalance_detection_in_renewable_energy_systems_using_s.pdf
35,paper-0099,paper-0099_self_aligning_ball_bearing_fault_classification_using_selective_kernel_modules_in_resnext_ar.pdf,extraction_papers/paper-0099_self_aligning_ball_bearing_fault_classification_using_selective_kernel_modules_in_resnext_ar.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0099_self_aligning_ball_bearing_fault_classification_using_selective_kernel_modules_in_resnext_ar.pdf
36,paper-0102,paper-0102_remaining_useful_life_prediction_method_based_on_gated_dilation_causal_convolution.pdf,extraction_papers/paper-0102_remaining_useful_life_prediction_method_based_on_gated_dilation_causal_convolution.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0102_remaining_useful_life_prediction_method_based_on_gated_dilation_causal_convolution.pdf
37,paper-0104,paper-0104_scada_based_stator_winding_prognostics_a_temperature_weighted_work_index_for_industrial_moto.pdf,extraction_papers/paper-0104_scada_based_stator_winding_prognostics_a_temperature_weighted_work_index_for_industrial_moto.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0104_scada_based_stator_winding_prognostics_a_temperature_weighted_work_index_for_industrial_moto.pdf
38,paper-0105,paper-0105_intelligent_system_for_automated_design_of_energy_efficient_facilities_in_the_agro_industria.pdf,extraction_papers/paper-0105_intelligent_system_for_automated_design_of_energy_efficient_facilities_in_the_agro_industria.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0105_intelligent_system_for_automated_design_of_energy_efficient_facilities_in_the_agro_industria.pdf
39,paper-0108,paper-0108_digital_demodulation_method_and_application_of_a_pwm_excited_differential_self_inductive_dis.pdf,extraction_papers/paper-0108_digital_demodulation_method_and_application_of_a_pwm_excited_differential_self_inductive_dis.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0108_digital_demodulation_method_and_application_of_a_pwm_excited_differential_self_inductive_dis.pdf
40,paper-0110,paper-0110_a_framework_for_probabilistic_prediction_of_remaining_useful_life_in_structural_materials.pdf,extraction_papers/paper-0110_a_framework_for_probabilistic_prediction_of_remaining_useful_life_in_structural_materials.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0110_a_framework_for_probabilistic_prediction_of_remaining_useful_life_in_structural_materials.pdf
41,paper-0111,paper-0111_structural_fatigue_failure_analysis_and_lifetime_reliability_monitoring_strategy_of_the_latt.pdf,extraction_papers/paper-0111_structural_fatigue_failure_analysis_and_lifetime_reliability_monitoring_strategy_of_the_latt.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0111_structural_fatigue_failure_analysis_and_lifetime_reliability_monitoring_strategy_of_the_latt.pdf
42,paper-0116,paper-0116_a_quantitative_estimation_method_for_cable_deterioration_degree_based_on_sdp_transform_and_r.pdf,extraction_papers/paper-0116_a_quantitative_estimation_method_for_cable_deterioration_degree_based_on_sdp_transform_and_r.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0116_a_quantitative_estimation_method_for_cable_deterioration_degree_based_on_sdp_transform_and_r.pdf
43,paper-0123,paper-0123_characterization_and_health_index_assessment_of_34_5_kv_cross_linked_polyethylene_xlpe_power.pdf,extraction_papers/paper-0123_characterization_and_health_index_assessment_of_34_5_kv_cross_linked_polyethylene_xlpe_power.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0123_characterization_and_health_index_assessment_of_34_5_kv_cross_linked_polyethylene_xlpe_power.pdf
44,paper-0125,paper-0125_a_method_for_selecting_key_flight_parameters_of_aircraft_based_on_dual_domain_rough_set_and.pdf,extraction_papers/paper-0125_a_method_for_selecting_key_flight_parameters_of_aircraft_based_on_dual_domain_rough_set_and.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0125_a_method_for_selecting_key_flight_parameters_of_aircraft_based_on_dual_domain_rough_set_and.pdf
45,paper-0127,paper-0127_temporal_modeling_for_domain_invariant_fault_diagnosis_in_robotics_digital_twin_systems.pdf,extraction_papers/paper-0127_temporal_modeling_for_domain_invariant_fault_diagnosis_in_robotics_digital_twin_systems.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0127_temporal_modeling_for_domain_invariant_fault_diagnosis_in_robotics_digital_twin_systems.pdf
46,paper-0129,paper-0129_data_driven_remaining_useful_life_prediction_for_pt_rh_thermocouples_using_an_extended_kalma.pdf,extraction_papers/paper-0129_data_driven_remaining_useful_life_prediction_for_pt_rh_thermocouples_using_an_extended_kalma.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0129_data_driven_remaining_useful_life_prediction_for_pt_rh_thermocouples_using_an_extended_kalma.pdf
47,paper-0136,paper-0136_tribotechnical_diagnostics_of_aircraft_emergency_hydrogenerator_np_27_t.pdf,extraction_papers/paper-0136_tribotechnical_diagnostics_of_aircraft_emergency_hydrogenerator_np_27_t.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0136_tribotechnical_diagnostics_of_aircraft_emergency_hydrogenerator_np_27_t.pdf
48,paper-0137,paper-0137_enhanced_acoustic_monitoring_for_industrial_predictive_maintenance_using_semi_coprime_microp.pdf,extraction_papers/paper-0137_enhanced_acoustic_monitoring_for_industrial_predictive_maintenance_using_semi_coprime_microp.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0137_enhanced_acoustic_monitoring_for_industrial_predictive_maintenance_using_semi_coprime_microp.pdf
49,paper-0138,paper-0138_turbofan_engine_health_status_prediction_with_heterogeneous_ensemble_deep_neural_networks.pdf,extraction_papers/paper-0138_turbofan_engine_health_status_prediction_with_heterogeneous_ensemble_deep_neural_networks.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0138_turbofan_engine_health_status_prediction_with_heterogeneous_ensemble_deep_neural_networks.pdf
50,paper-0142,paper-0142_a_comparative_study_of_imbalance_handling_methods_in_multiclass_predictive_maintenance.pdf,extraction_papers/paper-0142_a_comparative_study_of_imbalance_handling_methods_in_multiclass_predictive_maintenance.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0142_a_comparative_study_of_imbalance_handling_methods_in_multiclass_predictive_maintenance.pdf
51,paper-0143,paper-0143_design_of_an_in_pipe_inspection_robotic_system_ipirs_with_yolov8_lstm_integration_for_real_t.pdf,extraction_papers/paper-0143_design_of_an_in_pipe_inspection_robotic_system_ipirs_with_yolov8_lstm_integration_for_real_t.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0143_design_of_an_in_pipe_inspection_robotic_system_ipirs_with_yolov8_lstm_integration_for_real_t.pdf
52,paper-0144,paper-0144_optimal_condition_based_maintenance_strategy_for_a_three_state_system_under_dependent_compet.pdf,extraction_papers/paper-0144_optimal_condition_based_maintenance_strategy_for_a_three_state_system_under_dependent_compet.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0144_optimal_condition_based_maintenance_strategy_for_a_three_state_system_under_dependent_compet.pdf
53,paper-0148,paper-0148_a_machine_learning_based_classification_method_for_synrm_faults.pdf,extraction_papers/paper-0148_a_machine_learning_based_classification_method_for_synrm_faults.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0148_a_machine_learning_based_classification_method_for_synrm_faults.pdf
54,paper-0149,paper-0149_enhanced_neural_real_time_digital_twin_for_electrical_drives.pdf,extraction_papers/paper-0149_enhanced_neural_real_time_digital_twin_for_electrical_drives.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0149_enhanced_neural_real_time_digital_twin_for_electrical_drives.pdf
55,paper-0150,paper-0150_a_two_stage_framework_for_cost_sensitive_predictive_maintenance_using_deep_learning_gans_and.pdf,extraction_papers/paper-0150_a_two_stage_framework_for_cost_sensitive_predictive_maintenance_using_deep_learning_gans_and.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0150_a_two_stage_framework_for_cost_sensitive_predictive_maintenance_using_deep_learning_gans_and.pdf
56,paper-0155,paper-0155_prediction_of_remaining_useful_life_for_electronic_equipment_based_on_online_pinn.pdf,extraction_papers/paper-0155_prediction_of_remaining_useful_life_for_electronic_equipment_based_on_online_pinn.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0155_prediction_of_remaining_useful_life_for_electronic_equipment_based_on_online_pinn.pdf
57,paper-0157,paper-0157_differentially_private_federated_learning_for_remaining_useful_life_prediction.pdf,extraction_papers/paper-0157_differentially_private_federated_learning_for_remaining_useful_life_prediction.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0157_differentially_private_federated_learning_for_remaining_useful_life_prediction.pdf
58,paper-0161,paper-0161_mfafenet_a_multi_sensor_collaborative_and_multi_scale_feature_information_adaptive_fusion_ne.pdf,extraction_papers/paper-0161_mfafenet_a_multi_sensor_collaborative_and_multi_scale_feature_information_adaptive_fusion_ne.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0161_mfafenet_a_multi_sensor_collaborative_and_multi_scale_feature_information_adaptive_fusion_ne.pdf
59,paper-0162,paper-0162_multivariate_time_series_forecasting_of_astri_horn_monitoring_data_a_normal_behavior_model.pdf,extraction_papers/paper-0162_multivariate_time_series_forecasting_of_astri_horn_monitoring_data_a_normal_behavior_model.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0162_multivariate_time_series_forecasting_of_astri_horn_monitoring_data_a_normal_behavior_model.pdf
60,paper-0163,paper-0163_a_data_driven_framework_for_lithium_ion_battery_remaining_useful_life_prediction_using_cnn_a.pdf,extraction_papers/paper-0163_a_data_driven_framework_for_lithium_ion_battery_remaining_useful_life_prediction_using_cnn_a.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0163_a_data_driven_framework_for_lithium_ion_battery_remaining_useful_life_prediction_using_cnn_a.pdf
61,paper-0164,paper-0164_reducing_label_dependence_in_vibration_based_drill_bit_condition_monitoring_with_masked_feat.pdf,extraction_papers/paper-0164_reducing_label_dependence_in_vibration_based_drill_bit_condition_monitoring_with_masked_feat.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0164_reducing_label_dependence_in_vibration_based_drill_bit_condition_monitoring_with_masked_feat.pdf
62,paper-0167,paper-0167_optimization_of_cnn_bilstm_attention_model_for_lithium_battery_remaining_useful_life_predict.pdf,extraction_papers/paper-0167_optimization_of_cnn_bilstm_attention_model_for_lithium_battery_remaining_useful_life_predict.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0167_optimization_of_cnn_bilstm_attention_model_for_lithium_battery_remaining_useful_life_predict.pdf
63,paper-0168,paper-0168_state_of_health_estimation_for_lithium_ion_battery_with_interpretable_analysis.pdf,extraction_papers/paper-0168_state_of_health_estimation_for_lithium_ion_battery_with_interpretable_analysis.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0168_state_of_health_estimation_for_lithium_ion_battery_with_interpretable_analysis.pdf
64,paper-0174,paper-0174_sa_consingan_and_reservoir_computing_fusion_for_accurate_bearing_fault_classification_and_se.pdf,extraction_papers/paper-0174_sa_consingan_and_reservoir_computing_fusion_for_accurate_bearing_fault_classification_and_se.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0174_sa_consingan_and_reservoir_computing_fusion_for_accurate_bearing_fault_classification_and_se.pdf
65,paper-0177,paper-0177_enhancing_photovoltaic_pv_system_efficiency_through_integrated_inclination_control_and_i_v_c.pdf,extraction_papers/paper-0177_enhancing_photovoltaic_pv_system_efficiency_through_integrated_inclination_control_and_i_v_c.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0177_enhancing_photovoltaic_pv_system_efficiency_through_integrated_inclination_control_and_i_v_c.pdf
66,paper-0178,paper-0178_experimental_evaluation_of_multi_sensor_ai_based_fault_diagnosis_for_induction_motors_in_ind.pdf,extraction_papers/paper-0178_experimental_evaluation_of_multi_sensor_ai_based_fault_diagnosis_for_induction_motors_in_ind.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0178_experimental_evaluation_of_multi_sensor_ai_based_fault_diagnosis_for_induction_motors_in_ind.pdf
67,paper-0183,paper-0183_dsnet_dynamic_segmentation_revolution_for_remaining_useful_life_prediction_in_mixed_model_pr.pdf,extraction_papers/paper-0183_dsnet_dynamic_segmentation_revolution_for_remaining_useful_life_prediction_in_mixed_model_pr.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0183_dsnet_dynamic_segmentation_revolution_for_remaining_useful_life_prediction_in_mixed_model_pr.pdf
68,paper-0184,paper-0184_development_of_a_sustainable_non_intrusive_monitoring_framework_for_grid_connected_photovolt.pdf,extraction_papers/paper-0184_development_of_a_sustainable_non_intrusive_monitoring_framework_for_grid_connected_photovolt.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0184_development_of_a_sustainable_non_intrusive_monitoring_framework_for_grid_connected_photovolt.pdf
69,paper-0185,paper-0185_enhanced_methodology_of_parameter_diagram_for_system_analysis_and_sensor_integration_in_cond.pdf,extraction_papers/paper-0185_enhanced_methodology_of_parameter_diagram_for_system_analysis_and_sensor_integration_in_cond.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0185_enhanced_methodology_of_parameter_diagram_for_system_analysis_and_sensor_integration_in_cond.pdf
70,paper-0190,paper-0190_selection_of_number_of_imfs_and_order_of_their_ar_models_for_feature_extraction_in_svm_based.pdf,extraction_papers/paper-0190_selection_of_number_of_imfs_and_order_of_their_ar_models_for_feature_extraction_in_svm_based.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0190_selection_of_number_of_imfs_and_order_of_their_ar_models_for_feature_extraction_in_svm_based.pdf
71,paper-0201,paper-0201_intelligent_tool_wear_monitoring_using_xgboost_svr_and_dnn_models_in_nmql_environment.pdf,extraction_papers/paper-0201_intelligent_tool_wear_monitoring_using_xgboost_svr_and_dnn_models_in_nmql_environment.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0201_intelligent_tool_wear_monitoring_using_xgboost_svr_and_dnn_models_in_nmql_environment.pdf
72,paper-0204,paper-0204_non_contact_bearing_fault_diagnostics_experimental_investigation_of_microphones_position_and.pdf,extraction_papers/paper-0204_non_contact_bearing_fault_diagnostics_experimental_investigation_of_microphones_position_and.pdf,extraction_papers/ontocast_runs/run_100_20260611_194110/input/paper-0204_non_contact_bearing_fault_diagnostics_experimental_investigation_of_microphones_position_and.pdf
